,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb3822137b10008e73471,ABCAPITAL,EQ,N,108.95,106.0,108.25,106.3,106.35,107.25,2423684,259645405.15,139.7,59.9,16505,INE674K01013,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.180Z,2021-10-19T12:01:06.180Z,0,107.13,19-Oct-2021
1,61700beeffea140009a3a1af,ABCAPITAL,EQ,N,106.9,103.15,106.8,103.75,103.95,106.3,3034976,317741477.75,139.7,59.9,31446,INE674K01013,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.681Z,2021-10-20T12:30:38.681Z,0,104.69,20-Oct-2021
2,61715665facf5c0008bb1d20,ABCAPITAL,EQ,N,104.8,101.8,104.4,102.3,102.4,103.75,2564480,264513210.3,139.7,59.9,24042,INE674K01013,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.345Z,2021-10-21T12:00:37.345Z,0,103.14,21-Oct-2021
3,6172a8072dc18f00080fea24,ABCAPITAL,EQ,N,103.85,100.05,102.5,100.65,101.05,102.3,2480412,251705026.1,139.7,59.9,22169,INE674K01013,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:11.764Z,2021-10-22T12:01:11.764Z,0,101.48,22-Oct-2021
4,61769c5fdb443b0008c8ec1c,ABCAPITAL,EQ,N,102.05,97.05,101.6,97.45,97.35,100.65,3230435,318562227.6,139.7,63.85,33819,INE674K01013,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.976Z,2021-10-25T12:00:31.976Z,0,98.61,25-Oct-2021
5,6177ee022ed3fb00087df1ee,ABCAPITAL,EQ,N,101.6,97.95,97.95,100.3,100.9,97.45,2688911,269184108.35,139.7,63.85,22401,INE674K01013,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.921Z,2021-10-26T12:01:06.921Z,0,100.11,26-Oct-2021
6,61793f8b7220a800093c756d,ABCAPITAL,EQ,N,102.3,98.2,101.0,98.6,99.1,100.3,2399201,239691173.55,139.7,63.85,24478,INE674K01013,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:15.375Z,2021-10-27T12:01:15.375Z,0,99.9,27-Oct-2021
7,617a90e6b698860008b70ecb,ABCAPITAL,EQ,N,99.4,98.2,98.85,98.75,98.9,98.6,1396974,137965914.55,139.7,63.85,14202,INE674K01013,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:39.017Z,2021-10-28T12:00:39.017Z,0,98.76,28-Oct-2021
8,6139f76a9241480008a1ad3f,ABCAPITAL,EQ,N,117.2,113.7,114.6,114.3,113.9,114.7,2465070,284326554.6,139.7,59.85,21747,INE674K01013,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.648Z,2021-09-09T12:00:42.648Z,0,115.34,09-Sep-2021
9,613f3d5e66f15f0008394b64,ABCAPITAL,EQ,N,115.2,112.85,114.05,113.15,113.3,114.3,1540182,175259283.6,139.7,59.85,23946,INE674K01013,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.915Z,2021-09-13T12:00:30.915Z,0,113.79,13-Sep-2021
10,61408f048b051b000954563c,ABCAPITAL,EQ,N,115.85,113.0,113.45,113.85,113.25,113.15,2375746,271282468.85,139.7,59.85,23701,INE674K01013,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:08.272Z,2021-09-14T12:01:08.272Z,0,114.19,14-Sep-2021
11,6141e06652f3510008867275,ABCAPITAL,EQ,N,116.7,113.35,113.95,114.65,114.7,113.85,2459751,281950806.35,139.7,59.85,34720,INE674K01013,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.555Z,2021-09-15T12:00:38.555Z,0,114.63,15-Sep-2021
12,614331df4189570008859f3f,ABCAPITAL,EQ,N,117.3,114.65,115.6,114.9,114.9,114.65,3185216,367971547.35,139.7,59.85,24968,INE674K01013,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:31.850Z,2021-09-16T12:00:31.850Z,0,115.52,16-Sep-2021
