,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3812137b10008e732a2,ADANIPORTS,EQ,N,820.0,785.0,815.0,792.25,791.0,810.55,5543852,4473919769.35,901.0,341.15,81177,INE742F01042,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.032Z,2021-10-19T12:01:05.032Z,0,807.01,19-Oct-2021,
1,61700beeffea140009a3a0cf,ADANIPORTS,EQ,N,802.9,777.5,792.0,794.9,797.0,792.25,5467049,4329563948.5,901.0,341.15,88272,INE742F01042,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.281Z,2021-10-20T12:30:38.281Z,0,791.94,20-Oct-2021,
2,61715664facf5c0008bb1b33,ADANIPORTS,EQ,N,802.9,775.3,799.0,779.35,779.0,794.9,4607499,3627144154.25,901.0,341.15,71875,INE742F01042,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.464Z,2021-10-21T12:00:36.464Z,0,787.23,21-Oct-2021,
3,6172a8062dc18f00080fe930,ADANIPORTS,EQ,N,787.3,753.9,780.3,761.8,763.0,779.35,3860760,2972881509.55,901.0,341.15,65478,INE742F01042,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.415Z,2021-10-22T12:01:10.415Z,0,770.02,22-Oct-2021,
4,61769c5fdb443b0008c8ea36,ADANIPORTS,EQ,N,765.55,738.55,765.0,752.05,751.0,761.8,2973109,2232781419.85,901.0,341.15,49287,INE742F01042,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.122Z,2021-10-25T12:00:31.122Z,0,750.99,25-Oct-2021,
5,6177ee012ed3fb00087df00d,ADANIPORTS,EQ,N,758.55,740.05,752.0,749.9,751.2,752.05,3093933,2318610843.15,901.0,341.15,48910,INE742F01042,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.805Z,2021-10-26T12:01:05.805Z,0,749.41,26-Oct-2021,
6,61793f897220a800093c71a9,ADANIPORTS,EQ,N,756.55,743.65,753.65,745.85,746.0,749.9,3246881,2430419472.05,901.0,341.15,53804,INE742F01042,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.774Z,2021-10-27T12:01:13.774Z,0,748.54,27-Oct-2021,
7,617a90e6b698860008b70ce1,ADANIPORTS,EQ,N,734.5,681.15,724.35,688.1,691.05,745.85,18160551,12718595316.8,901.0,341.15,293375,INE742F01042,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.178Z,2021-10-28T12:00:38.178Z,0,700.34,28-Oct-2021,
8,6139f7699241480008a1ab7f,ADANIPORTS,EQ,N,751.0,742.0,745.1,749.7,749.0,746.85,2829060,2111966370.45,901.0,312.1,38702,INE742F01042,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.990Z,2021-09-09T12:00:41.990Z,0,746.53,09-Sep-2021,
9,613f3d5e66f15f000839498a,ADANIPORTS,EQ,N,752.65,740.5,748.0,745.1,744.6,749.7,2514604,1872338040.1,901.0,312.1,39587,INE742F01042,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.166Z,2021-09-13T12:00:30.166Z,0,744.59,13-Sep-2021,
10,61408f038b051b00095453bd,ADANIPORTS,EQ,N,762.75,745.45,747.8,755.4,756.5,745.1,5615411,4242907641.4,901.0,312.1,75482,INE742F01042,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.101Z,2021-09-14T12:01:07.101Z,0,755.58,14-Sep-2021,
11,6141e06552f35100088670ad,ADANIPORTS,EQ,N,769.8,753.6,758.55,765.95,765.65,755.4,7039338,5373298414.0,901.0,312.1,115635,INE742F01042,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.790Z,2021-09-15T12:00:37.790Z,0,763.32,15-Sep-2021,
12,614331de4189570008859d6d,ADANIPORTS,EQ,N,772.75,760.0,769.0,769.65,768.1,765.95,4625316,3545602751.15,901.0,312.1,78970,INE742F01042,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:30.356Z,2021-09-16T12:00:30.356Z,0,766.56,16-Sep-2021,
13,614483817f66a400087556ec,ADANIPORTS,EQ,N,786.0,760.0,773.3,767.1,764.2,769.65,9701785,7495562991.65,901.0,312.1,134849,INE742F01042,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.062Z,2021-09-17T12:01:05.062Z,0,772.6,17-Sep-2021,
14,614877e5e0fcf60008e516d0,ADANIPORTS,EQ,N,776.0,746.1,759.8,748.9,747.5,767.1,5570433,4243961872.65,901.0,312.1,84484,INE742F01042,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.741Z,2021-09-20T12:00:37.741Z,0,761.87,20-Sep-2021,
15,6149c981bf6def000983a08b,ADANIPORTS,EQ,N,758.8,734.05,754.0,749.6,752.85,748.9,7766479,5796425298.5,901.0,312.1,82405,INE742F01042,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.263Z,2021-09-21T12:01:05.263Z,0,746.34,21-Sep-2021,
16,614b1b01f6172a0008df4783,ADANIPORTS,EQ,N,759.6,742.0,750.0,745.3,746.0,749.6,4343365,3263288761.15,901.0,312.1,60376,INE742F01042,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.500Z,2021-09-22T12:01:05.500Z,0,751.33,22-Sep-2021,
17,614c6c66a3bb370008f1062e,ADANIPORTS,EQ,N,760.0,750.55,754.4,754.5,754.0,745.3,3526253,2662348242.65,901.0,312.1,62096,INE742F01042,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.521Z,2021-09-23T12:00:38.521Z,0,755.01,23-Sep-2021,
