,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb3812137b10008e733c4,AJRINFRA,EQ,N,1.5,1.4,1.4,1.45,1.45,1.45,2419031,3497656.75,2.9,0.55,753,INE181G01025,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.767Z,2021-10-19T12:01:05.767Z,0,1.45,19-Oct-2021
1,61700bebffea140009a39aba,AJRINFRA,EQ,N,1.5,1.4,1.45,1.45,1.45,1.45,630625,897268.0,2.9,0.55,524,INE181G01025,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.578Z,2021-10-20T12:30:35.578Z,0,1.42,20-Oct-2021
2,61715665facf5c0008bb1c69,AJRINFRA,EQ,N,1.5,1.4,1.45,1.5,1.5,1.45,2910258,4294270.2,2.9,0.55,612,INE181G01025,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.032Z,2021-10-21T12:00:37.032Z,0,1.48,21-Oct-2021
3,6172a8022dc18f00080fe279,AJRINFRA,EQ,N,1.55,1.45,1.55,1.45,1.45,1.5,1652384,2456277.3,2.9,0.55,649,INE181G01025,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.209Z,2021-10-22T12:01:06.209Z,0,1.49,22-Oct-2021
4,61769c5fdb443b0008c8eb6b,AJRINFRA,EQ,N,1.45,1.4,1.45,1.4,1.4,1.45,2230860,3129828.95,2.9,0.55,800,INE181G01025,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.662Z,2021-10-25T12:00:31.662Z,0,1.4,25-Oct-2021
5,6177ee022ed3fb00087df13c,AJRINFRA,EQ,N,1.45,1.35,1.4,1.4,1.45,1.4,1943073,2720323.1,2.9,0.55,675,INE181G01025,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.649Z,2021-10-26T12:01:06.649Z,0,1.4,26-Oct-2021
6,61793f8a7220a800093c7410,AJRINFRA,EQ,N,1.45,1.35,1.4,1.4,1.4,1.4,600365,848221.75,2.9,0.55,406,INE181G01025,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:14.852Z,2021-10-27T12:01:14.852Z,0,1.41,27-Oct-2021
7,617a90e6b698860008b70e1a,AJRINFRA,EQ,N,1.45,1.35,1.45,1.35,1.35,1.4,2658362,3629316.0,2.9,0.55,776,INE181G01025,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.733Z,2021-10-28T12:00:38.733Z,0,1.37,28-Oct-2021
8,616578fe60745c0008937243,AJRINFRA,EQ,N,1.6,1.5,1.6,1.5,1.5,1.55,1161280,1782749.0,2.9,0.55,528,INE181G01025,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:02.837Z,2021-10-12T12:01:02.837Z,0,1.54,12-Oct-2021
9,6166ca6573e7b00008258c33,AJRINFRA,EQ,N,1.55,1.45,1.5,1.5,1.5,1.5,2576766,3849335.2,2.9,0.55,809,INE181G01025,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:37.294Z,2021-10-13T12:00:37.294Z,0,1.49,13-Oct-2021
10,61681c0203a7b2000873e4dd,AJRINFRA,EQ,N,1.5,1.45,1.5,1.45,1.5,1.5,1953404,2858041.4,2.9,0.55,651,INE181G01025,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:06.095Z,2021-10-14T12:01:06.095Z,0,1.46,14-Oct-2021
11,616d61e181039a0008f76154,AJRINFRA,EQ,N,1.5,1.4,1.5,1.45,1.45,1.45,3470177,5021901.2,2.9,0.55,1057,INE181G01025,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:33.819Z,2021-10-18T12:00:33.819Z,0,1.45,18-Oct-2021
12,616eb3812137b10008e733c4,AJRINFRA,EQ,N,1.5,1.4,1.4,1.45,1.45,1.45,2419031,3497656.75,2.9,0.55,753,INE181G01025,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.767Z,2021-10-19T12:01:05.767Z,0,1.45,19-Oct-2021
13,60d07f82b6df770008f3078c,GAMMNINFRA,EQ,N,2.6,2.6,2.6,2.6,2.6,2.5,501903,1304947.8,2.6,0.55,239,INE181G01025,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:06.100Z,2021-06-21T12:01:06.100Z,0,2.6,21-Jun-2021
14,60d1d0e49d5cc50008707492,GAMMNINFRA,EQ,N,2.7,2.7,2.7,2.7,2.7,2.6,311148,840099.6,2.7,0.55,187,INE181G01025,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:36.336Z,2021-06-22T12:00:36.336Z,0,2.7,22-Jun-2021
15,60d3228009721b0008101575,GAMMNINFRA,EQ,N,2.8,2.8,2.8,2.8,2.8,2.7,335208,938582.4,2.8,0.55,213,INE181G01025,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:04.103Z,2021-06-23T12:01:04.103Z,0,2.8,23-Jun-2021
16,60d473e4b6726400082d88bc,GAMMNINFRA,EQ,N,2.9,2.7,2.9,2.7,2.7,2.8,20394679,56525354.7,2.9,0.55,7255,INE181G01025,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:36.737Z,2021-06-24T12:00:36.737Z,0,2.77,24-Jun-2021
17,60d5c562761eef0008b836c0,GAMMNINFRA,EQ,N,2.65,2.6,2.6,2.6,2.6,2.7,3946811,10261897.95,2.9,0.55,1578,INE181G01025,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:34.280Z,2021-06-25T12:00:34.280Z,0,2.6,25-Jun-2021
18,60d9b9df758776000816a917,GAMMNINFRA,EQ,N,2.5,2.5,2.5,2.5,2.5,2.6,1208398,3020995.0,2.9,0.55,1238,INE181G01025,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:31.083Z,2021-06-28T12:00:31.083Z,0,2.5,28-Jun-2021
19,60db0b619d5cc500086135a6,GAMMNINFRA,EQ,N,2.4,2.4,2.4,2.4,2.4,2.5,1217847,2922832.8,2.9,0.55,1095,INE181G01025,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:33.994Z,2021-06-29T12:00:33.994Z,0,2.4,29-Jun-2021
20,60dc5cdd7f32fd0009386ee3,GAMMNINFRA,EQ,N,2.3,2.3,2.3,2.3,2.3,2.4,1539236,3540242.8,2.9,0.55,1095,INE181G01025,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:29.421Z,2021-06-30T12:00:29.421Z,0,2.3,30-Jun-2021
21,60ddae6215ea3f0008fe5492,GAMMNINFRA,EQ,N,2.35,2.2,2.25,2.2,2.2,2.3,13701663,30660978.25,2.9,0.55,2535,INE181G01025,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:34.942Z,2021-07-01T12:00:34.942Z,0,2.24,01-Jul-2021
22,60deffe4f20fbd0009ce63a4,GAMMNINFRA,EQ,N,2.3,2.1,2.2,2.3,2.3,2.2,35703443,77221273.75,2.9,0.55,5069,INE181G01025,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:36.331Z,2021-07-02T12:00:36.331Z,0,2.16,02-Jul-2021
23,60e2f462d502fe0008ce9bd1,GAMMNINFRA,EQ,N,2.4,2.4,2.4,2.4,2.4,2.3,521971,1252730.4,2.9,0.55,391,INE181G01025,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:34.608Z,2021-07-05T12:00:34.608Z,0,2.4,05-Jul-2021
24,60e445e4d77ada00087bd21c,GAMMNINFRA,EQ,N,2.5,2.5,2.5,2.5,2.5,2.4,483431,1208577.5,2.9,0.55,255,INE181G01025,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:36.719Z,2021-07-06T12:00:36.719Z,0,2.5,06-Jul-2021
