,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72de9,ARCHIES,EQ,N,19.0,17.85,18.2,18.2,18.15,18.25,121052,2225262.75,27.9,9.35,564,INE731A01020,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.455Z,2021-10-19T12:01:02.455Z,0,18.38,19-Oct-2021,
1,61700beaffea140009a39909,ARCHIES,EQ,N,18.15,17.3,17.7,17.3,17.3,18.2,127896,2238782.05,27.9,9.35,413,INE731A01020,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.779Z,2021-10-20T12:30:34.779Z,0,17.5,20-Oct-2021,
2,61715661facf5c0008bb15a9,ARCHIES,EQ,N,17.45,16.5,17.4,16.95,16.8,17.3,102065,1718710.35,27.9,9.35,473,INE731A01020,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.652Z,2021-10-21T12:00:33.652Z,0,16.84,21-Oct-2021,
3,6172a8012dc18f00080fe09c,ARCHIES,EQ,N,17.4,16.95,16.95,17.2,17.15,16.95,54657,942804.6,27.9,9.35,276,INE731A01020,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.361Z,2021-10-22T12:01:05.361Z,0,17.25,22-Oct-2021,
4,61769c5cdb443b0008c8e474,ARCHIES,EQ,N,18.0,16.5,17.55,17.1,17.05,17.2,60352,1025666.8,27.9,9.35,309,INE731A01020,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.018Z,2021-10-25T12:00:28.018Z,0,16.99,25-Oct-2021,
5,6177edff2ed3fb00087deabc,ARCHIES,EQ,N,17.6,16.8,16.95,17.25,17.25,17.1,17657,303583.45,27.9,9.35,180,INE731A01020,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.204Z,2021-10-26T12:01:03.204Z,0,17.19,26-Oct-2021,
6,61793f847220a800093c66e5,ARCHIES,EQ,N,17.55,16.55,17.1,17.05,17.0,17.25,43001,733745.65,27.9,9.35,227,INE731A01020,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.438Z,2021-10-27T12:01:08.438Z,0,17.06,27-Oct-2021,
7,617a90e2b698860008b70731,ARCHIES,EQ,N,17.35,16.85,17.2,17.05,17.05,17.05,23171,393964.1,27.9,9.35,207,INE731A01020,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.913Z,2021-10-28T12:00:34.913Z,0,17.0,28-Oct-2021,
8,616578fd60745c0008937099,ARCHIES,EQ,N,19.6,18.75,18.75,18.9,18.8,19.35,38850,738779.15,27.9,9.35,287,INE731A01020,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:01.937Z,2021-10-12T12:01:01.937Z,0,19.02,12-Oct-2021,
9,6166ca6473e7b00008258a7f,ARCHIES,EQ,N,19.45,18.6,19.45,18.8,18.75,18.9,56373,1061882.6,27.9,9.35,319,INE731A01020,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:36.417Z,2021-10-13T12:00:36.417Z,0,18.84,13-Oct-2021,
10,61681bfe03a7b2000873ddde,ARCHIES,EQ,N,19.0,18.25,18.8,18.6,18.6,18.8,46066,855253.25,27.9,9.35,356,INE731A01020,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:02.678Z,2021-10-14T12:01:02.678Z,0,18.57,14-Oct-2021,
11,616d61e081039a0008f75f8e,ARCHIES,EQ,N,18.75,18.05,18.6,18.25,18.15,18.6,69864,1278774.45,27.9,9.35,436,INE731A01020,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:32.163Z,2021-10-18T12:00:32.163Z,0,18.3,18-Oct-2021,
12,616eb37e2137b10008e72de9,ARCHIES,EQ,N,19.0,17.85,18.2,18.2,18.15,18.25,121052,2225262.75,27.9,9.35,564,INE731A01020,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.455Z,2021-10-19T12:01:02.455Z,0,18.38,19-Oct-2021,
13,60d07f80b6df770008f3049e,ARCHIES,EQ,N,17.4,16.0,16.0,16.9,16.95,16.5,167549,2832427.75,19.45,9.35,815,INE731A01020,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:04.720Z,2021-06-21T12:01:04.720Z,0,16.91,21-Jun-2021,
14,60d1d0e29d5cc500087071b2,ARCHIES,EQ,N,17.8,16.8,17.8,16.95,16.8,16.9,123213,2103555.55,19.45,9.35,621,INE731A01020,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:34.834Z,2021-06-22T12:00:34.834Z,0,17.07,22-Jun-2021,
15,60d3227e09721b000810129b,ARCHIES,EQ,N,17.1,16.25,17.0,16.55,16.5,16.95,100624,1679996.8,19.45,9.35,467,INE731A01020,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:02.693Z,2021-06-23T12:01:02.693Z,0,16.7,23-Jun-2021,
16,60d473e3b6726400082d85f3,ARCHIES,EQ,N,17.0,16.5,16.95,16.7,16.65,16.55,87026,1456399.25,19.45,9.35,416,INE731A01020,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:35.294Z,2021-06-24T12:00:35.294Z,0,16.74,24-Jun-2021,
17,60d5c560761eef0008b833fd,ARCHIES,EQ,N,16.8,16.05,16.55,16.2,16.2,16.7,127413,2080103.2,19.45,9.35,533,INE731A01020,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:32.984Z,2021-06-25T12:00:32.984Z,0,16.33,25-Jun-2021,
18,60d9b9dd758776000816a627,ARCHIES,EQ,N,17.55,16.3,16.35,16.95,17.2,16.2,413101,7080821.25,19.45,9.35,1352,INE731A01020,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:29.800Z,2021-06-28T12:00:29.800Z,0,17.14,28-Jun-2021,
19,60db0b609d5cc500086132c1,ARCHIES,EQ,N,20.3,17.0,17.35,20.2,20.3,16.95,5513944,108706816.4,20.3,9.35,10343,INE731A01020,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:32.702Z,2021-06-29T12:00:32.702Z,0,19.71,29-Jun-2021,
20,60dc5cdc7f32fd0009386c06,ARCHIES,EQ,N,20.5,18.2,20.5,18.45,18.6,20.2,1635300,31473642.95,20.5,9.35,5169,INE731A01020,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:28.106Z,2021-06-30T12:00:28.106Z,0,19.25,30-Jun-2021,
21,60ddae6115ea3f0008fe51bd,ARCHIES,EQ,N,18.75,17.05,18.75,17.7,17.8,18.45,374308,6741763.85,20.5,9.35,1874,INE731A01020,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:33.543Z,2021-07-01T12:00:33.543Z,0,18.01,01-Jul-2021,
22,60deffe3f20fbd0009ce60cc,ARCHIES,EQ,N,21.2,17.9,18.2,21.2,21.2,17.7,2768162,57200978.65,21.2,9.35,5668,INE731A01020,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:35.045Z,2021-07-02T12:00:35.045Z,0,20.66,02-Jul-2021,
23,60e2f461d502fe0008ce98c8,ARCHIES,EQ,N,23.9,21.65,22.0,22.9,23.0,21.2,3554097,81380831.1,23.9,9.35,9850,INE731A01020,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:33.107Z,2021-07-05T12:00:33.107Z,0,22.9,05-Jul-2021,
24,60e445e3d77ada00087bcf50,ARCHIES,EQ,N,23.35,22.4,23.1,22.55,22.75,22.9,813439,18580610.55,23.9,9.35,2938,INE731A01020,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:35.211Z,2021-07-06T12:00:35.211Z,0,22.84,06-Jul-2021,
25,60e5976225a08e00087c0a02,ARCHIES,EQ,N,22.65,21.05,22.1,21.2,21.2,22.55,454226,9846834.15,23.9,9.35,2007,INE731A01020,2021-07-07,2021-07-06T18:30:00.000Z,2021-07-07T12:00:34.699Z,2021-07-07T12:00:34.699Z,0,21.68,07-Jul-2021,
26,60e6e8e16972b0000896ef6e,ARCHIES,EQ,N,21.9,20.6,21.2,21.0,20.65,21.2,254387,5439479.85,23.9,9.35,1320,INE731A01020,2021-07-08,2021-07-07T18:30:00.000Z,2021-07-08T12:00:33.214Z,2021-07-08T12:00:33.214Z,0,21.38,08-Jul-2021,
27,60e83a84b37c0d000839759e,ARCHIES,EQ,N,22.8,20.85,20.9,22.35,22.25,21.0,525701,11538246.9,23.9,9.35,2516,INE731A01020,2021-07-09,2021-07-08T18:30:00.000Z,2021-07-09T12:01:08.702Z,2021-07-09T12:01:08.702Z,0,21.95,09-Jul-2021,
28,60ec2edb4341d20008421d62,ARCHIES,EQ,N,22.6,21.15,22.5,21.6,21.65,22.35,363056,7930746.05,23.9,9.35,1927,INE731A01020,2021-07-12,2021-07-11T18:30:00.000Z,2021-07-12T12:00:27.285Z,2021-07-12T12:00:27.285Z,0,21.84,12-Jul-2021,
29,60ed80601c0e4d00085119f3,ARCHIES,EQ,N,22.25,21.3,22.0,21.5,21.6,21.6,222452,4799828.9,23.9,9.35,892,INE731A01020,2021-07-13,2021-07-12T18:30:00.000Z,2021-07-13T12:00:32.742Z,2021-07-13T12:00:32.742Z,0,21.58,13-Jul-2021,
30,60eed1ff3872ec0008fc0322,ARCHIES,EQ,N,21.8,21.05,21.2,21.1,21.1,21.5,138276,2935120.75,23.9,9.35,751,INE731A01020,2021-07-14,2021-07-13T18:30:00.000Z,2021-07-14T12:01:03.025Z,2021-07-14T12:01:03.025Z,0,21.23,14-Jul-2021,
31,60f02381cc96fb000856e514,ARCHIES,EQ,N,21.7,20.85,21.45,21.0,20.95,21.1,139165,2956792.55,23.9,9.35,737,INE731A01020,2021-07-15,2021-07-14T18:30:00.000Z,2021-07-15T12:01:05.782Z,2021-07-15T12:01:05.782Z,0,21.25,15-Jul-2021,
32,60f17500cc96fb00089bf0ae,ARCHIES,EQ,N,24.4,20.3,21.0,23.25,24.15,21.0,1093478,24914412.35,24.4,9.35,2918,INE731A01020,2021-07-16,2021-07-15T18:30:00.000Z,2021-07-16T12:01:04.464Z,2021-07-16T12:01:04.464Z,0,22.78,16-Jul-2021,
33,60f5695ce089b0000849d8c5,ARCHIES,EQ,N,27.9,25.4,25.6,27.9,27.9,23.25,4125861,111956962.25,27.9,9.35,8031,INE731A01020,2021-07-19,2021-07-18T18:30:00.000Z,2021-07-19T12:00:28.625Z,2021-07-19T12:00:28.625Z,0,27.14,19-Jul-2021,
34,609bc37ec132690009effeb2,ARCHIES,EQ,N,12.7,11.85,12.05,12.2,12.3,12.05,177669,2197604.75,15.5,9.35,742,INE731A01020,2021-05-12,2021-05-11T18:30:00.000Z,2021-05-12T12:01:02.786Z,2021-05-12T12:01:02.786Z,0,12.37,12-May-2021,
35,609e667e885aee00088f467a,ARCHIES,EQ,N,12.8,12.2,12.3,12.45,12.35,12.2,97686,1226014.8,15.5,9.35,435,INE731A01020,2021-05-14,2021-05-13T18:30:00.000Z,2021-05-14T12:01:02.841Z,2021-05-14T12:01:02.841Z,0,12.55,14-May-2021,
36,60a25afe4e61470008bbed41,ARCHIES,EQ,N,12.55,12.1,12.2,12.4,12.45,12.45,52312,643942.2,15.5,9.35,173,INE731A01020,2021-05-17,2021-05-16T18:30:00.000Z,2021-05-17T12:01:02.425Z,2021-05-17T12:01:02.425Z,0,12.31,17-May-2021,
37,60a3ac7ebcb6750008860e01,ARCHIES,EQ,N,12.8,11.9,12.4,12.3,12.3,12.4,161321,1987825.3,15.5,9.35,677,INE731A01020,2021-05-18,2021-05-17T18:30:00.000Z,2021-05-18T12:01:02.258Z,2021-05-18T12:01:02.258Z,0,12.32,18-May-2021,
38,60a4fdfe1247b900089e37a3,ARCHIES,EQ,N,12.7,12.0,12.15,12.15,12.15,12.3,95008,1164713.0,15.5,9.35,310,INE731A01020,2021-05-19,2021-05-18T18:30:00.000Z,2021-05-19T12:01:02.842Z,2021-05-19T12:01:02.842Z,0,12.26,19-May-2021,
39,60a64f7e9a1015000919d0c7,ARCHIES,EQ,N,12.4,11.8,12.4,11.9,12.1,12.15,46456,558415.7,15.5,9.35,271,INE731A01020,2021-05-20,2021-05-19T18:30:00.000Z,2021-05-20T12:01:03.011Z,2021-05-20T12:01:03.011Z,0,12.02,20-May-2021,
40,60a7a0e0c7277a00086e36ed,ARCHIES,EQ,N,12.3,11.95,12.1,12.2,12.2,11.9,51618,628935.75,15.5,9.35,263,INE731A01020,2021-05-21,2021-05-20T18:30:00.000Z,2021-05-21T12:00:32.373Z,2021-05-21T12:00:32.373Z,0,12.18,21-May-2021,
41,60ab957e03728a0009a35879,ARCHIES,EQ,N,12.4,11.95,12.4,11.95,11.95,12.2,52012,626489.55,15.5,9.35,256,INE731A01020,2021-05-24,2021-05-23T18:30:00.000Z,2021-05-24T12:01:02.853Z,2021-05-24T12:01:02.853Z,0,12.05,24-May-2021,
42,60ace6fe3e1c550008766904,ARCHIES,EQ,N,12.35,11.8,12.35,12.05,12.0,11.95,21865,263092.0,15.5,9.35,141,INE731A01020,2021-05-25,2021-05-24T18:30:00.000Z,2021-05-25T12:01:02.214Z,2021-05-25T12:01:02.214Z,0,12.03,25-May-2021,
43,60ae3881e53e1c0008d90f6c,ARCHIES,EQ,N,12.4,12.0,12.3,12.25,12.2,12.05,68613,840776.4,15.5,9.35,226,INE731A01020,2021-05-26,2021-05-25T18:30:00.000Z,2021-05-26T12:01:05.434Z,2021-05-26T12:01:05.434Z,0,12.25,26-May-2021,
44,60af89e423db9e0008efd054,ARCHIES,EQ,N,14.7,12.5,12.7,14.7,14.7,12.25,1636288,23612485.75,15.5,9.35,2242,INE731A01020,2021-05-27,2021-05-26T18:30:00.000Z,2021-05-27T12:00:36.370Z,2021-05-27T12:00:36.370Z,0,14.43,27-May-2021,
45,60b0db82ecad4f0008644185,ARCHIES,EQ,N,17.45,14.4,15.7,15.2,15.05,14.7,4169646,66820619.7,17.45,9.35,9469,INE731A01020,2021-05-28,2021-05-27T18:30:00.000Z,2021-05-28T12:01:06.179Z,2021-05-28T12:01:06.179Z,0,16.03,28-May-2021,
