,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e730de,ARSHIYA,EQ,N,36.0,31.55,36.0,32.25,32.05,34.8,270893,8991830.75,44.65,12.9,1384,INE968D01022,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.925Z,2021-10-19T12:01:03.925Z,0,33.19,19-Oct-2021,
1,61700bedffea140009a3a00f,ARSHIYA,EQ,N,32.75,30.65,32.75,30.65,30.65,32.25,232164,7206144.25,44.65,12.9,940,INE968D01022,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.968Z,2021-10-20T12:30:37.968Z,0,31.04,20-Oct-2021,
2,61715663facf5c0008bb192a,ARSHIYA,EQ,N,32.0,29.15,30.05,29.15,29.15,30.65,331534,9894831.55,44.65,12.9,1991,INE968D01022,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.427Z,2021-10-21T12:00:35.427Z,0,29.85,21-Oct-2021,
3,6172a8052dc18f00080fe859,ARSHIYA,EQ,N,30.6,28.5,29.9,30.25,30.6,29.15,255815,7614449.5,44.65,12.9,1281,INE968D01022,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.293Z,2021-10-22T12:01:09.293Z,0,29.77,22-Oct-2021,
4,61769c5ddb443b0008c8e809,ARSHIYA,EQ,N,31.45,28.75,31.05,29.1,28.9,30.25,152562,4519304.65,44.65,13.0,686,INE968D01022,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.946Z,2021-10-25T12:00:29.946Z,0,29.62,25-Oct-2021,
5,6177ee002ed3fb00087dee16,ARSHIYA,EQ,N,30.55,27.75,29.5,30.35,30.0,29.1,298871,8703016.6,44.65,13.0,1370,INE968D01022,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.881Z,2021-10-26T12:01:04.881Z,0,29.12,26-Oct-2021,
6,61793f877220a800093c6dbc,ARSHIYA,EQ,N,31.85,29.25,30.65,29.55,29.75,30.35,1554662,49088900.85,44.65,13.0,1377,INE968D01022,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.923Z,2021-10-27T12:01:11.923Z,0,31.58,27-Oct-2021,
7,617a90e5b698860008b70ac5,ARSHIYA,EQ,N,29.8,28.2,29.55,28.6,28.25,29.55,116766,3377064.95,44.65,13.0,485,INE968D01022,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.195Z,2021-10-28T12:00:37.195Z,0,28.92,28-Oct-2021,
8,6139f7689241480008a1a9a2,ARSHIYA,EQ,N,30.45,29.0,30.45,29.7,29.6,29.9,192923,5726099.95,37.9,10.6,633,INE968D01022,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.977Z,2021-09-09T12:00:40.977Z,0,29.68,09-Sep-2021,
9,613f3d5d66f15f0008394794,ARSHIYA,EQ,N,29.7,28.65,29.2,29.05,29.0,29.7,52045,1515655.7,37.9,10.6,459,INE968D01022,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.331Z,2021-09-13T12:00:29.331Z,0,29.12,13-Sep-2021,
