,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e7317c,AUSOMENT,EQ,N,68.35,63.8,66.05,64.05,64.6,67.15,19375,1254835.8,118.0,34.45,321,INE218C01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.202Z,2021-10-19T12:01:04.202Z,0,64.77,19-Oct-2021,
1,61700beeffea140009a3a0c0,AUSOMENT,EQ,N,65.9,61.65,64.45,63.45,64.9,64.05,3968,251251.75,118.0,34.45,200,INE218C01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.267Z,2021-10-20T12:30:38.267Z,0,63.32,20-Oct-2021,
2,61715663facf5c0008bb19e3,AUSOMENT,EQ,N,64.65,62.4,64.2,63.8,63.4,63.45,5289,336648.75,118.0,38.0,230,INE218C01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.847Z,2021-10-21T12:00:35.847Z,0,63.65,21-Oct-2021,
3,6172a8062dc18f00080fe921,AUSOMENT,EQ,N,65.45,61.7,63.4,64.1,64.6,63.8,4047,256426.25,118.0,38.0,124,INE218C01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.387Z,2021-10-22T12:01:10.387Z,0,63.36,22-Oct-2021,
4,61769c5edb443b0008c8e8cc,AUSOMENT,EQ,N,63.5,61.1,62.8,61.9,61.85,64.1,4755,295471.7,118.0,38.0,146,INE218C01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.299Z,2021-10-25T12:00:30.299Z,0,62.14,25-Oct-2021,
5,6177ee012ed3fb00087deec6,AUSOMENT,EQ,N,63.25,61.7,63.15,62.35,62.85,61.9,1653,103138.7,118.0,39.15,50,INE218C01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.195Z,2021-10-26T12:01:05.195Z,0,62.39,26-Oct-2021,
6,61793f887220a800093c6f14,AUSOMENT,EQ,N,63.5,60.35,63.5,61.7,61.55,62.35,3924,243608.65,118.0,39.15,73,INE218C01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.479Z,2021-10-27T12:01:12.479Z,0,62.08,27-Oct-2021,
7,617a90e5b698860008b70b7c,AUSOMENT,EQ,N,63.3,60.05,63.3,61.1,63.0,61.7,2017,123126.0,118.0,39.35,97,INE218C01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.545Z,2021-10-28T12:00:37.545Z,0,61.04,28-Oct-2021,
8,6165790160745c0008937837,AUSOMENT,EQ,N,69.25,66.05,69.25,66.45,66.1,67.8,3747,249548.7,118.0,25.65,72,INE218C01016,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:05.835Z,2021-10-12T12:01:05.835Z,0,66.6,12-Oct-2021,
9,6166ca6873e7b00008259228,AUSOMENT,EQ,N,68.3,65.1,68.25,66.05,66.0,66.45,4194,279925.3,118.0,26.65,134,INE218C01016,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:40.156Z,2021-10-13T12:00:40.156Z,0,66.74,13-Oct-2021,
