,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb3802137b10008e73197,AXISGOLD,EQ,N,41.25,40.91,40.91,41.08,41.08,40.91,117278,4810805.36,50.8,36.1,3813,INF846K01W80,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.243Z,2021-10-19T12:01:04.243Z,0,41.02,19-Oct-2021
1,61700bedffea140009a39e62,AXISGOLD,EQ,N,41.14,41.0,41.0,41.01,41.0,41.08,81792,3356839.29,50.8,36.1,2557,INF846K01W80,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.212Z,2021-10-20T12:30:37.212Z,0,41.04,20-Oct-2021
2,61715663facf5c0008bb1a07,AXISGOLD,EQ,N,41.29,41.02,41.05,41.1,41.08,41.01,99631,4095621.08,50.8,36.1,2277,INF846K01W80,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.918Z,2021-10-21T12:00:35.918Z,0,41.11,21-Oct-2021
3,6172a8032dc18f00080fe695,AXISGOLD,EQ,N,41.25,41.06,41.1,41.18,41.21,41.1,65597,2699706.19,50.8,36.1,1572,INF846K01W80,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.957Z,2021-10-22T12:01:07.957Z,0,41.16,22-Oct-2021
4,61769c5edb443b0008c8e8ef,AXISGOLD,EQ,N,41.5,41.18,41.48,41.44,41.48,41.18,154540,6400706.46,50.8,36.1,2822,INF846K01W80,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.366Z,2021-10-25T12:00:30.366Z,0,41.42,25-Oct-2021
5,6177ee012ed3fb00087deee8,AXISGOLD,EQ,N,41.79,41.41,41.78,41.54,41.57,41.44,136895,5695294.99,50.8,36.1,4800,INF846K01W80,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.259Z,2021-10-26T12:01:05.259Z,0,41.6,26-Oct-2021
6,61793f887220a800093c6f53,AXISGOLD,EQ,N,41.44,41.2,41.44,41.26,41.24,41.54,82211,3392804.31,50.8,36.1,3103,INF846K01W80,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.598Z,2021-10-27T12:01:12.598Z,0,41.27,27-Oct-2021
7,617a90e5b698860008b70ba0,AXISGOLD,EQ,N,41.55,41.28,41.28,41.42,41.4,41.26,94744,3927054.2,50.8,36.1,4690,INF846K01W80,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.617Z,2021-10-28T12:00:37.617Z,0,41.45,28-Oct-2021
8,6139f7699241480008a1aa60,AXISGOLD,EQ,N,40.95,40.7,40.85,40.81,40.77,40.85,115984,4727735.34,50.8,36.1,2970,INF846K01W80,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.404Z,2021-09-09T12:00:41.404Z,0,40.76,09-Sep-2021
9,613f3d5d66f15f0008394859,AXISGOLD,EQ,N,40.99,40.65,40.81,40.75,40.78,40.81,124688,5084302.17,50.8,36.1,7359,INF846K01W80,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.669Z,2021-09-13T12:00:29.669Z,0,40.78,13-Sep-2021
