,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72f0c,BALAJITELE,EQ,N,67.5,64.6,65.9,65.1,64.8,65.55,708754,47027405.75,76.8,50.25,6424,INE794B01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.977Z,2021-10-19T12:01:02.977Z,0,66.35,19-Oct-2021,
1,61700bedffea140009a39dec,BALAJITELE,EQ,N,65.3,63.45,65.0,64.65,64.8,65.1,274263,17715411.85,76.8,50.25,2786,INE794B01026,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.019Z,2021-10-20T12:30:37.019Z,0,64.59,20-Oct-2021,
2,61715662facf5c0008bb16ed,BALAJITELE,EQ,N,66.3,64.3,65.0,65.2,65.15,64.65,232900,15209255.25,76.8,50.25,4406,INE794B01026,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.295Z,2021-10-21T12:00:34.295Z,0,65.3,21-Oct-2021,
3,6172a8032dc18f00080fe606,BALAJITELE,EQ,N,66.0,63.6,65.25,64.0,64.2,65.2,161061,10401078.9,76.8,50.25,3281,INE794B01026,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.732Z,2021-10-22T12:01:07.732Z,0,64.58,22-Oct-2021,
4,61769c5cdb443b0008c8e5c5,BALAJITELE,EQ,N,65.15,62.0,64.2,62.95,62.6,64.0,345682,21924163.2,76.8,50.25,5078,INE794B01026,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.664Z,2021-10-25T12:00:28.664Z,0,63.42,25-Oct-2021,
5,6177edff2ed3fb00087debff,BALAJITELE,EQ,N,63.9,61.9,62.95,62.7,63.0,62.95,176452,11091984.25,76.8,50.25,2651,INE794B01026,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.922Z,2021-10-26T12:01:03.922Z,0,62.86,26-Oct-2021,
6,61793f857220a800093c697d,BALAJITELE,EQ,N,63.65,62.55,62.55,62.9,63.2,62.7,103593,6542773.45,76.8,50.25,1321,INE794B01026,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.516Z,2021-10-27T12:01:09.516Z,0,63.16,27-Oct-2021,
7,617a90e3b698860008b70883,BALAJITELE,EQ,N,63.7,61.8,63.45,62.1,62.15,62.9,164981,10327073.95,76.8,50.25,2247,INE794B01026,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.568Z,2021-10-28T12:00:35.568Z,0,62.6,28-Oct-2021,
8,6139f7679241480008a1a798,BALAJITELE,EQ,N,61.8,60.1,61.4,61.0,60.95,61.4,138649,8465037.15,83.2,50.25,1509,INE794B01026,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.967Z,2021-09-09T12:00:39.967Z,0,61.05,09-Sep-2021,
9,613f3d5c66f15f0008394580,BALAJITELE,EQ,N,62.1,60.35,60.95,61.05,61.05,61.0,236301,14458096.35,83.2,50.25,2637,INE794B01026,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.462Z,2021-09-13T12:00:28.462Z,0,61.19,13-Sep-2021,
10,61408f018b051b0009544fd1,BALAJITELE,EQ,N,63.7,61.5,61.65,62.85,62.7,61.05,433981,27266698.85,83.2,50.25,5112,INE794B01026,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.284Z,2021-09-14T12:01:05.284Z,0,62.83,14-Sep-2021,
11,6141e06352f3510008866cad,BALAJITELE,EQ,N,63.8,62.3,63.4,62.55,62.35,62.85,185578,11678784.95,83.2,50.25,2912,INE794B01026,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.008Z,2021-09-15T12:00:36.008Z,0,62.93,15-Sep-2021,
12,614331dc4189570008859982,BALAJITELE,EQ,N,65.15,62.45,62.8,63.5,63.7,62.55,367232,23497212.2,83.2,50.25,7003,INE794B01026,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.541Z,2021-09-16T12:00:28.541Z,0,63.98,16-Sep-2021,
13,6144837f7f66a400087552df,BALAJITELE,EQ,N,63.9,61.55,63.9,62.1,62.55,63.5,195066,12182578.75,83.2,50.25,3051,INE794B01026,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.253Z,2021-09-17T12:01:03.253Z,0,62.45,17-Sep-2021,
14,614877e3e0fcf60008e512a8,BALAJITELE,EQ,N,63.2,60.7,61.9,61.0,60.7,62.1,150056,9268177.45,76.8,50.25,2140,INE794B01026,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.794Z,2021-09-20T12:00:35.794Z,0,61.76,20-Sep-2021,
15,6149c97fbf6def0009839c84,BALAJITELE,EQ,N,66.45,60.0,60.7,64.0,64.15,61.0,1228351,78985287.65,76.8,50.25,14217,INE794B01026,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.315Z,2021-09-21T12:01:03.315Z,0,64.3,21-Sep-2021,
16,614b1b00f6172a0008df44b6,BALAJITELE,EQ,N,70.05,64.65,64.65,67.9,67.85,64.0,1961644,132690977.15,76.8,50.25,15622,INE794B01026,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.146Z,2021-09-22T12:01:04.146Z,0,67.64,22-Sep-2021,
17,614c6c65a3bb370008f10361,BALAJITELE,EQ,N,71.0,67.5,68.35,68.6,68.55,67.9,1013465,70083913.4,76.8,50.25,11539,INE794B01026,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.468Z,2021-09-23T12:00:37.468Z,0,69.15,23-Sep-2021,
18,614dbde385b99100093147da,BALAJITELE,EQ,N,69.4,66.75,69.25,67.35,67.35,68.6,414469,28164187.9,76.8,50.25,5113,INE794B01026,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:35.552Z,2021-09-24T12:00:35.552Z,0,67.95,24-Sep-2021,
19,6151b280c3f15b0008afe675,BALAJITELE,EQ,N,69.1,65.4,68.05,66.55,66.5,67.35,343692,22948642.55,76.8,50.25,4490,INE794B01026,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:04.554Z,2021-09-27T12:01:04.554Z,0,66.77,27-Sep-2021,
20,615304064a501f0008b25951,BALAJITELE,EQ,N,67.95,65.6,66.05,66.55,66.25,66.55,330228,22005522.15,76.8,50.25,5290,INE794B01026,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:10.875Z,2021-09-28T12:01:10.875Z,0,66.64,28-Sep-2021,
21,615455814a501f0008e4ce90,BALAJITELE,EQ,N,66.85,65.75,66.0,65.9,66.0,66.55,116090,7674877.1,76.8,50.25,2381,INE794B01026,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:05.415Z,2021-09-29T12:01:05.415Z,0,66.11,29-Sep-2021,
22,6155a6ff5956820008176405,BALAJITELE,EQ,N,66.5,65.0,66.15,65.2,65.0,65.9,107562,7056323.55,76.8,50.25,1859,INE794B01026,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.645Z,2021-09-30T12:01:03.645Z,0,65.6,30-Sep-2021,
23,6156f85c00c38500086c2d6c,BALAJITELE,EQ,N,66.8,64.55,64.8,65.4,65.3,65.2,253207,16640524.0,76.8,50.25,3602,INE794B01026,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.613Z,2021-10-01T12:00:28.613Z,0,65.72,01-Oct-2021,
24,615aecff00c38500088df9b5,BALAJITELE,EQ,N,68.5,65.5,65.5,67.5,67.4,65.4,334868,22460598.2,76.8,50.25,4609,INE794B01026,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.423Z,2021-10-04T12:01:03.423Z,0,67.07,04-Oct-2021,
25,615c3e671728530008f0b02e,BALAJITELE,EQ,N,69.3,65.7,67.95,66.5,66.5,67.5,659062,44826243.95,76.8,50.25,7092,INE794B01026,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:39.068Z,2021-10-05T12:00:39.068Z,0,68.02,05-Oct-2021,
26,615d8fe17c2c3b00089ffd96,BALAJITELE,EQ,N,67.3,64.45,67.1,65.05,65.2,66.5,275662,18194233.9,76.8,50.25,4309,INE794B01026,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:33.973Z,2021-10-06T12:00:33.973Z,0,66.0,06-Oct-2021,
27,615ee161c7aa980008977ef2,BALAJITELE,EQ,N,66.7,64.85,65.6,65.25,65.7,65.05,149673,9845437.45,76.8,50.25,2341,INE794B01026,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:33.680Z,2021-10-07T12:00:33.680Z,0,65.78,07-Oct-2021,
28,6160330031c1ce0008cb047d,BALAJITELE,EQ,N,67.8,65.6,65.8,65.9,66.0,65.25,291385,19404455.85,76.8,50.25,3500,INE794B01026,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:04.184Z,2021-10-08T12:01:04.184Z,0,66.59,08-Oct-2021,
29,61644a8d1ffdf40008ba3fcd,BALAJITELE,EQ,N,68.5,66.0,66.0,66.9,66.85,65.9,456083,30618009.4,76.8,50.25,6040,INE794B01026,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:37.857Z,2021-10-11T14:30:37.857Z,0,67.13,11-Oct-2021,
30,6165790060745c0008937574,BALAJITELE,EQ,N,68.95,66.15,66.75,67.0,66.8,66.9,478538,32341404.45,76.8,50.25,6541,INE794B01026,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:04.561Z,2021-10-12T12:01:04.561Z,0,67.58,12-Oct-2021,
31,6166ca6673e7b00008258f63,BALAJITELE,EQ,N,67.7,66.0,67.3,66.55,66.35,67.0,352788,23592655.4,76.8,50.25,5499,INE794B01026,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:38.827Z,2021-10-13T12:00:38.827Z,0,66.87,13-Oct-2021,
32,61681bff03a7b2000873df38,BALAJITELE,EQ,N,67.25,65.75,66.9,66.05,66.05,66.55,199787,13263862.4,76.8,50.25,2616,INE794B01026,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:03.258Z,2021-10-14T12:01:03.258Z,0,66.39,14-Oct-2021,
33,616d61e381039a0008f764bf,BALAJITELE,EQ,N,67.2,65.2,66.2,65.55,65.65,66.05,373069,24669105.5,76.8,50.25,3131,INE794B01026,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:35.536Z,2021-10-18T12:00:35.536Z,0,66.12,18-Oct-2021,
34,616eb37e2137b10008e72f0c,BALAJITELE,EQ,N,67.5,64.6,65.9,65.1,64.8,65.55,708754,47027405.75,76.8,50.25,6424,INE794B01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.977Z,2021-10-19T12:01:02.977Z,0,66.35,19-Oct-2021,
35,6107de7f4c6c270008f21845,BALAJITELE,EQ,N,71.7,70.05,70.75,70.3,70.3,70.2,583097,41317069.6,101.8,50.25,4232,INE794B01026,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:03.545Z,2021-08-02T12:01:03.545Z,0,70.86,02-Aug-2021,
36,61092fe2ddfad700096fd969,BALAJITELE,EQ,N,71.2,68.45,70.85,68.75,68.7,70.3,726786,50628889.5,101.8,50.25,5967,INE794B01026,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:34.963Z,2021-08-03T12:00:34.963Z,0,69.66,03-Aug-2021,
37,610a815dddfad70009998e68,BALAJITELE,EQ,N,70.1,67.75,68.65,68.0,68.0,68.75,618684,42662494.05,101.8,50.25,4991,INE794B01026,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:29.458Z,2021-08-04T12:00:29.458Z,0,68.96,04-Aug-2021,
38,610bd301c5cd9d00085922a0,BALAJITELE,EQ,N,68.5,65.5,67.9,66.6,66.65,68.0,362369,24126716.7,101.8,50.25,3003,INE794B01026,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:05.065Z,2021-08-05T12:01:05.065Z,0,66.58,05-Aug-2021,
39,610d24621ad12f0009efa8f7,BALAJITELE,EQ,N,67.7,66.3,66.3,66.95,67.0,66.6,201554,13528880.65,101.8,50.25,1849,INE794B01026,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:34.809Z,2021-08-06T12:00:34.809Z,0,67.12,06-Aug-2021,
40,611118e24df23100084ea905,BALAJITELE,EQ,N,67.75,65.7,67.0,66.9,66.7,66.95,415838,27784806.05,94.95,50.25,3685,INE794B01026,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:34.078Z,2021-08-09T12:00:34.078Z,0,66.82,09-Aug-2021,
41,61126a63cce4c40008592f7b,BALAJITELE,EQ,N,67.7,63.95,67.0,64.6,64.5,66.9,436875,28737842.65,94.95,50.25,4250,INE794B01026,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:35.892Z,2021-08-10T12:00:35.892Z,0,65.78,10-Aug-2021,
42,6113bbdc3759be0008112107,BALAJITELE,EQ,N,65.05,60.7,64.6,62.15,62.0,64.6,633352,39215665.25,94.95,50.25,6554,INE794B01026,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:28.396Z,2021-08-11T12:00:28.396Z,0,61.92,11-Aug-2021,
43,61150d62ea5aa20008b5ecf4,BALAJITELE,EQ,N,66.7,62.1,62.15,64.75,64.7,62.15,589105,37581416.15,94.95,50.25,6780,INE794B01026,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:34.423Z,2021-08-12T12:00:34.423Z,0,63.79,12-Aug-2021,
44,61165ee45fd7730008dabcee,BALAJITELE,EQ,N,65.45,63.2,64.95,63.95,63.85,64.75,348322,22433005.15,94.95,50.25,3497,INE794B01026,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:36.472Z,2021-08-13T12:00:36.472Z,0,64.4,13-Aug-2021,
45,611a5361cce4c4000835c01e,BALAJITELE,EQ,N,64.55,62.55,63.95,62.9,62.55,63.95,344971,21917226.45,90.0,50.25,4137,INE794B01026,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:33.950Z,2021-08-16T12:00:33.950Z,0,63.53,16-Aug-2021,
46,611ba501cce4c4000862aa53,BALAJITELE,EQ,N,64.7,61.45,62.9,62.2,62.2,62.9,376149,23668864.4,90.0,50.25,4018,INE794B01026,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:05.487Z,2021-08-17T12:01:05.487Z,0,62.92,17-Aug-2021,
47,611cf664913015000809b77a,BALAJITELE,EQ,N,62.85,60.5,62.85,61.05,61.05,62.2,194061,11915741.75,90.0,50.25,2208,INE794B01026,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:36.171Z,2021-08-18T12:00:36.171Z,0,61.4,18-Aug-2021,
48,611f9962d448d000082abdfa,BALAJITELE,EQ,N,61.7,59.55,60.55,60.05,60.05,61.05,181987,11029700.4,90.0,50.25,2062,INE794B01026,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:34.187Z,2021-08-20T12:00:34.187Z,0,60.61,20-Aug-2021,
49,61238de28095fa0008ef2412,BALAJITELE,EQ,N,61.4,57.1,60.55,57.75,57.4,60.05,325983,19277625.9,89.3,50.25,4177,INE794B01026,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:34.272Z,2021-08-23T12:00:34.272Z,0,59.14,23-Aug-2021,"[{'symbol': 'BALAJITELE', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': ' Annual General Meeting/Dividend - Rs 0.20 Per Share', 'exDate': '23-Aug-2021', 'recDate': '-', 'bcStartDate': '25-Aug-2021', 'bcEndDate': '31-Aug-2021', 'ndStartDate': '-', 'comp': 'Balaji Telefilms Limited', 'isin': 'INE794B01026', 'ndEndDate': '-', 'caBroadcastDate': None}]"
50,6124df7fa939250008519870,BALAJITELE,EQ,N,60.65,57.75,58.0,59.95,60.2,57.75,226867,13473913.1,89.3,50.25,2640,INE794B01026,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:03.855Z,2021-08-24T12:01:03.855Z,0,59.39,24-Aug-2021,
51,612630dc2596f30008058806,BALAJITELE,EQ,N,60.5,58.55,60.45,58.85,59.15,59.95,163491,9722483.9,89.3,50.25,1923,INE794B01026,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:28.128Z,2021-08-25T12:00:28.128Z,0,59.47,25-Aug-2021,
52,612782662596f30008059135,BALAJITELE,EQ,N,63.5,58.7,59.4,62.8,62.55,58.85,511899,31667619.5,89.3,50.25,6652,INE794B01026,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:38.337Z,2021-08-26T12:00:38.337Z,0,61.86,26-Aug-2021,
53,6128d3ff91221d0009d5aaef,BALAJITELE,EQ,N,63.5,61.0,62.8,61.35,61.3,62.8,268700,16740978.95,89.3,50.25,4017,INE794B01026,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:03.338Z,2021-08-27T12:01:03.338Z,0,62.3,27-Aug-2021,
54,612cc864f99d720008a94c2b,BALAJITELE,EQ,N,61.9,60.8,61.8,61.05,60.9,61.35,121594,7459755.45,87.4,50.25,1965,INE794B01026,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:36.778Z,2021-08-30T12:00:36.778Z,0,61.35,30-Aug-2021,
55,612e19dceb0c1300081386a4,BALAJITELE,EQ,N,62.9,60.55,61.6,61.1,61.1,61.05,320191,19758904.9,87.4,50.25,5586,INE794B01026,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:28.595Z,2021-08-31T12:00:28.595Z,0,61.71,31-Aug-2021,
56,612f6b62fca57e0008dc521c,BALAJITELE,EQ,N,61.9,59.65,60.75,60.65,60.8,61.1,236115,14278219.1,87.4,50.25,2657,INE794B01026,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:34.401Z,2021-09-01T12:00:34.401Z,0,60.47,01-Sep-2021,
57,6130bcdeadef120008504531,BALAJITELE,EQ,N,62.0,60.7,60.8,61.25,61.2,60.65,114137,7000129.1,87.4,50.25,1425,INE794B01026,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:30.302Z,2021-09-02T12:00:30.302Z,0,61.33,02-Sep-2021,
58,61320e7f4f4d7600089d8e18,BALAJITELE,EQ,N,62.65,61.2,61.2,61.9,61.6,61.25,137304,8510437.9,87.4,50.25,1658,INE794B01026,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:03.686Z,2021-09-03T12:01:03.686Z,0,61.98,03-Sep-2021,
