,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e730fc,BEARDSELL,EQ,N,14.65,14.0,14.65,14.15,14.1,14.25,4185,59905.25,18.6,8.0,60,INE520H01022,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.969Z,2021-10-19T12:01:03.969Z,0,14.31,19-Oct-2021,
1,61700beeffea140009a3a031,BEARDSELL,EQ,N,14.5,14.05,14.15,14.05,14.05,14.15,4281,60863.3,18.6,8.0,41,INE520H01022,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.044Z,2021-10-20T12:30:38.044Z,0,14.22,20-Oct-2021,
2,61715663facf5c0008bb194c,BEARDSELL,EQ,N,14.7,14.05,14.45,14.6,14.7,14.05,5983,85388.0,18.6,8.0,42,INE520H01022,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.486Z,2021-10-21T12:00:35.486Z,0,14.27,21-Oct-2021,
3,6172a8052dc18f00080fe885,BEARDSELL,EQ,N,14.95,14.25,14.55,14.95,14.95,14.6,8705,128401.2,18.6,8.0,72,INE520H01022,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.479Z,2021-10-22T12:01:09.479Z,0,14.75,22-Oct-2021,
4,61769c5edb443b0008c8e830,BEARDSELL,EQ,N,15.3,14.85,15.1,14.95,14.85,14.95,49096,740486.9,18.6,8.0,92,INE520H01022,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.024Z,2021-10-25T12:00:30.024Z,0,15.08,25-Oct-2021,
5,6177ee002ed3fb00087dee3b,BEARDSELL,EQ,N,15.3,14.75,15.05,15.1,15.1,14.95,10037,151731.7,18.6,8.0,85,INE520H01022,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.952Z,2021-10-26T12:01:04.952Z,0,15.12,26-Oct-2021,
6,61793f887220a800093c6e05,BEARDSELL,EQ,N,15.6,14.65,15.3,15.0,15.25,15.1,15459,233988.95,18.6,8.0,94,INE520H01022,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.043Z,2021-10-27T12:01:12.043Z,0,15.14,27-Oct-2021,
7,617a90e5b698860008b70ae8,BEARDSELL,EQ,N,15.1,14.5,15.1,14.7,14.95,15.0,7126,105342.5,18.6,8.0,37,INE520H01022,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.297Z,2021-10-28T12:00:37.297Z,0,14.78,28-Oct-2021,
8,6139f7699241480008a1a9c1,BEARDSELL,EQ,N,13.9,13.25,13.85,13.5,13.4,13.7,13158,179499.3,18.6,8.0,75,INE520H01022,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.041Z,2021-09-09T12:00:41.041Z,0,13.64,09-Sep-2021,
9,613f3d5d66f15f00083947b4,BEARDSELL,EQ,N,13.9,13.4,13.4,13.45,13.7,13.5,26255,358306.65,18.6,8.0,209,INE520H01022,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.383Z,2021-09-13T12:00:29.383Z,0,13.65,13-Sep-2021,
