,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73122,BIRLAMONEY,EQ,N,66.45,64.0,66.45,64.15,64.0,65.8,108364,7035435.05,88.8,35.2,1799,INE865C01022,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.058Z,2021-10-19T12:01:04.058Z,0,64.92,19-Oct-2021,
1,61700beeffea140009a3a05b,BIRLAMONEY,EQ,N,64.15,62.1,64.15,62.3,62.6,64.15,90707,5705132.85,88.8,35.2,1298,INE865C01022,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.111Z,2021-10-20T12:30:38.111Z,0,62.9,20-Oct-2021,
2,61715663facf5c0008bb197b,BIRLAMONEY,EQ,N,65.75,61.15,62.45,64.4,65.6,62.3,132518,8431534.95,88.8,35.2,1511,INE865C01022,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.576Z,2021-10-21T12:00:35.576Z,0,63.63,21-Oct-2021,
3,6172a8052dc18f00080fe8b6,BIRLAMONEY,EQ,N,66.5,62.3,65.4,62.9,62.85,64.4,192964,12379908.8,88.8,35.2,2286,INE865C01022,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.825Z,2021-10-22T12:01:09.825Z,0,64.16,22-Oct-2021,
4,61769c5edb443b0008c8e85d,BIRLAMONEY,EQ,N,64.0,61.5,62.45,62.4,62.25,62.9,83802,5237401.6,88.8,35.2,1519,INE865C01022,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.099Z,2021-10-25T12:00:30.099Z,0,62.5,25-Oct-2021,
5,6177ee012ed3fb00087dee64,BIRLAMONEY,EQ,N,64.0,62.4,62.4,63.15,63.2,62.4,58103,3664957.55,88.8,35.2,1074,INE865C01022,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.012Z,2021-10-26T12:01:05.012Z,0,63.08,26-Oct-2021,
6,61793f887220a800093c6e5b,BIRLAMONEY,EQ,N,64.0,62.0,63.95,62.35,62.45,63.15,68234,4284150.15,88.8,35.2,1038,INE865C01022,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.178Z,2021-10-27T12:01:12.178Z,0,62.79,27-Oct-2021,
7,617a90e5b698860008b70b15,BIRLAMONEY,EQ,N,62.8,61.1,61.65,61.25,61.1,62.35,69914,4312842.65,88.8,35.2,1094,INE865C01022,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.374Z,2021-10-28T12:00:37.374Z,0,61.69,28-Oct-2021,
8,6139f7699241480008a1a9e9,BIRLAMONEY,EQ,N,62.95,61.2,62.95,61.8,62.0,61.95,64690,3999095.7,88.8,35.2,864,INE865C01022,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.102Z,2021-09-09T12:00:41.102Z,0,61.82,09-Sep-2021,
9,613f3d5d66f15f00083947df,BIRLAMONEY,EQ,N,62.5,60.85,62.0,61.0,61.1,61.8,76229,4679662.05,88.8,35.2,1034,INE865C01022,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.459Z,2021-09-13T12:00:29.459Z,0,61.39,13-Sep-2021,
10,61408f028b051b0009545222,BIRLAMONEY,EQ,N,62.5,61.0,62.5,61.75,61.85,61.0,50583,3121424.1,88.8,35.2,678,INE865C01022,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.390Z,2021-09-14T12:01:06.390Z,0,61.71,14-Sep-2021,
11,6141e06552f3510008866f0b,BIRLAMONEY,EQ,N,66.25,61.75,61.75,65.15,65.1,61.75,376070,24247093.75,88.8,35.2,4246,INE865C01022,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.083Z,2021-09-15T12:00:37.083Z,0,64.47,15-Sep-2021,
12,614331dd4189570008859bc4,BIRLAMONEY,EQ,N,66.9,65.0,65.0,65.8,65.9,65.15,238215,15732027.7,88.8,35.2,3048,INE865C01022,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.551Z,2021-09-16T12:00:29.551Z,0,66.04,16-Sep-2021,
13,614483807f66a40008755544,BIRLAMONEY,EQ,N,66.25,60.95,66.2,62.35,62.3,65.8,178032,11208348.9,88.8,35.2,2853,INE865C01022,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.265Z,2021-09-17T12:01:04.265Z,0,62.96,17-Sep-2021,
14,614877e4e0fcf60008e5151c,BIRLAMONEY,EQ,N,62.9,60.05,62.35,60.45,60.4,62.35,106980,6580857.45,88.8,35.2,1579,INE865C01022,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.004Z,2021-09-20T12:00:37.004Z,0,61.51,20-Sep-2021,
15,6149c980bf6def0009839ee1,BIRLAMONEY,EQ,N,61.0,59.35,60.0,60.35,60.3,60.45,117629,7070066.65,88.8,35.2,1381,INE865C01022,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.261Z,2021-09-21T12:01:04.261Z,0,60.1,21-Sep-2021,
16,614b1b01f6172a0008df4714,BIRLAMONEY,EQ,N,62.9,59.75,60.75,61.55,61.5,60.35,136908,8473064.9,88.8,35.2,2439,INE865C01022,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.310Z,2021-09-22T12:01:05.310Z,0,61.89,22-Sep-2021,
17,614c6c66a3bb370008f105be,BIRLAMONEY,EQ,N,64.9,62.15,62.9,62.85,62.75,61.55,149456,9446485.1,88.8,35.2,2026,INE865C01022,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.356Z,2021-09-23T12:00:38.356Z,0,63.21,23-Sep-2021,
18,614dbde485b9910009314a2e,BIRLAMONEY,EQ,N,65.9,63.05,65.0,63.5,63.3,62.85,246138,15890919.8,88.8,35.2,3394,INE865C01022,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.549Z,2021-09-24T12:00:36.549Z,0,64.56,24-Sep-2021,
19,6151b281c3f15b0008afe8db,BIRLAMONEY,EQ,N,63.95,61.45,63.95,62.0,61.95,63.5,128400,8048892.6,88.8,35.2,1671,INE865C01022,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.533Z,2021-09-27T12:01:05.533Z,0,62.69,27-Sep-2021,
20,615304074a501f0008b25bb0,BIRLAMONEY,EQ,N,64.8,61.95,62.05,62.95,63.0,62.0,149844,9446916.7,88.8,35.2,1896,INE865C01022,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.867Z,2021-09-28T12:01:11.867Z,0,63.05,28-Sep-2021,
21,615455824a501f0008e4d0fd,BIRLAMONEY,EQ,N,63.7,62.5,63.25,62.8,62.75,62.95,61347,3854804.6,88.8,35.2,1009,INE865C01022,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.745Z,2021-09-29T12:01:06.745Z,0,62.84,29-Sep-2021,
22,6155a700595682000817666f,BIRLAMONEY,EQ,N,64.0,62.55,63.2,63.0,63.1,62.8,74371,4691197.55,88.8,35.2,1230,INE865C01022,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.751Z,2021-09-30T12:01:04.751Z,0,63.08,30-Sep-2021,
23,6156f85d00c38500086c2fd7,BIRLAMONEY,EQ,N,64.25,62.05,62.5,63.4,63.3,63.0,112808,7123014.55,88.8,35.2,1150,INE865C01022,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.713Z,2021-10-01T12:00:29.713Z,0,63.14,01-Oct-2021,
