,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72fa4,CELEBRITY,EQ,N,10.35,10.05,10.05,10.05,10.05,10.55,96616,971900.95,15.0,4.45,223,INE185H01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.402Z,2021-10-19T12:01:03.402Z,0,10.06,19-Oct-2021,
1,61700becffea140009a39c62,CELEBRITY,EQ,N,10.05,9.6,10.05,9.7,9.95,10.05,85589,831532.35,15.0,4.45,239,INE185H01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.317Z,2021-10-20T12:30:36.317Z,0,9.72,20-Oct-2021,
2,61715662facf5c0008bb17b2,CELEBRITY,EQ,N,10.15,9.7,9.9,10.15,10.15,9.7,48852,488587.95,15.0,4.45,228,INE185H01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.662Z,2021-10-21T12:00:34.662Z,0,10.0,21-Oct-2021,
3,6172a8022dc18f00080fe457,CELEBRITY,EQ,N,10.65,10.35,10.55,10.65,10.65,10.15,57889,614764.45,15.0,4.45,220,INE185H01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.013Z,2021-10-22T12:01:07.013Z,0,10.62,22-Oct-2021,
4,61769c5ddb443b0008c8e689,CELEBRITY,EQ,N,11.15,10.15,11.15,10.2,10.3,10.65,86874,906055.4,15.0,4.45,376,INE185H01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.278Z,2021-10-25T12:00:29.278Z,0,10.43,25-Oct-2021,
5,6177ee002ed3fb00087decb1,CELEBRITY,EQ,N,10.7,10.05,10.4,10.7,10.7,10.2,40988,428427.1,15.0,4.45,143,INE185H01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.269Z,2021-10-26T12:01:04.269Z,0,10.45,26-Oct-2021,
6,61793f867220a800093c6af9,CELEBRITY,EQ,N,11.0,10.2,10.85,10.2,10.2,10.7,53581,569396.75,15.0,4.45,188,INE185H01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.330Z,2021-10-27T12:01:10.330Z,0,10.63,27-Oct-2021,
7,617a90e4b698860008b70945,CELEBRITY,EQ,N,10.25,9.7,10.25,9.8,9.8,10.2,71520,700155.4,15.0,4.45,254,INE185H01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.376Z,2021-10-28T12:00:36.376Z,0,9.79,28-Oct-2021,
8,6139f7689241480008a1a845,CELEBRITY,EQ,N,9.35,8.9,9.05,9.05,9.15,9.1,32295,294559.15,15.0,4.3,209,INE185H01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.244Z,2021-09-09T12:00:40.244Z,0,9.12,09-Sep-2021,
9,613f3d5c66f15f000839462e,CELEBRITY,EQ,N,9.2,8.85,8.95,9.0,9.0,9.05,42444,381414.9,15.0,4.3,226,INE185H01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.728Z,2021-09-13T12:00:28.728Z,0,8.99,13-Sep-2021,
10,61408f018b051b0009545084,CELEBRITY,EQ,N,9.45,8.8,9.2,9.45,9.45,9.0,82355,769281.85,15.0,4.3,241,INE185H01016,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.675Z,2021-09-14T12:01:05.675Z,0,9.34,14-Sep-2021,
11,6141e06452f3510008866d5f,CELEBRITY,EQ,N,9.9,9.85,9.9,9.9,9.9,9.45,31726,314062.4,15.0,4.3,83,INE185H01016,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.350Z,2021-09-15T12:00:36.350Z,0,9.9,15-Sep-2021,
12,614331dc4189570008859a2e,CELEBRITY,EQ,N,10.35,10.1,10.3,10.35,10.35,9.9,61046,629641.85,15.0,4.3,140,INE185H01016,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.823Z,2021-09-16T12:00:28.823Z,0,10.31,16-Sep-2021,
13,6144837f7f66a40008755397,CELEBRITY,EQ,N,10.85,9.85,10.85,9.9,9.85,10.35,153299,1583140.2,15.0,4.3,503,INE185H01016,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.568Z,2021-09-17T12:01:03.568Z,0,10.33,17-Sep-2021,
14,614877e4e0fcf60008e51365,CELEBRITY,EQ,N,10.35,9.45,10.35,9.55,9.45,9.9,47239,456055.65,15.0,4.3,186,INE185H01016,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.183Z,2021-09-20T12:00:36.183Z,0,9.65,20-Sep-2021,
15,6149c97fbf6def0009839d3b,CELEBRITY,EQ,N,10.0,9.25,9.45,9.75,9.85,9.55,34150,326126.9,15.0,4.3,116,INE185H01016,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.614Z,2021-09-21T12:01:03.614Z,0,9.55,21-Sep-2021,
16,614b1afff6172a0008df4332,CELEBRITY,EQ,N,9.9,9.3,9.9,9.4,9.35,9.75,46549,444945.3,15.0,4.3,145,INE185H01016,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.482Z,2021-09-22T12:01:03.482Z,0,9.56,22-Sep-2021,
17,614c6c64a3bb370008f101de,CELEBRITY,EQ,N,9.4,9.05,9.15,9.15,9.25,9.4,50963,468981.55,15.0,4.3,189,INE185H01016,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.808Z,2021-09-23T12:00:36.808Z,0,9.2,23-Sep-2021,
18,614dbde285b9910009314651,CELEBRITY,EQ,N,9.4,9.15,9.15,9.2,9.25,9.15,26371,243108.25,15.0,4.3,112,INE185H01016,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.873Z,2021-09-24T12:00:34.873Z,0,9.22,24-Sep-2021,
19,6151b27fc3f15b0008afe4dd,CELEBRITY,EQ,N,9.6,8.85,9.0,9.45,9.5,9.2,63938,595703.95,15.0,4.3,201,INE185H01016,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:03.864Z,2021-09-27T12:01:03.864Z,0,9.32,27-Sep-2021,
20,615304074a501f0008b25a05,CELEBRITY,EQ,N,9.7,9.25,9.7,9.3,9.25,9.45,16498,154751.2,15.0,4.3,104,INE185H01016,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.177Z,2021-09-28T12:01:11.177Z,0,9.38,28-Sep-2021,
21,615455804a501f0008e4ccf9,CELEBRITY,EQ,N,9.5,9.05,9.5,9.2,9.3,9.3,18019,165656.65,15.0,4.3,106,INE185H01016,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.641Z,2021-09-29T12:01:04.641Z,0,9.19,29-Sep-2021,
22,6155a6ff59568200081764bf,CELEBRITY,EQ,N,9.4,8.95,9.4,9.0,9.1,9.2,43267,393234.5,15.0,4.3,208,INE185H01016,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.942Z,2021-09-30T12:01:03.942Z,0,9.09,30-Sep-2021,
23,6156f85c00c38500086c2e23,CELEBRITY,EQ,N,9.45,9.0,9.0,9.35,9.45,9.0,30665,280084.25,15.0,4.3,122,INE185H01016,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.949Z,2021-10-01T12:00:28.949Z,0,9.13,01-Oct-2021,
24,615aecff00c38500088dfa8a,CELEBRITY,EQ,N,9.65,9.2,9.35,9.65,9.65,9.35,34587,328739.35,15.0,4.45,194,INE185H01016,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.769Z,2021-10-04T12:01:03.769Z,0,9.5,04-Oct-2021,
25,615c3e661728530008f0ae8a,CELEBRITY,EQ,N,9.95,9.5,9.7,9.8,9.95,9.65,33133,323754.75,15.0,4.45,186,INE185H01016,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:38.206Z,2021-10-05T12:00:38.206Z,0,9.77,05-Oct-2021,
26,615d8fe27c2c3b00089ffe52,CELEBRITY,EQ,N,10.2,9.55,10.05,9.7,9.55,9.8,37817,372882.15,15.0,4.45,206,INE185H01016,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:34.359Z,2021-10-06T12:00:34.359Z,0,9.86,06-Oct-2021,
27,615ee161c7aa980008977fa3,CELEBRITY,EQ,N,9.95,9.35,9.5,9.5,9.5,9.7,40227,387806.15,15.0,4.45,197,INE185H01016,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:33.975Z,2021-10-07T12:00:33.975Z,0,9.64,07-Oct-2021,
28,616032ff31c1ce0008cb02ec,CELEBRITY,EQ,N,10.4,9.05,9.7,10.2,10.3,9.5,92382,921938.5,15.0,4.45,367,INE185H01016,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:03.416Z,2021-10-08T12:01:03.416Z,0,9.98,08-Oct-2021,
29,61644a8c1ffdf40008ba3e2c,CELEBRITY,EQ,N,11.2,10.7,10.9,11.2,11.2,10.2,100600,1113343.8,15.0,4.45,352,INE185H01016,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:36.906Z,2021-10-11T14:30:36.906Z,0,11.07,11-Oct-2021,
30,616578ff60745c00089373ed,CELEBRITY,EQ,N,12.3,11.05,12.1,12.25,12.2,11.2,381211,4580411.95,15.0,4.45,970,INE185H01016,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:03.555Z,2021-10-12T12:01:03.555Z,0,12.02,12-Oct-2021,
31,6166ca6673e7b00008258ddb,CELEBRITY,EQ,N,12.25,11.65,12.25,11.65,11.65,12.25,126696,1492962.0,15.0,4.45,378,INE185H01016,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:38.050Z,2021-10-13T12:00:38.050Z,0,11.78,13-Oct-2021,
