,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37d2137b10008e72cfa,CENTURYTEX,EQ,N,945.55,894.05,933.0,904.95,899.8,936.2,274944,253356502.2,1004.0,301.45,9757,INE055A01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:01.998Z,2021-10-19T12:01:01.998Z,0,921.48,19-Oct-2021,
1,61700bebffea140009a39b74,CENTURYTEX,EQ,N,904.0,864.0,903.5,867.15,869.9,904.95,259913,228082668.0,1004.0,301.45,16627,INE055A01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.911Z,2021-10-20T12:30:35.911Z,0,877.53,20-Oct-2021,
2,61715660facf5c0008bb1490,CENTURYTEX,EQ,N,877.45,851.0,876.0,861.4,862.5,867.15,233870,203014211.2,1004.0,301.45,10214,INE055A01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:32.860Z,2021-10-21T12:00:32.860Z,0,868.06,21-Oct-2021,
3,6172a8022dc18f00080fe34f,CENTURYTEX,EQ,N,877.0,841.45,862.1,847.9,847.8,861.4,415062,357620645.05,1004.0,301.45,10094,INE055A01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.567Z,2021-10-22T12:01:06.567Z,0,861.61,22-Oct-2021,
4,61769c5bdb443b0008c8e351,CENTURYTEX,EQ,N,857.3,785.0,852.55,788.6,788.5,847.9,465189,375974724.6,1004.0,301.45,20832,INE055A01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.481Z,2021-10-25T12:00:27.481Z,0,808.22,25-Oct-2021,
5,6177edfe2ed3fb00087de9b4,CENTURYTEX,EQ,N,827.25,790.8,791.0,810.6,812.0,788.6,394041,318257989.35,1004.0,301.45,12888,INE055A01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.069Z,2021-10-26T12:01:02.069Z,0,807.68,26-Oct-2021,
6,61793f837220a800093c64bf,CENTURYTEX,EQ,N,824.0,795.4,816.0,803.15,802.0,810.6,222198,180164859.0,1004.0,301.45,8207,INE055A01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:07.080Z,2021-10-27T12:01:07.080Z,0,810.83,27-Oct-2021,
7,617a90e2b698860008b70614,CENTURYTEX,EQ,N,810.25,789.0,810.25,790.9,791.0,803.15,183241,145734573.65,1004.0,301.45,8719,INE055A01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.356Z,2021-10-28T12:00:34.356Z,0,795.32,28-Oct-2021,
8,6139f7669241480008a1a54e,CENTURYTEX,EQ,N,873.85,852.0,865.0,854.95,854.0,869.7,398200,342660522.9,884.9,301.45,11401,INE055A01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:38.949Z,2021-09-09T12:00:38.949Z,0,860.52,09-Sep-2021,
9,613f3d5b66f15f0008394334,CENTURYTEX,EQ,N,861.05,840.1,848.0,848.6,845.0,854.95,418524,355210663.35,884.9,301.45,11139,INE055A01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.341Z,2021-09-13T12:00:27.341Z,0,848.72,13-Sep-2021,
10,61408eff8b051b0009544d7f,CENTURYTEX,EQ,N,855.6,840.6,850.0,846.45,844.05,848.6,264501,224195573.95,884.9,301.45,7570,INE055A01016,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.002Z,2021-09-14T12:01:04.002Z,0,847.62,14-Sep-2021,
