,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73254,ELGIRUBCO,EQ,N,39.55,38.2,39.35,38.65,39.0,39.35,57542,2232136.3,47.6,15.55,429,INE819L01012,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.586Z,2021-10-19T12:01:04.586Z,0,38.79,19-Oct-2021,
1,61700bebffea140009a39a29,ELGIRUBCO,EQ,N,39.0,38.0,38.25,38.35,38.6,38.65,39850,1524587.9,47.6,15.55,289,INE819L01012,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.313Z,2021-10-20T12:30:35.313Z,0,38.26,20-Oct-2021,
2,61715664facf5c0008bb1adb,ELGIRUBCO,EQ,N,38.9,36.8,38.35,37.9,38.0,38.35,46028,1736157.9,47.6,15.55,360,INE819L01012,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.317Z,2021-10-21T12:00:36.317Z,0,37.72,21-Oct-2021,
3,6172a8012dc18f00080fe1e1,ELGIRUBCO,EQ,N,38.7,37.6,38.7,37.75,37.6,37.9,20805,789021.35,47.6,15.55,242,INE819L01012,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.964Z,2021-10-22T12:01:05.964Z,0,37.92,22-Oct-2021,
4,61769c5edb443b0008c8e9e0,ELGIRUBCO,EQ,N,38.5,36.8,38.5,37.1,37.3,37.75,30530,1140668.65,47.6,16.0,338,INE819L01012,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.956Z,2021-10-25T12:00:30.956Z,0,37.36,25-Oct-2021,
5,6177ee012ed3fb00087defb9,ELGIRUBCO,EQ,N,38.25,37.1,37.1,37.5,37.3,37.1,17031,640877.55,47.6,16.0,227,INE819L01012,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.670Z,2021-10-26T12:01:05.670Z,0,37.63,26-Oct-2021,
6,61793f897220a800093c710b,ELGIRUBCO,EQ,N,38.85,37.0,38.85,37.2,37.4,37.5,44050,1643628.55,47.6,16.0,519,INE819L01012,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.406Z,2021-10-27T12:01:13.406Z,0,37.31,27-Oct-2021,
7,617a90e5b698860008b70c85,ELGIRUBCO,EQ,N,37.85,37.05,37.45,37.35,37.15,37.2,16902,631497.7,47.6,16.0,205,INE819L01012,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.012Z,2021-10-28T12:00:38.012Z,0,37.36,28-Oct-2021,
8,6139f7699241480008a1ab2a,ELGIRUBCO,EQ,N,40.75,39.0,39.7,39.6,39.5,39.2,107222,4277533.2,46.5,15.3,644,INE819L01012,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.850Z,2021-09-09T12:00:41.850Z,0,39.89,09-Sep-2021,
9,613f3d5e66f15f0008394932,ELGIRUBCO,EQ,N,39.5,38.1,38.1,38.55,38.65,39.6,48815,1889545.6,46.5,15.3,351,INE819L01012,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.017Z,2021-09-13T12:00:30.017Z,0,38.71,13-Sep-2021,
