,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72db8,GAIL,EQ,N,162.6,154.85,161.8,155.75,155.5,161.35,7452329,1179544148.05,171.3,82.15,44523,INE129A01019,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.365Z,2021-10-19T12:01:02.365Z,0,158.28,19-Oct-2021,
1,61700beaffea140009a398d1,GAIL,EQ,N,155.2,150.2,155.0,151.6,151.55,155.75,8527474,1298663846.3,171.3,82.15,50425,INE129A01019,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.532Z,2021-10-20T12:30:34.532Z,0,152.29,20-Oct-2021,
2,61715661facf5c0008bb156d,GAIL,EQ,N,154.9,148.6,153.1,149.7,150.5,151.6,16741093,2520797740.45,171.3,82.15,59028,INE129A01019,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.512Z,2021-10-21T12:00:33.512Z,0,150.58,21-Oct-2021,
3,6172a8012dc18f00080fe062,GAIL,EQ,N,153.9,148.75,152.5,150.5,150.2,149.7,9069912,1370660421.2,171.3,82.15,56740,INE129A01019,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.244Z,2021-10-22T12:01:05.244Z,0,151.12,22-Oct-2021,
4,61769c5bdb443b0008c8e439,GAIL,EQ,N,151.85,146.1,151.55,148.25,148.35,150.5,6942514,1031671573.1,171.3,82.15,45755,INE129A01019,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.917Z,2021-10-25T12:00:27.917Z,0,148.6,25-Oct-2021,
5,6177edff2ed3fb00087dea88,GAIL,EQ,N,152.5,148.85,148.85,152.0,152.25,148.25,7550360,1140291366.65,171.3,82.15,40878,INE129A01019,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.085Z,2021-10-26T12:01:03.085Z,0,151.02,26-Oct-2021,
6,61793f847220a800093c6682,GAIL,EQ,N,153.45,149.35,152.15,149.75,150.4,152.0,11969414,1809109662.0,171.3,82.15,52410,INE129A01019,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.264Z,2021-10-27T12:01:08.264Z,0,151.14,27-Oct-2021,
7,617a90e2b698860008b706f4,GAIL,EQ,N,151.0,146.2,150.5,147.45,147.2,149.75,9873408,1467271709.25,171.3,82.15,41481,INE129A01019,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.795Z,2021-10-28T12:00:34.795Z,0,148.61,28-Oct-2021,
8,6139f7679241480008a1a61c,GAIL,EQ,N,148.75,144.5,144.95,145.15,145.1,145.1,12018323,1755804552.25,170.3,81.2,72511,INE129A01019,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.317Z,2021-09-09T12:00:39.317Z,0,146.09,09-Sep-2021,
9,613f3d5b66f15f0008394406,GAIL,EQ,N,146.3,144.45,145.95,145.9,146.2,145.15,7285948,1058377064.5,170.3,81.2,36909,INE129A01019,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.777Z,2021-09-13T12:00:27.777Z,0,145.26,13-Sep-2021,
10,61408f008b051b0009544e53,GAIL,EQ,N,156.65,147.2,147.2,156.0,156.05,145.9,36317283,5557948887.2,170.3,81.2,200354,INE129A01019,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.375Z,2021-09-14T12:01:04.375Z,0,153.04,14-Sep-2021,
11,6141e06252f3510008866b29,GAIL,EQ,N,159.75,155.3,156.0,157.15,156.7,156.0,19909129,3140218443.7,170.3,81.2,132196,INE129A01019,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:34.987Z,2021-09-15T12:00:34.987Z,0,157.73,15-Sep-2021,
12,614331db41895700088597fd,GAIL,EQ,N,158.2,156.0,157.0,157.15,156.75,157.15,11639900,1828473466.45,170.3,81.2,67303,INE129A01019,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:27.869Z,2021-09-16T12:00:27.869Z,0,157.09,16-Sep-2021,
13,6144837e7f66a40008755155,GAIL,EQ,N,159.35,153.25,156.85,154.1,154.55,157.15,19212463,2984778505.6,170.3,81.2,65595,INE129A01019,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:02.604Z,2021-09-17T12:01:02.604Z,0,155.36,17-Sep-2021,
14,614877e3e0fcf60008e51118,GAIL,EQ,N,154.6,148.55,152.0,149.8,149.0,154.1,5998449,912821893.2,170.3,81.2,33558,INE129A01019,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.137Z,2021-09-20T12:00:35.137Z,0,152.18,20-Sep-2021,
15,6149c97ebf6def0009839afb,GAIL,EQ,N,152.0,145.0,149.8,150.0,150.55,149.8,8663366,1299664766.45,170.3,81.2,49448,INE129A01019,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:02.686Z,2021-09-21T12:01:02.686Z,0,150.02,21-Sep-2021,
16,614b1afdf6172a0008df3fd7,GAIL,EQ,N,152.15,149.4,150.9,150.0,149.9,150.0,11442500,1722723039.45,170.3,81.2,51449,INE129A01019,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:01.907Z,2021-09-22T12:01:01.907Z,0,150.55,22-Sep-2021,
17,614c6c63a3bb370008f0fe84,GAIL,EQ,N,155.65,151.15,152.05,152.9,153.15,150.0,15138877,2317833322.35,170.3,81.2,70498,INE129A01019,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:35.272Z,2021-09-23T12:00:35.272Z,0,153.1,23-Sep-2021,
18,614dbde185b99100093142dc,GAIL,EQ,N,154.8,148.55,154.0,152.6,151.5,152.9,15631653,2385755805.25,170.3,81.2,77230,INE129A01019,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:33.108Z,2021-09-24T12:00:33.108Z,0,152.62,24-Sep-2021,
19,6151b27ec3f15b0008afe17a,GAIL,EQ,N,157.0,152.0,155.0,154.5,154.75,152.6,20980859,3230879622.5,170.3,81.2,98388,INE129A01019,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:02.241Z,2021-09-27T12:01:02.241Z,0,153.99,27-Sep-2021,
20,615304064a501f0008b257cf,GAIL,EQ,N,161.4,153.05,154.25,159.5,159.3,154.5,32956454,5229922959.35,170.3,81.2,160972,INE129A01019,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:10.194Z,2021-09-28T12:01:10.194Z,0,158.69,28-Sep-2021,
21,6154557e4a501f0008e4c96a,GAIL,EQ,N,161.5,154.25,157.95,156.3,155.8,159.5,21640237,3412571832.3,170.3,81.2,109058,INE129A01019,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:02.550Z,2021-09-29T12:01:02.550Z,0,157.7,29-Sep-2021,
