,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72da1,GIPCL,EQ,N,100.9,90.65,100.65,94.45,94.0,99.8,1224735,118635158.95,105.7,65.0,11268,INE162A01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.308Z,2021-10-19T12:01:02.308Z,0,96.87,19-Oct-2021,
1,61700beaffea140009a398b5,GIPCL,EQ,N,94.45,90.25,93.85,92.2,92.45,94.45,703437,65052848.55,105.7,65.0,6897,INE162A01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.449Z,2021-10-20T12:30:34.449Z,0,92.48,20-Oct-2021,
2,61715661facf5c0008bb1553,GIPCL,EQ,N,92.9,89.75,92.6,90.15,90.25,92.2,526577,48019478.5,105.7,65.0,5743,INE162A01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.431Z,2021-10-21T12:00:33.431Z,0,91.19,21-Oct-2021,
3,6172a8012dc18f00080fe046,GIPCL,EQ,N,92.2,86.3,90.55,87.65,87.9,90.15,688179,61019834.6,105.7,65.0,6148,INE162A01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.194Z,2021-10-22T12:01:05.194Z,0,88.67,22-Oct-2021,
4,61769c5bdb443b0008c8e41d,GIPCL,EQ,N,88.95,85.85,87.9,87.95,88.35,87.65,347487,30341109.2,105.7,65.0,4416,INE162A01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.854Z,2021-10-25T12:00:27.854Z,0,87.32,25-Oct-2021,
5,6177edfe2ed3fb00087dea6e,GIPCL,EQ,N,89.95,88.05,88.2,88.4,88.55,87.95,279215,24791160.75,105.7,65.0,3944,INE162A01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.804Z,2021-10-26T12:01:02.804Z,0,88.79,26-Oct-2021,
6,61793f847220a800093c6646,GIPCL,EQ,N,89.65,87.1,88.7,87.65,87.65,88.4,238804,21167608.85,105.7,65.0,2960,INE162A01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.163Z,2021-10-27T12:01:08.163Z,0,88.64,27-Oct-2021,
7,617a90e2b698860008b706d6,GIPCL,EQ,N,89.25,85.9,88.5,87.4,86.1,87.65,366338,32182715.45,105.7,65.0,4098,INE162A01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.732Z,2021-10-28T12:00:34.732Z,0,87.85,28-Oct-2021,
8,6139f7679241480008a1a600,GIPCL,EQ,N,82.7,81.85,82.3,82.1,82.3,81.95,362206,29726356.65,105.7,65.0,2078,INE162A01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.260Z,2021-09-09T12:00:39.260Z,0,82.07,09-Sep-2021,
9,613f3d5b66f15f00083943eb,GIPCL,EQ,N,83.7,82.1,82.8,83.3,83.45,82.1,510114,42331205.85,105.7,65.0,4155,INE162A01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.729Z,2021-09-13T12:00:27.729Z,0,82.98,13-Sep-2021,
