,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73270,GSS,EQ,N,84.55,80.8,83.4,81.15,81.25,82.85,70184,5756243.1,93.4,33.8,983,INE871H01011,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.813Z,2021-10-19T12:01:04.813Z,0,82.02,19-Oct-2021,
1,61700bebffea140009a39a47,GSS,EQ,N,83.0,78.85,81.45,79.9,80.5,81.15,60636,4858385.7,93.4,33.8,867,INE871H01011,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.366Z,2021-10-20T12:30:35.366Z,0,80.12,20-Oct-2021,
2,61715664facf5c0008bb1afb,GSS,EQ,N,81.4,78.05,80.95,79.85,80.55,79.9,70063,5552745.5,93.4,33.8,714,INE871H01011,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.365Z,2021-10-21T12:00:36.365Z,0,79.25,21-Oct-2021,
3,6172a8022dc18f00080fe204,GSS,EQ,N,88.45,81.0,81.0,84.4,85.4,79.85,351104,30106609.9,93.4,33.8,4486,INE871H01011,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.023Z,2021-10-22T12:01:06.023Z,0,85.75,22-Oct-2021,
4,61769c5fdb443b0008c8ea01,GSS,EQ,N,86.25,80.6,86.25,82.0,81.6,84.4,70630,5865466.35,93.4,33.8,1086,INE871H01011,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.018Z,2021-10-25T12:00:31.018Z,0,83.04,25-Oct-2021,
5,6177ee012ed3fb00087defd9,GSS,EQ,N,84.7,81.1,83.85,81.65,81.35,82.0,33503,2764468.4,93.4,33.8,889,INE871H01011,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.716Z,2021-10-26T12:01:05.716Z,0,82.51,26-Oct-2021,
6,61793f897220a800093c714a,GSS,EQ,N,84.0,81.15,82.0,81.6,81.4,81.65,48168,3961598.8,93.4,33.8,717,INE871H01011,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.560Z,2021-10-27T12:01:13.560Z,0,82.25,27-Oct-2021,
7,617a90e6b698860008b70ca6,GSS,EQ,N,82.9,79.5,82.6,80.05,79.5,81.6,46461,3783988.5,93.4,33.8,683,INE871H01011,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.057Z,2021-10-28T12:00:38.057Z,0,81.44,28-Oct-2021,
8,6139f7699241480008a1ab47,GSS,EQ,N,85.5,79.0,79.0,83.0,83.0,78.25,918991,75794188.2,87.4,26.0,10374,INE871H01011,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.892Z,2021-09-09T12:00:41.892Z,0,82.48,09-Sep-2021,
9,613f3d5e66f15f000839494e,GSS,EQ,N,89.4,81.5,83.25,85.25,85.15,83.0,958656,82696556.05,89.4,27.25,9784,INE871H01011,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.059Z,2021-09-13T12:00:30.059Z,0,86.26,13-Sep-2021,
10,61408f028b051b0009545384,GSS,EQ,N,87.45,85.1,85.95,85.6,85.1,85.25,282023,24227663.95,89.4,27.25,3020,INE871H01011,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.991Z,2021-09-14T12:01:06.991Z,0,85.91,14-Sep-2021,
11,6141e06552f3510008867070,GSS,EQ,N,90.9,84.9,86.2,87.1,87.2,85.6,694031,60912738.7,90.9,27.25,5061,INE871H01011,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.693Z,2021-09-15T12:00:37.693Z,0,87.77,15-Sep-2021,
12,614331de4189570008859d35,GSS,EQ,N,87.7,83.75,87.7,84.05,84.0,87.1,177510,15105226.0,90.9,27.25,3328,INE871H01011,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:30.240Z,2021-09-16T12:00:30.240Z,0,85.1,16-Sep-2021,
13,614483807f66a400087556b6,GSS,EQ,N,85.4,80.05,84.6,82.75,84.0,84.05,269338,22502153.4,90.9,27.25,3004,INE871H01011,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.963Z,2021-09-17T12:01:04.963Z,0,83.55,17-Sep-2021,
14,614877e5e0fcf60008e51693,GSS,EQ,N,86.5,78.8,82.0,82.4,82.5,82.75,181271,15317111.45,90.9,27.25,2932,INE871H01011,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.613Z,2021-09-20T12:00:37.613Z,0,84.5,20-Sep-2021,
15,6149c981bf6def000983a053,GSS,EQ,N,86.2,82.1,82.85,85.8,86.0,82.4,214471,18162947.35,90.9,27.25,3101,INE871H01011,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.145Z,2021-09-21T12:01:05.145Z,0,84.69,21-Sep-2021,
16,614b1afef6172a0008df4141,GSS,EQ,N,86.3,83.15,85.5,83.45,83.15,85.8,56771,4788865.45,90.9,27.25,1313,INE871H01011,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:02.684Z,2021-09-22T12:01:02.684Z,0,84.35,22-Sep-2021,
17,614c6c64a3bb370008f0ffed,GSS,EQ,N,84.35,81.15,84.1,82.2,82.1,83.45,61570,5096289.45,90.9,27.25,1212,INE871H01011,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.021Z,2021-09-23T12:00:36.021Z,0,82.77,23-Sep-2021,"[{'symbol': 'GSS', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '23-Sep-2021', 'recDate': '-', 'bcStartDate': '26-Sep-2021', 'bcEndDate': '30-Sep-2021', 'ndStartDate': '-', 'comp': 'GSS Infotech Limited', 'isin': 'INE871H01011', 'ndEndDate': '-', 'caBroadcastDate': None}]"
