,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72f6a,HCC,EQ,N,12.25,10.9,11.7,10.95,11.05,11.6,14054997,161324713.1,16.2,4.75,12608,INE549A01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.231Z,2021-10-19T12:01:03.231Z,0,11.48,19-Oct-2021,
1,61700becffea140009a39c1a,HCC,EQ,N,11.1,10.35,11.0,10.4,10.5,10.95,6661623,70629451.55,16.2,4.75,6177,INE549A01026,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.183Z,2021-10-20T12:30:36.183Z,0,10.6,20-Oct-2021,
2,61715662facf5c0008bb176a,HCC,EQ,N,11.4,10.45,10.55,10.8,10.8,10.4,11396909,125347060.65,16.2,4.75,7204,INE549A01026,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.539Z,2021-10-21T12:00:34.539Z,0,11.0,21-Oct-2021,
3,6172a8022dc18f00080fe40d,HCC,EQ,N,11.1,10.25,10.9,10.35,10.4,10.8,5296111,56003162.35,16.2,4.75,6748,INE549A01026,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.870Z,2021-10-22T12:01:06.870Z,0,10.57,22-Oct-2021,
4,61769c5ddb443b0008c8e646,HCC,EQ,N,10.55,9.75,10.5,9.8,9.8,10.35,7101125,70833930.15,16.2,4.75,6536,INE549A01026,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.060Z,2021-10-25T12:00:29.060Z,0,9.98,25-Oct-2021,
5,6177ee002ed3fb00087dec70,HCC,EQ,N,10.3,9.7,9.75,9.8,9.8,9.8,5325000,52563685.85,16.2,4.75,4282,INE549A01026,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.126Z,2021-10-26T12:01:04.126Z,0,9.87,26-Oct-2021,
6,61793f867220a800093c6a6a,HCC,EQ,N,9.9,9.7,9.85,9.75,9.8,9.8,2923153,28654933.6,16.2,4.75,3062,INE549A01026,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.085Z,2021-10-27T12:01:10.085Z,0,9.8,27-Oct-2021,
7,617a90e4b698860008b708fb,HCC,EQ,N,9.75,9.3,9.75,9.4,9.45,9.75,4752990,45075346.6,16.2,4.75,5266,INE549A01026,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.096Z,2021-10-28T12:00:36.096Z,0,9.48,28-Oct-2021,
8,6139f7689241480008a1a806,HCC,EQ,N,9.7,9.4,9.6,9.5,9.5,9.6,4302746,40885345.9,16.2,4.6,4661,INE549A01026,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.138Z,2021-09-09T12:00:40.138Z,0,9.5,09-Sep-2021,
9,613f3d5c66f15f00083945eb,HCC,EQ,N,9.95,9.3,9.55,9.95,9.95,9.5,4320442,42297258.2,16.2,4.6,3647,INE549A01026,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.632Z,2021-09-13T12:00:28.632Z,0,9.79,13-Sep-2021,
10,61408f018b051b0009545041,HCC,EQ,N,10.4,10.05,10.1,10.25,10.2,9.95,6542408,67395823.9,16.2,4.6,5073,INE549A01026,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.530Z,2021-09-14T12:01:05.530Z,0,10.3,14-Sep-2021,
11,6141e06452f3510008866d19,HCC,EQ,N,10.45,10.1,10.45,10.2,10.25,10.25,2794496,28539939.45,16.2,4.6,3797,INE549A01026,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.202Z,2021-09-15T12:00:36.202Z,0,10.21,15-Sep-2021,"[{'symbol': 'HCC', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': ' Annual General Meeting', 'exDate': '15-Sep-2021', 'recDate': '-', 'bcStartDate': '17-Sep-2021', 'bcEndDate': '23-Sep-2021', 'ndStartDate': '-', 'comp': 'Hindustan Construction Company Limited', 'isin': 'INE549A01026', 'ndEndDate': '-', 'caBroadcastDate': None}]"
12,614331dc41895700088599ec,HCC,EQ,N,10.35,9.9,10.25,10.05,10.1,10.2,3869542,38930840.1,16.2,4.6,5150,INE549A01026,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.724Z,2021-09-16T12:00:28.724Z,0,10.06,16-Sep-2021,
13,6144837f7f66a40008755356,HCC,EQ,N,10.25,9.65,10.15,10.15,10.15,10.05,5673699,56646614.35,16.2,4.6,5855,INE549A01026,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.460Z,2021-09-17T12:01:03.460Z,0,9.98,17-Sep-2021,
14,614877e3e0fcf60008e5131e,HCC,EQ,N,10.15,9.8,10.05,9.85,9.95,10.15,2197496,21957825.75,16.2,4.6,3560,INE549A01026,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.002Z,2021-09-20T12:00:36.002Z,0,9.99,20-Sep-2021,
15,6149c97fbf6def0009839cf6,HCC,EQ,N,10.0,9.6,9.95,9.75,9.75,9.85,1649314,16089655.75,16.2,4.6,2405,INE549A01026,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.497Z,2021-09-21T12:01:03.497Z,0,9.76,21-Sep-2021,
16,614b1afff6172a0008df42eb,HCC,EQ,N,10.0,9.65,9.8,9.7,9.7,9.75,3237306,31555877.35,16.2,4.6,2632,INE549A01026,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.372Z,2021-09-22T12:01:03.372Z,0,9.75,22-Sep-2021,
17,614c6c64a3bb370008f10198,HCC,EQ,N,9.9,9.45,9.8,9.6,9.7,9.7,3475704,33725969.15,16.2,4.6,3896,INE549A01026,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.712Z,2021-09-23T12:00:36.712Z,0,9.7,23-Sep-2021,
18,614dbde285b991000931460a,HCC,EQ,N,9.8,9.6,9.7,9.65,9.7,9.6,2263746,21976017.95,16.2,4.6,3527,INE549A01026,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.754Z,2021-09-24T12:00:34.754Z,0,9.71,24-Sep-2021,
19,6151b27fc3f15b0008afe49a,HCC,EQ,N,9.95,9.7,9.75,9.75,9.75,9.65,1977604,19385704.7,16.2,4.6,2482,INE549A01026,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:03.760Z,2021-09-27T12:01:03.760Z,0,9.8,27-Sep-2021,
20,615304074a501f0008b259c1,HCC,EQ,N,9.8,9.4,9.8,9.5,9.5,9.75,3144823,29996961.0,16.2,4.6,4040,INE549A01026,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.064Z,2021-09-28T12:01:11.064Z,0,9.54,28-Sep-2021,
21,615455804a501f0008e4ccb0,HCC,EQ,N,9.95,9.4,9.4,9.7,9.65,9.5,4872373,47171553.2,16.2,4.6,3230,INE549A01026,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.516Z,2021-09-29T12:01:04.516Z,0,9.68,29-Sep-2021,
22,6155a6ff595682000817647d,HCC,EQ,N,9.8,9.6,9.65,9.65,9.7,9.7,1998564,19365253.45,16.2,4.6,2437,INE549A01026,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.851Z,2021-09-30T12:01:03.851Z,0,9.69,30-Sep-2021,
23,6156f85c00c38500086c2de3,HCC,EQ,N,9.7,9.5,9.6,9.55,9.5,9.65,2164813,20688506.05,16.2,4.6,2466,INE549A01026,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.831Z,2021-10-01T12:00:28.831Z,0,9.56,01-Oct-2021,
24,615aecff00c38500088dfa35,HCC,EQ,N,10.0,9.55,9.6,9.8,9.75,9.55,9262950,90979721.5,16.2,4.6,5660,INE549A01026,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.625Z,2021-10-04T12:01:03.625Z,0,9.82,04-Oct-2021,
25,615c3e661728530008f0ae42,HCC,EQ,N,9.9,9.6,9.75,9.65,9.65,9.8,3777494,36753566.0,16.2,4.6,6745,INE549A01026,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:38.064Z,2021-10-05T12:00:38.064Z,0,9.73,05-Oct-2021,
