,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72eee,HGINFRA,EQ,N,768.0,725.0,765.0,742.65,740.0,730.75,225461,168353781.85,785.0,174.2,13217,INE926X01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.921Z,2021-10-19T12:01:02.921Z,0,746.71,19-Oct-2021,
1,61700becffea140009a39dc8,HGINFRA,EQ,N,744.0,693.55,744.0,716.7,716.5,742.65,153041,110856193.75,785.0,174.2,14252,INE926X01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.963Z,2021-10-20T12:30:36.963Z,0,724.36,20-Oct-2021,
2,61715662facf5c0008bb16ca,HGINFRA,EQ,N,751.35,705.2,722.8,724.0,725.5,716.7,160718,116765690.0,785.0,174.2,14302,INE926X01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.214Z,2021-10-21T12:00:34.214Z,0,726.53,21-Oct-2021,
3,6172a8032dc18f00080fe5de,HGINFRA,EQ,N,746.3,721.05,732.9,728.8,730.0,724.0,88195,64526151.45,785.0,174.2,7978,INE926X01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.668Z,2021-10-22T12:01:07.668Z,0,731.63,22-Oct-2021,
4,61769c5cdb443b0008c8e5a1,HGINFRA,EQ,N,748.9,669.8,748.9,712.75,709.05,728.8,182112,126867382.85,785.0,174.2,12702,INE926X01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.590Z,2021-10-25T12:00:28.590Z,0,696.64,25-Oct-2021,
5,6177edff2ed3fb00087debdc,HGINFRA,EQ,N,820.0,710.65,718.4,810.25,818.0,712.75,675204,531133447.5,820.0,174.2,44449,INE926X01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.857Z,2021-10-26T12:01:03.857Z,0,786.63,26-Oct-2021,
6,61793f857220a800093c6928,HGINFRA,EQ,N,830.0,785.0,824.0,794.9,795.0,810.25,262358,211980594.1,830.0,174.2,21245,INE926X01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.368Z,2021-10-27T12:01:09.368Z,0,807.98,27-Oct-2021,
7,617a90e3b698860008b7085c,HGINFRA,EQ,N,798.55,772.55,798.4,778.9,780.0,794.9,109635,85679694.15,830.0,174.2,9430,INE926X01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.490Z,2021-10-28T12:00:35.490Z,0,781.5,28-Oct-2021,
8,6139f7679241480008a1a772,HGINFRA,EQ,N,630.0,588.4,592.25,602.15,604.0,592.2,582172,356762681.9,630.0,174.2,22002,INE926X01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.908Z,2021-09-09T12:00:39.908Z,0,612.81,09-Sep-2021,
9,613f3d5c66f15f000839455a,HGINFRA,EQ,N,614.65,593.1,602.9,598.7,595.0,602.15,146307,88528234.35,630.0,174.2,6890,INE926X01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.399Z,2021-09-13T12:00:28.399Z,0,605.09,13-Sep-2021,
10,61408f018b051b0009544fa9,HGINFRA,EQ,N,617.85,591.55,602.7,609.4,609.0,598.7,250529,152024456.7,630.0,174.2,12299,INE926X01010,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.231Z,2021-09-14T12:01:05.231Z,0,606.81,14-Sep-2021,
11,6141e06352f3510008866c84,HGINFRA,EQ,N,645.0,611.0,614.0,638.3,641.0,609.4,414407,260923878.6,645.0,174.2,17600,INE926X01010,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:35.920Z,2021-09-15T12:00:35.920Z,0,629.63,15-Sep-2021,
12,614331dc418957000885995a,HGINFRA,EQ,N,680.0,645.0,650.0,658.2,653.0,638.3,602451,398341854.3,680.0,174.2,27913,INE926X01010,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.472Z,2021-09-16T12:00:28.472Z,0,661.2,16-Sep-2021,
13,6144837f7f66a400087552b8,HGINFRA,EQ,N,663.85,614.0,658.2,652.65,652.2,658.2,358366,228963870.65,680.0,174.2,15157,INE926X01010,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.199Z,2021-09-17T12:01:03.199Z,0,638.91,17-Sep-2021,
14,614877e3e0fcf60008e5127e,HGINFRA,EQ,N,651.0,621.5,621.5,630.1,629.5,652.65,134147,85756602.5,680.0,174.2,7418,INE926X01010,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.715Z,2021-09-20T12:00:35.715Z,0,639.27,20-Sep-2021,
15,6149c97fbf6def0009839c58,HGINFRA,EQ,N,630.5,601.15,626.0,618.15,619.0,630.1,187066,115364520.15,680.0,174.2,10546,INE926X01010,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.246Z,2021-09-21T12:01:03.246Z,0,616.7,21-Sep-2021,
16,614b1b00f6172a0008df448f,HGINFRA,EQ,N,646.35,620.8,621.1,626.1,629.95,618.15,175502,110870064.15,680.0,174.2,8925,INE926X01010,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.069Z,2021-09-22T12:01:04.069Z,0,631.73,22-Sep-2021,
17,614c6c65a3bb370008f10339,HGINFRA,EQ,N,652.0,632.3,649.95,643.65,643.4,626.1,179953,115832667.95,680.0,174.2,10171,INE926X01010,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.364Z,2021-09-23T12:00:37.364Z,0,643.68,23-Sep-2021,
18,614dbde385b99100093147b1,HGINFRA,EQ,N,660.0,625.0,648.9,633.95,635.5,643.65,148146,94872138.05,680.0,174.2,13102,INE926X01010,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:35.482Z,2021-09-24T12:00:35.482Z,0,640.4,24-Sep-2021,
