,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72d33,HINDCOMPOS,EQ,N,329.8,318.3,327.8,321.7,320.6,321.7,6848,2210616.2,387.8,174.1,338,INE310C01029,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.120Z,2021-10-19T12:01:02.120Z,0,322.81,19-Oct-2021,
1,61700becffea140009a39bbc,HINDCOMPOS,EQ,N,326.0,317.0,321.45,317.85,319.8,321.7,4816,1540938.95,387.8,174.1,258,INE310C01029,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.058Z,2021-10-20T12:30:36.058Z,0,319.96,20-Oct-2021,
2,61715661facf5c0008bb14d1,HINDCOMPOS,EQ,N,327.9,317.0,323.0,318.5,318.0,317.85,4496,1441399.3,387.8,174.1,387,INE310C01029,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.015Z,2021-10-21T12:00:33.015Z,0,320.6,21-Oct-2021,
3,6172a8022dc18f00080fe39b,HINDCOMPOS,EQ,N,322.5,315.0,320.0,318.55,318.9,318.5,4192,1336349.15,387.8,174.1,294,INE310C01029,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.693Z,2021-10-22T12:01:06.693Z,0,318.79,22-Oct-2021,
4,61769c5bdb443b0008c8e399,HINDCOMPOS,EQ,N,321.0,309.0,318.8,310.95,313.95,318.55,3774,1182337.0,387.8,174.1,315,INE310C01029,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.596Z,2021-10-25T12:00:27.596Z,0,313.28,25-Oct-2021,
5,6177edfe2ed3fb00087de9f1,HINDCOMPOS,EQ,N,324.0,310.35,324.0,313.85,317.95,310.95,5571,1748029.05,387.8,174.1,388,INE310C01029,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.206Z,2021-10-26T12:01:02.206Z,0,313.77,26-Oct-2021,
6,61793f837220a800093c6542,HINDCOMPOS,EQ,N,323.6,310.25,317.95,312.7,313.85,313.85,3256,1020702.6,387.8,174.1,290,INE310C01029,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:07.329Z,2021-10-27T12:01:07.329Z,0,313.48,27-Oct-2021,
7,617a90e2b698860008b70655,HINDCOMPOS,EQ,N,322.9,305.0,322.9,306.2,305.0,312.7,3408,1051904.6,387.8,174.1,265,INE310C01029,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.479Z,2021-10-28T12:00:34.479Z,0,308.66,28-Oct-2021,
8,6139f7679241480008a1a588,HINDCOMPOS,EQ,N,307.8,300.65,307.8,301.15,303.0,302.75,2117,638974.55,387.8,174.1,181,INE310C01029,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.069Z,2021-09-09T12:00:39.069Z,0,301.83,09-Sep-2021,
9,613f3d5b66f15f000839436d,HINDCOMPOS,EQ,N,305.0,299.25,302.0,300.7,301.0,301.15,2473,746672.15,387.8,174.1,256,INE310C01029,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.469Z,2021-09-13T12:00:27.469Z,0,301.93,13-Sep-2021,
