,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb37e2137b10008e72e9a,ICICIPHARM,EQ,N,91.15,89.5,90.0,89.79,89.9,90.43,79835,7186035.02,95.0,82.05,167,INF109KC1Q72,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.747Z,2021-10-19T12:01:02.747Z,0,90.01,19-Oct-2021
1,61700bedffea140009a39fc3,ICICIPHARM,EQ,N,90.38,87.6,90.38,87.84,87.87,89.79,33425,2960562.31,95.0,82.05,372,INF109KC1Q72,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.847Z,2021-10-20T12:30:37.847Z,0,88.57,20-Oct-2021
2,61715662facf5c0008bb1671,ICICIPHARM,EQ,N,88.64,87.06,87.87,87.34,87.34,87.84,67778,5918358.0,95.0,82.05,222,INF109KC1Q72,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.042Z,2021-10-21T12:00:34.042Z,0,87.32,21-Oct-2021
3,6172a8042dc18f00080fe805,ICICIPHARM,EQ,N,88.9,85.67,88.9,86.19,86.24,87.34,29849,2577491.16,95.0,82.05,419,INF109KC1Q72,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.025Z,2021-10-22T12:01:09.025Z,0,86.35,22-Oct-2021
4,61769c5cdb443b0008c8e543,ICICIPHARM,EQ,N,86.9,84.71,86.19,86.3,86.49,86.19,47650,4075415.05,95.0,82.05,373,INF109KC1Q72,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.428Z,2021-10-25T12:00:28.428Z,0,85.53,25-Oct-2021
5,6177edff2ed3fb00087deb80,ICICIPHARM,EQ,N,86.99,86.3,86.99,86.61,86.52,86.3,7878,681701.91,95.0,82.05,141,INF109KC1Q72,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.657Z,2021-10-26T12:01:03.657Z,0,86.53,26-Oct-2021
6,61793f857220a800093c6869,ICICIPHARM,EQ,N,88.34,86.11,86.11,87.85,87.8,86.61,62953,5534966.79,95.0,82.05,457,INF109KC1Q72,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.025Z,2021-10-27T12:01:09.025Z,0,87.92,27-Oct-2021
7,617a90e3b698860008b707fd,ICICIPHARM,EQ,N,89.0,86.0,87.85,86.22,86.35,87.85,87711,7613933.82,95.0,82.05,362,INF109KC1Q72,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.316Z,2021-10-28T12:00:35.316Z,0,86.81,28-Oct-2021
8,6139f7679241480008a1a713,ICICIPHARM,EQ,N,91.4,90.65,91.4,91.25,91.0,91.2,4431,403726.01,95.0,82.05,186,INF109KC1Q72,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.724Z,2021-09-09T12:00:39.724Z,0,91.11,09-Sep-2021
9,613f3d5c66f15f00083944f7,ICICIPHARM,EQ,N,92.68,90.05,92.68,91.1,91.15,91.25,7519,683856.12,95.0,82.05,269,INF109KC1Q72,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.241Z,2021-09-13T12:00:28.241Z,0,90.95,13-Sep-2021
