,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73269,INDOTHAI,EQ,N,108.85,97.4,104.8,99.95,99.6,99.55,338842,35066289.85,108.85,15.95,2904,INE337M01013,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.626Z,2021-10-19T12:01:04.626Z,0,103.49,19-Oct-2021,
1,61700bebffea140009a39a40,INDOTHAI,EQ,N,103.0,98.0,103.0,99.9,100.0,99.95,37632,3773102.05,108.85,15.95,532,INE337M01013,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.350Z,2021-10-20T12:30:35.350Z,0,100.26,20-Oct-2021,
2,61715664facf5c0008bb1af3,INDOTHAI,EQ,N,101.9,98.25,99.9,100.05,100.0,99.9,16194,1617985.55,108.85,15.95,339,INE337M01013,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.360Z,2021-10-21T12:00:36.360Z,0,99.91,21-Oct-2021,
3,6172a8012dc18f00080fe1fa,INDOTHAI,EQ,N,105.0,100.0,102.05,100.95,101.0,100.05,97513,10054384.5,108.85,15.95,643,INE337M01013,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.002Z,2021-10-22T12:01:06.002Z,0,103.11,22-Oct-2021,
4,61769c5edb443b0008c8e9f8,INDOTHAI,EQ,N,104.75,101.0,102.8,104.05,104.0,100.95,30745,3169499.95,108.85,19.0,352,INE337M01013,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.994Z,2021-10-25T12:00:30.994Z,0,103.09,25-Oct-2021,
5,6177ee012ed3fb00087defd1,INDOTHAI,EQ,N,109.35,102.0,104.05,104.45,104.5,104.05,57426,6067198.35,109.35,19.0,484,INE337M01013,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.696Z,2021-10-26T12:01:05.696Z,0,105.65,26-Oct-2021,
6,61793f897220a800093c713a,INDOTHAI,EQ,N,109.55,101.0,104.45,104.9,104.6,104.45,56837,6045276.8,109.55,19.0,477,INE337M01013,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.507Z,2021-10-27T12:01:13.507Z,0,106.36,27-Oct-2021,
7,617a90e6b698860008b70c9d,INDOTHAI,EQ,N,105.65,100.0,104.0,104.8,104.95,104.9,48489,5025816.65,109.55,19.0,273,INE337M01013,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.052Z,2021-10-28T12:00:38.052Z,0,103.65,28-Oct-2021,
8,6139f7699241480008a1ab3e,INDOTHAI,EQ,N,84.0,79.0,79.0,83.55,83.65,80.0,32770,2717884.15,86.35,15.05,309,INE337M01013,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.879Z,2021-09-09T12:00:41.879Z,0,82.94,09-Sep-2021,
9,613f3d5e66f15f0008394947,INDOTHAI,EQ,N,87.7,84.0,87.25,86.3,86.5,83.55,42553,3662722.5,87.7,15.05,605,INE337M01013,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.050Z,2021-09-13T12:00:30.050Z,0,86.07,13-Sep-2021,
