,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e73069,JAIBALAJI,EQ,N,56.25,54.0,56.25,54.3,54.25,55.4,144353,7938055.95,71.05,13.75,859,INE091G01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.712Z,2021-10-19T12:01:03.712Z,0,54.99,19-Oct-2021,
1,61700bebffea140009a39991,JAIBALAJI,EQ,N,55.0,52.05,55.0,52.2,52.9,54.3,49801,2641127.4,71.05,13.75,703,INE091G01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.032Z,2021-10-20T12:30:35.032Z,0,53.03,20-Oct-2021,
2,61715663facf5c0008bb189d,JAIBALAJI,EQ,N,54.0,51.9,52.25,52.0,52.5,52.2,14822,773169.55,71.05,13.75,591,INE091G01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.124Z,2021-10-21T12:00:35.124Z,0,52.16,21-Oct-2021,
3,6172a8012dc18f00080fe12f,JAIBALAJI,EQ,N,53.3,51.05,53.25,51.5,51.9,52.0,17104,884189.3,71.05,13.75,440,INE091G01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.601Z,2021-10-22T12:01:05.601Z,0,51.69,22-Oct-2021,
4,61769c5ddb443b0008c8e773,JAIBALAJI,EQ,N,53.8,49.0,51.5,49.9,49.95,51.5,24356,1238819.45,71.05,13.75,524,INE091G01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.684Z,2021-10-25T12:00:29.684Z,0,50.86,25-Oct-2021,
5,6177ee002ed3fb00087ded8e,JAIBALAJI,EQ,N,53.85,48.3,50.85,49.45,49.25,49.9,229065,11698752.35,71.05,13.75,1937,INE091G01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.654Z,2021-10-26T12:01:04.654Z,0,51.07,26-Oct-2021,
6,61793f877220a800093c6cb2,JAIBALAJI,EQ,N,58.0,49.4,49.95,51.65,51.25,49.45,329749,17990017.75,71.05,13.75,4640,INE091G01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.103Z,2021-10-27T12:01:11.103Z,0,54.56,27-Oct-2021,
7,617a90e4b698860008b70a33,JAIBALAJI,EQ,N,57.45,51.65,51.65,54.15,53.85,51.65,298862,16517822.8,71.05,13.75,4611,INE091G01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.856Z,2021-10-28T12:00:36.856Z,0,55.27,28-Oct-2021,
8,6139f7689241480008a1a921,JAIBALAJI,EQ,N,56.55,54.8,55.05,55.85,55.9,55.45,28772,1597755.5,71.05,13.75,316,INE091G01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.704Z,2021-09-09T12:00:40.704Z,0,55.53,09-Sep-2021,
9,613f3d5d66f15f000839470c,JAIBALAJI,EQ,N,55.85,53.1,55.85,54.0,54.0,55.85,31699,1719803.4,71.05,13.75,478,INE091G01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.107Z,2021-09-13T12:00:29.107Z,0,54.25,13-Sep-2021,
