,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72d89,KAMDHENU,EQ,N,266.0,225.3,263.45,244.2,248.25,258.95,94337,23739961.3,268.3,70.6,3734,INE390H01012,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.260Z,2021-10-19T12:01:02.260Z,0,251.65,19-Oct-2021,
1,61700beaffea140009a3989a,KAMDHENU,EQ,N,250.3,237.0,245.95,243.85,244.0,244.2,50198,12251619.6,268.3,70.6,2730,INE390H01012,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.369Z,2021-10-20T12:30:34.369Z,0,244.07,20-Oct-2021,
2,61715661facf5c0008bb1537,KAMDHENU,EQ,N,249.9,238.25,245.3,245.7,245.0,243.85,64613,15717489.2,268.3,70.6,2763,INE390H01012,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.307Z,2021-10-21T12:00:33.307Z,0,243.26,21-Oct-2021,
3,6172a8012dc18f00080fe024,KAMDHENU,EQ,N,248.45,238.2,247.6,239.45,239.75,245.7,49991,12081034.65,268.3,70.6,3055,INE390H01012,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.131Z,2021-10-22T12:01:05.131Z,0,241.66,22-Oct-2021,
4,61769c5bdb443b0008c8e402,KAMDHENU,EQ,N,239.45,224.3,239.45,229.35,233.0,239.45,67449,15627299.6,268.3,70.6,3482,INE390H01012,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.809Z,2021-10-25T12:00:27.809Z,0,231.69,25-Oct-2021,
5,6177edfe2ed3fb00087dea51,KAMDHENU,EQ,N,236.45,228.5,229.0,233.3,235.0,229.35,42930,10023326.85,268.3,70.6,2221,INE390H01012,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.674Z,2021-10-26T12:01:02.674Z,0,233.48,26-Oct-2021,
6,61793f837220a800093c6611,KAMDHENU,EQ,N,239.7,233.0,234.95,234.05,233.0,233.3,32143,7584770.75,268.3,70.6,1972,INE390H01012,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.038Z,2021-10-27T12:01:08.038Z,0,235.97,27-Oct-2021,
7,617a90e2b698860008b706b9,KAMDHENU,EQ,N,235.35,226.0,235.35,228.85,229.0,234.05,24149,5581483.65,268.3,70.6,1125,INE390H01012,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.683Z,2021-10-28T12:00:34.683Z,0,231.13,28-Oct-2021,
8,6139f7679241480008a1a5e1,KAMDHENU,EQ,N,213.6,194.55,205.2,205.0,203.4,200.85,751838,154967052.8,213.6,65.25,20011,INE390H01012,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.211Z,2021-09-09T12:00:39.211Z,0,206.12,09-Sep-2021,
9,613f3d5b66f15f00083943cc,KAMDHENU,EQ,N,210.2,202.35,208.0,203.5,203.2,205.0,197981,40915257.15,213.6,65.25,5149,INE390H01012,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.674Z,2021-09-13T12:00:27.674Z,0,206.66,13-Sep-2021,
10,61408f008b051b0009544e1c,KAMDHENU,EQ,N,205.8,195.05,203.55,195.7,196.95,203.5,106856,21317937.7,213.6,65.25,3118,INE390H01012,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.284Z,2021-09-14T12:01:04.284Z,0,199.5,14-Sep-2021,
11,6141e06252f3510008866af1,KAMDHENU,EQ,N,201.0,196.0,196.7,197.2,196.9,195.7,78911,15630118.0,213.6,65.25,2295,INE390H01012,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:34.875Z,2021-09-15T12:00:34.875Z,0,198.07,15-Sep-2021,
12,614331db41895700088597c8,KAMDHENU,EQ,N,204.0,195.1,198.0,201.05,200.0,197.2,130450,26046309.5,213.6,65.25,4372,INE390H01012,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:27.780Z,2021-09-16T12:00:27.780Z,0,199.67,16-Sep-2021,
13,6144837e7f66a4000875511c,KAMDHENU,EQ,N,201.85,195.0,201.0,195.6,196.4,201.05,77630,15358864.4,213.6,65.25,2558,INE390H01012,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:02.511Z,2021-09-17T12:01:02.511Z,0,197.85,17-Sep-2021,
14,614877e2e0fcf60008e510d9,KAMDHENU,EQ,N,197.0,192.05,193.0,193.5,192.5,195.6,60660,11787266.95,213.6,65.25,2354,INE390H01012,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.010Z,2021-09-20T12:00:35.010Z,0,194.32,20-Sep-2021,
15,6149c97ebf6def0009839ac3,KAMDHENU,EQ,N,196.95,182.1,192.1,184.65,186.0,193.5,124218,23146423.0,213.6,65.25,3377,INE390H01012,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:02.578Z,2021-09-21T12:01:02.578Z,0,186.34,21-Sep-2021,
16,614b1afdf6172a0008df3f9b,KAMDHENU,EQ,N,192.3,186.9,190.85,190.0,190.35,184.65,55381,10514350.05,213.6,65.25,1570,INE390H01012,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:01.759Z,2021-09-22T12:01:01.759Z,0,189.85,22-Sep-2021,
17,614c6c63a3bb370008f0fe4c,KAMDHENU,EQ,N,208.65,191.9,191.9,204.4,204.0,190.0,275395,55610479.55,213.6,65.25,8330,INE390H01012,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:35.152Z,2021-09-23T12:00:35.152Z,0,201.93,23-Sep-2021,
18,614dbde085b99100093142a6,KAMDHENU,EQ,N,208.0,196.6,206.0,201.9,202.0,204.4,144136,29352006.85,213.6,65.25,5106,INE390H01012,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:32.970Z,2021-09-24T12:00:32.970Z,0,203.64,24-Sep-2021,
19,6151b27ec3f15b0008afe13e,KAMDHENU,EQ,N,213.0,202.55,202.55,207.2,206.1,201.9,222543,46452293.8,213.6,65.25,4850,INE390H01012,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:02.059Z,2021-09-27T12:01:02.059Z,0,208.73,27-Sep-2021,
20,615304064a501f0008b25794,KAMDHENU,EQ,N,207.8,200.4,207.8,202.9,202.8,207.2,89160,18267889.15,213.6,65.25,1707,INE390H01012,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:10.078Z,2021-09-28T12:01:10.078Z,0,204.89,28-Sep-2021,
21,6154557e4a501f0008e4c92f,KAMDHENU,EQ,N,212.7,201.95,202.4,206.85,206.5,202.9,104951,21738079.3,213.6,65.25,2845,INE390H01012,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:02.429Z,2021-09-29T12:01:02.429Z,0,207.13,29-Sep-2021,
22,6155a6fe5956820008176243,KAMDHENU,EQ,N,211.9,205.55,206.0,208.2,208.75,206.85,135713,28402387.85,213.6,65.25,3476,INE390H01012,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:02.791Z,2021-09-30T12:01:02.791Z,0,209.28,30-Sep-2021,
23,6156f85b00c38500086c2ba9,KAMDHENU,EQ,N,242.0,204.0,204.0,231.7,233.0,208.2,534653,121842649.7,242.0,65.25,12032,INE390H01012,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:27.737Z,2021-10-01T12:00:27.737Z,0,227.89,01-Oct-2021,
24,615aecfe00c38500088df7e9,KAMDHENU,EQ,N,263.7,232.25,234.0,251.4,251.5,231.7,786333,197438946.95,263.7,65.25,30433,INE390H01012,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:02.563Z,2021-10-04T12:01:02.563Z,0,251.09,04-Oct-2021,
25,615c3e641728530008f0aad7,KAMDHENU,EQ,N,256.0,242.3,253.0,244.55,244.0,251.4,324837,80752839.9,263.7,65.25,12420,INE390H01012,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:36.220Z,2021-10-05T12:00:36.220Z,0,248.59,05-Oct-2021,
26,615d8fe17c2c3b00089ffbd9,KAMDHENU,EQ,N,261.9,242.55,244.0,250.9,251.0,244.55,205624,51703027.3,263.7,65.25,7539,INE390H01012,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:33.098Z,2021-10-06T12:00:33.098Z,0,251.44,06-Oct-2021,
27,615ee160c7aa980008977d3f,KAMDHENU,EQ,N,255.0,249.25,253.3,250.55,251.5,250.9,65656,16572520.0,263.7,65.25,3168,INE390H01012,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:32.435Z,2021-10-07T12:00:32.435Z,0,252.41,07-Oct-2021,
28,616032fd31c1ce0008caff20,KAMDHENU,EQ,N,261.0,250.25,251.7,253.5,252.65,250.55,117574,29936786.4,263.7,65.25,5189,INE390H01012,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:01.516Z,2021-10-08T12:01:01.516Z,0,254.62,08-Oct-2021,
29,61644a8a1ffdf40008ba3a79,KAMDHENU,EQ,N,253.5,248.8,252.55,251.3,251.5,253.5,67483,16934220.65,263.7,69.35,2402,INE390H01012,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:34.286Z,2021-10-11T14:30:34.286Z,0,250.94,11-Oct-2021,
30,616578fd60745c0008937032,KAMDHENU,EQ,N,257.9,246.6,251.5,254.75,254.6,251.3,85830,21595185.15,263.7,69.35,2748,INE390H01012,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:01.722Z,2021-10-12T12:01:01.722Z,0,251.6,12-Oct-2021,
31,6166ca6473e7b00008258a0e,KAMDHENU,EQ,N,257.0,250.1,256.9,251.45,251.0,254.75,42736,10840971.2,263.7,69.35,1744,INE390H01012,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:36.195Z,2021-10-13T12:00:36.195Z,0,253.67,13-Oct-2021,
32,61681bfe03a7b2000873dd6b,KAMDHENU,EQ,N,253.0,244.1,250.25,246.15,245.95,251.45,38518,9560904.8,263.7,69.35,1716,INE390H01012,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:02.464Z,2021-10-14T12:01:02.464Z,0,248.22,14-Oct-2021,
33,616d61df81039a0008f75f19,KAMDHENU,EQ,N,268.3,249.45,249.95,258.95,261.1,246.15,271090,69754221.25,268.3,70.6,6018,INE390H01012,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:31.873Z,2021-10-18T12:00:31.873Z,0,257.31,18-Oct-2021,
34,616eb37e2137b10008e72d89,KAMDHENU,EQ,N,266.0,225.3,263.45,244.2,248.25,258.95,94337,23739961.3,268.3,70.6,3734,INE390H01012,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.260Z,2021-10-19T12:01:02.260Z,0,251.65,19-Oct-2021,
35,6107de7e4c6c270008f21669,KAMDHENU,EQ,N,188.85,183.05,185.05,184.7,184.75,180.55,264799,49418070.95,188.85,65.25,5097,INE390H01012,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:02.611Z,2021-08-02T12:01:02.611Z,0,186.62,02-Aug-2021,
36,61092fe1ddfad700096fd796,KAMDHENU,EQ,N,194.9,185.8,185.8,187.05,188.0,184.7,296457,56389817.65,194.9,65.25,5797,INE390H01012,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:33.910Z,2021-08-03T12:00:33.910Z,0,190.21,03-Aug-2021,
37,610a815cddfad70009998ca4,KAMDHENU,EQ,N,193.0,182.0,188.6,184.9,186.4,187.05,143396,26907050.9,194.9,65.25,4547,INE390H01012,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:28.235Z,2021-08-04T12:00:28.235Z,0,187.64,04-Aug-2021,
38,610bd300c5cd9d00085920d8,KAMDHENU,EQ,N,194.2,177.4,186.0,187.6,185.5,184.9,289361,54423514.65,194.9,65.25,7138,INE390H01012,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:04.315Z,2021-08-05T12:01:04.315Z,0,188.08,05-Aug-2021,
39,610d24611ad12f0009efa727,KAMDHENU,EQ,N,189.9,181.95,188.45,183.0,183.4,187.6,92379,17014302.85,194.9,65.25,2718,INE390H01012,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:33.991Z,2021-08-06T12:00:33.991Z,0,184.18,06-Aug-2021,
40,611118e14df23100084ea736,KAMDHENU,EQ,N,187.65,171.0,185.0,174.15,176.25,183.0,223607,40475199.35,194.9,65.25,4641,INE390H01012,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:33.281Z,2021-08-09T12:00:33.281Z,0,181.01,09-Aug-2021,
41,61126a62cce4c40008592db6,KAMDHENU,EQ,N,177.8,163.0,175.0,168.65,169.9,174.15,148958,25366909.15,194.9,65.25,4529,INE390H01012,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:34.889Z,2021-08-10T12:00:34.889Z,0,170.3,10-Aug-2021,
42,6113bbdb3759be0008111f50,KAMDHENU,EQ,N,173.0,158.55,173.0,166.0,165.0,168.65,131525,21470416.85,194.9,65.25,4225,INE390H01012,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:27.527Z,2021-08-11T12:00:27.527Z,0,163.24,11-Aug-2021,
43,61150d61ea5aa20008b5eb38,KAMDHENU,EQ,N,176.9,166.0,166.0,176.2,176.25,166.0,97751,16892761.4,194.9,65.25,3373,INE390H01012,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:33.589Z,2021-08-12T12:00:33.589Z,0,172.81,12-Aug-2021,
44,61165ee35fd7730008dabb34,KAMDHENU,EQ,N,181.7,171.8,177.3,172.65,172.0,176.2,133546,23552809.4,194.9,65.25,4090,INE390H01012,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:35.668Z,2021-08-13T12:00:35.668Z,0,176.36,13-Aug-2021,
45,611a5361cce4c4000835be85,KAMDHENU,EQ,N,173.35,166.0,172.6,167.25,167.6,172.65,64804,10998574.95,194.9,65.25,2707,INE390H01012,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:33.157Z,2021-08-16T12:00:33.157Z,0,169.72,16-Aug-2021,
46,611ba500cce4c4000862a87f,KAMDHENU,EQ,N,172.8,165.5,166.0,167.6,167.0,167.25,65645,11101087.45,194.9,65.25,2176,INE390H01012,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:04.680Z,2021-08-17T12:01:04.680Z,0,169.11,17-Aug-2021,
47,611cf663913015000809b5bb,KAMDHENU,EQ,N,168.8,164.9,167.6,165.7,165.45,167.6,44769,7452974.05,194.9,65.25,1845,INE390H01012,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:35.361Z,2021-08-18T12:00:35.361Z,0,166.48,18-Aug-2021,
48,611f9961d448d000082abc2b,KAMDHENU,EQ,N,165.8,155.25,164.85,158.05,157.0,165.7,94951,15273620.75,194.9,65.25,3836,INE390H01012,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:33.425Z,2021-08-20T12:00:33.425Z,0,160.86,20-Aug-2021,
49,61238de18095fa0008ef2246,KAMDHENU,EQ,N,162.0,151.75,160.95,153.7,154.8,158.05,89926,14143139.7,194.9,65.25,5496,INE390H01012,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:33.465Z,2021-08-23T12:00:33.465Z,0,157.28,23-Aug-2021,
50,6124df7ea9392500085196b7,KAMDHENU,EQ,N,157.95,154.0,155.0,157.4,157.7,153.7,52897,8239606.9,194.9,65.25,1664,INE390H01012,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:02.996Z,2021-08-24T12:01:02.996Z,0,155.77,24-Aug-2021,
51,612630db2596f30008058653,KAMDHENU,EQ,N,163.45,158.0,158.0,160.55,161.0,157.4,65933,10643101.7,194.9,65.25,1597,INE390H01012,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:27.336Z,2021-08-25T12:00:27.336Z,0,161.42,25-Aug-2021,
52,612782642596f30008058f7e,KAMDHENU,EQ,N,165.85,157.5,160.95,159.05,158.0,160.55,41880,6774193.45,194.9,65.25,2341,INE390H01012,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:36.997Z,2021-08-26T12:00:36.997Z,0,161.75,26-Aug-2021,
53,6128d3fe91221d0009d5a927,KAMDHENU,EQ,N,161.65,156.25,159.95,157.25,158.7,159.05,42448,6761116.85,194.9,65.25,2092,INE390H01012,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:02.504Z,2021-08-27T12:01:02.504Z,0,159.28,27-Aug-2021,
54,612cc863f99d720008a94a5b,KAMDHENU,EQ,N,174.0,158.85,163.0,168.15,167.3,157.25,134120,22378076.7,194.9,65.25,3111,INE390H01012,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:35.095Z,2021-08-30T12:00:35.095Z,0,166.85,30-Aug-2021,
55,612e19dbeb0c1300081384d4,KAMDHENU,EQ,N,186.9,168.35,168.5,181.0,180.9,168.15,393098,70311721.55,194.9,65.25,5826,INE390H01012,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:27.757Z,2021-08-31T12:00:27.757Z,0,178.87,31-Aug-2021,
56,612f6b61fca57e0008dc5053,KAMDHENU,EQ,N,182.4,173.0,181.85,175.4,176.0,181.0,79414,13981937.85,194.9,65.25,3802,INE390H01012,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:33.615Z,2021-09-01T12:00:33.615Z,0,176.06,01-Sep-2021,
57,6130bcddadef120008504371,KAMDHENU,EQ,N,183.6,174.0,176.7,180.05,178.6,175.4,91438,16347994.0,194.9,65.25,3258,INE390H01012,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:29.398Z,2021-09-02T12:00:29.398Z,0,178.79,02-Sep-2021,
58,61320e7e4f4d7600089d8c31,KAMDHENU,EQ,N,181.75,175.55,178.8,177.15,177.25,180.05,65323,11667732.85,194.9,65.25,2316,INE390H01012,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:02.773Z,2021-09-03T12:01:02.773Z,0,178.62,03-Sep-2021,
59,613602e266f15f00089e8f6b,KAMDHENU,EQ,N,180.2,176.0,178.3,178.4,178.0,177.15,68409,12193083.8,194.9,65.25,2006,INE390H01012,2021-09-06,2021-09-05T18:30:00.000Z,2021-09-06T12:00:34.966Z,2021-09-06T12:00:34.966Z,0,178.24,06-Sep-2021,
60,6137547eeb333d0008c0ecbe,KAMDHENU,EQ,N,179.9,174.5,179.3,175.95,176.0,178.4,100836,17849384.35,194.9,65.25,4175,INE390H01012,2021-09-07,2021-09-06T18:30:00.000Z,2021-09-07T12:01:02.440Z,2021-09-07T12:01:02.440Z,0,177.01,07-Sep-2021,
61,6138a5db5a558200095d334f,KAMDHENU,EQ,N,206.5,175.85,176.0,200.85,200.4,175.95,1124059,222248591.65,206.5,65.25,22250,INE390H01012,2021-09-08,2021-09-07T18:30:00.000Z,2021-09-08T12:00:27.791Z,2021-09-08T12:00:27.791Z,0,197.72,08-Sep-2021,"[{'symbol': 'KAMDHENU', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Dividend - Rs 0.80 Per Share', 'exDate': '08-Sep-2021', 'recDate': '10-Sep-2021', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Kamdhenu Limited', 'isin': 'INE390H01012', 'ndEndDate': '-', 'caBroadcastDate': None}]"
62,6139f7679241480008a1a5e1,KAMDHENU,EQ,N,213.6,194.55,205.2,205.0,203.4,200.85,751838,154967052.8,213.6,65.25,20011,INE390H01012,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.211Z,2021-09-09T12:00:39.211Z,0,206.12,09-Sep-2021,
63,60d07f80b6df770008f30430,KAMDHENU,EQ,N,168.75,156.05,159.2,165.85,165.5,161.9,199302,32793786.85,175.7,65.25,4201,INE390H01012,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:04.543Z,2021-06-21T12:01:04.543Z,0,164.54,21-Jun-2021,
64,60d1d0e29d5cc5000870713a,KAMDHENU,EQ,N,168.8,163.5,165.95,165.05,164.7,165.85,200409,33319127.3,175.7,65.25,4841,INE390H01012,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:34.633Z,2021-06-22T12:00:34.633Z,0,166.26,22-Jun-2021,
65,60d3227e09721b000810122f,KAMDHENU,EQ,N,166.7,160.1,166.7,160.8,160.85,165.05,65946,10700171.25,175.7,65.25,2129,INE390H01012,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:02.476Z,2021-06-23T12:01:02.476Z,0,162.26,23-Jun-2021,
66,60d473e3b6726400082d8583,KAMDHENU,EQ,N,162.0,158.6,161.6,159.45,160.4,160.8,77454,12397692.95,175.7,65.25,1626,INE390H01012,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:35.092Z,2021-06-24T12:00:35.092Z,0,160.07,24-Jun-2021,
67,60d5c560761eef0008b8338c,KAMDHENU,EQ,N,164.75,158.6,158.6,160.25,159.95,159.45,70300,11387656.25,175.7,65.25,2773,INE390H01012,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:32.746Z,2021-06-25T12:00:32.746Z,0,161.99,25-Jun-2021,
68,60d9b9dd758776000816a5b7,KAMDHENU,EQ,N,162.85,158.1,162.85,158.5,159.0,160.25,56553,9023100.65,175.7,65.25,1533,INE390H01012,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:29.602Z,2021-06-28T12:00:29.602Z,0,159.55,28-Jun-2021,
