,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72e57,KEERTI,EQ,N,19.95,19.0,19.7,19.5,19.7,19.25,14898,290853.5,32.65,17.0,98,INE586X01012,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.618Z,2021-10-19T12:01:02.618Z,0,19.52,19-Oct-2021,
1,61700bedffea140009a39f76,KEERTI,EQ,N,19.9,19.05,19.9,19.25,19.2,19.5,2379,45899.1,32.65,17.0,42,INE586X01012,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.711Z,2021-10-20T12:30:37.711Z,0,19.29,20-Oct-2021,
2,61715661facf5c0008bb1627,KEERTI,EQ,N,19.7,19.1,19.65,19.6,19.35,19.25,7709,149514.15,32.65,17.0,46,INE586X01012,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.907Z,2021-10-21T12:00:33.907Z,0,19.39,21-Oct-2021,
3,6172a8042dc18f00080fe7b0,KEERTI,EQ,N,19.85,19.25,19.6,19.6,19.7,19.6,3636,70994.65,32.65,17.0,52,INE586X01012,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.874Z,2021-10-22T12:01:08.874Z,0,19.53,22-Oct-2021,
4,61769c5cdb443b0008c8e4f6,KEERTI,EQ,N,20.0,19.0,19.85,19.5,19.2,19.6,11820,229983.0,32.65,17.0,88,INE586X01012,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.268Z,2021-10-25T12:00:28.268Z,0,19.46,25-Oct-2021,
5,6177edff2ed3fb00087deb35,KEERTI,EQ,N,19.85,18.6,19.8,18.85,18.75,19.5,15415,292391.5,32.65,17.0,151,INE586X01012,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.484Z,2021-10-26T12:01:03.484Z,0,18.97,26-Oct-2021,
6,61793f847220a800093c67d5,KEERTI,EQ,N,19.2,18.25,18.25,18.8,19.05,18.85,6190,116503.8,32.65,17.0,55,INE586X01012,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.812Z,2021-10-27T12:01:08.812Z,0,18.82,27-Oct-2021,
7,617a90e3b698860008b707b2,KEERTI,EQ,N,19.0,18.4,18.8,18.6,18.7,18.8,3716,69317.05,32.65,17.0,61,INE586X01012,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.151Z,2021-10-28T12:00:35.151Z,0,18.65,28-Oct-2021,
8,6139f7679241480008a1a6c9,KEERTI,EQ,N,19.25,18.5,18.5,19.15,19.15,18.6,1458,27616.85,32.65,17.0,21,INE586X01012,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.593Z,2021-09-09T12:00:39.593Z,0,18.94,09-Sep-2021,
9,613f3d5c66f15f00083944ae,KEERTI,EQ,N,19.25,18.25,19.2,18.75,18.9,19.15,12587,236557.7,32.65,17.0,65,INE586X01012,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.100Z,2021-09-13T12:00:28.100Z,0,18.79,13-Sep-2021,
10,61408f008b051b0009544eff,KEERTI,EQ,N,22.5,17.45,19.15,22.5,22.5,18.75,456258,9783826.9,32.65,17.0,1526,INE586X01012,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.928Z,2021-09-14T12:01:04.928Z,0,21.44,14-Sep-2021,
11,6141e06352f3510008866bd4,KEERTI,EQ,N,25.5,21.3,23.7,21.8,21.7,22.5,637931,15364152.7,32.65,17.0,3399,INE586X01012,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:35.298Z,2021-09-15T12:00:35.298Z,0,24.08,15-Sep-2021,
12,614331dc41895700088598ac,KEERTI,EQ,N,22.6,20.2,22.5,20.55,20.6,21.8,69220,1463247.6,32.65,17.0,1092,INE586X01012,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.168Z,2021-09-16T12:00:28.168Z,0,21.14,16-Sep-2021,"[{'symbol': 'KEERTI', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '16-Sep-2021', 'recDate': '-', 'bcStartDate': '20-Sep-2021', 'bcEndDate': '27-Sep-2021', 'ndStartDate': '-', 'comp': 'Keerti Knowledge and Skills Limited', 'isin': 'INE586X01012', 'ndEndDate': '-', 'caBroadcastDate': None}]"
13,6144837e7f66a40008755203,KEERTI,EQ,N,21.3,19.8,20.9,20.05,19.95,20.55,25736,526798.4,32.65,17.0,266,INE586X01012,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:02.912Z,2021-09-17T12:01:02.912Z,0,20.47,17-Sep-2021,
14,614877e3e0fcf60008e511cd,KEERTI,EQ,N,19.9,19.1,19.9,19.25,19.1,20.05,20156,389682.05,32.65,17.0,218,INE586X01012,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:35.410Z,2021-09-20T12:00:35.410Z,0,19.33,20-Sep-2021,
15,6149c97ebf6def0009839bab,KEERTI,EQ,N,19.8,19.1,19.1,19.3,19.1,19.25,11086,212780.35,32.65,17.0,92,INE586X01012,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:02.961Z,2021-09-21T12:01:02.961Z,0,19.19,21-Sep-2021,
16,614b1b00f6172a0008df462c,KEERTI,EQ,N,22.7,19.3,19.3,21.3,21.45,19.3,52933,1126505.45,32.65,17.0,309,INE586X01012,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.736Z,2021-09-22T12:01:04.736Z,0,21.28,22-Sep-2021,
17,614c6c65a3bb370008f104d9,KEERTI,EQ,N,25.2,20.15,21.3,21.9,21.9,21.3,85580,1978146.35,32.65,17.0,535,INE586X01012,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.998Z,2021-09-23T12:00:37.998Z,0,23.11,23-Sep-2021,
18,614dbde485b991000931494b,KEERTI,EQ,N,22.1,20.2,22.1,20.8,21.0,21.9,21446,448763.05,32.65,17.0,243,INE586X01012,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.203Z,2021-09-24T12:00:36.203Z,0,20.93,24-Sep-2021,
19,6151b281c3f15b0008afe7ec,KEERTI,EQ,N,20.95,20.05,20.85,20.25,20.05,20.8,12155,247759.95,32.65,17.0,136,INE586X01012,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.176Z,2021-09-27T12:01:05.176Z,0,20.38,27-Sep-2021,
20,615304064a501f0008b2587c,KEERTI,EQ,N,22.45,19.75,19.75,21.05,21.0,20.25,21020,438796.25,32.65,17.0,207,INE586X01012,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:10.489Z,2021-09-28T12:01:10.489Z,0,20.88,28-Sep-2021,
21,615455824a501f0008e4d014,KEERTI,EQ,N,21.5,20.35,21.1,20.65,20.65,21.05,11377,238470.0,32.65,17.0,90,INE586X01012,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.407Z,2021-09-29T12:01:06.407Z,0,20.96,29-Sep-2021,
22,6155a6ff5956820008176330,KEERTI,EQ,N,21.75,20.55,20.85,20.75,20.85,20.65,5637,118293.75,32.65,17.0,73,INE586X01012,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.272Z,2021-09-30T12:01:03.272Z,0,20.99,30-Sep-2021,
23,6156f85c00c38500086c2c94,KEERTI,EQ,N,21.7,20.1,21.7,20.25,20.2,20.75,15527,318705.25,32.65,17.0,137,INE586X01012,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.149Z,2021-10-01T12:00:28.149Z,0,20.53,01-Oct-2021,
24,615aecff00c38500088df8d4,KEERTI,EQ,N,21.35,20.15,21.35,20.6,20.55,20.25,11207,230727.2,32.65,17.0,87,INE586X01012,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.048Z,2021-10-04T12:01:03.048Z,0,20.59,04-Oct-2021,
25,615c3e681728530008f0b1b2,KEERTI,EQ,N,21.2,20.3,21.2,20.55,20.7,20.6,4507,92926.6,32.65,17.0,75,INE586X01012,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:40.280Z,2021-10-05T12:00:40.280Z,0,20.62,05-Oct-2021,
26,615d8fe17c2c3b00089ffcc2,KEERTI,EQ,N,20.8,20.0,20.3,20.1,20.0,20.55,19908,404243.65,32.65,17.0,120,INE586X01012,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:33.590Z,2021-10-06T12:00:33.590Z,0,20.31,06-Oct-2021,
27,615ee161c7aa980008977e26,KEERTI,EQ,N,20.6,20.1,20.1,20.35,20.4,20.1,4844,98548.65,32.65,17.0,50,INE586X01012,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:33.197Z,2021-10-07T12:00:33.197Z,0,20.34,07-Oct-2021,
28,6160330031c1ce0008cb0601,KEERTI,EQ,N,20.75,19.5,20.5,20.0,20.15,20.35,23546,471012.6,32.65,17.0,160,INE586X01012,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:04.862Z,2021-10-08T12:01:04.862Z,0,20.0,08-Oct-2021,
29,61644a8e1ffdf40008ba414b,KEERTI,EQ,N,20.4,19.5,19.7,19.9,20.15,20.0,3568,71280.7,32.65,17.0,71,INE586X01012,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:38.671Z,2021-10-11T14:30:38.671Z,0,19.98,11-Oct-2021,
30,6165790160745c00089376ef,KEERTI,EQ,N,20.2,19.1,20.2,19.8,19.6,19.9,13972,272753.95,32.65,17.0,127,INE586X01012,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:05.310Z,2021-10-12T12:01:05.310Z,0,19.52,12-Oct-2021,
31,6166ca6773e7b000082590dc,KEERTI,EQ,N,20.0,19.2,19.2,19.5,19.5,19.8,13722,266703.8,32.65,17.0,175,INE586X01012,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:39.426Z,2021-10-13T12:00:39.426Z,0,19.44,13-Oct-2021,
32,61681bfe03a7b2000873de62,KEERTI,EQ,N,20.0,19.2,19.5,19.6,19.35,19.5,10466,205650.95,32.65,17.0,124,INE586X01012,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:02.906Z,2021-10-14T12:01:02.906Z,0,19.65,14-Oct-2021,
33,616d61e481039a0008f7665c,KEERTI,EQ,N,20.0,18.8,20.0,19.25,19.0,19.6,22703,440206.8,32.65,17.0,154,INE586X01012,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:36.336Z,2021-10-18T12:00:36.336Z,0,19.39,18-Oct-2021,
34,616eb37e2137b10008e72e57,KEERTI,EQ,N,19.95,19.0,19.7,19.5,19.7,19.25,14898,290853.5,32.65,17.0,98,INE586X01012,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.618Z,2021-10-19T12:01:02.618Z,0,19.52,19-Oct-2021,
35,6107de7f4c6c270008f21753,KEERTI,EQ,N,20.85,20.1,20.85,20.55,20.3,20.45,9070,185577.75,32.65,19.1,91,INE586X01012,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:03.043Z,2021-08-02T12:01:03.043Z,0,20.46,02-Aug-2021,
36,61092fe2ddfad700096fd88c,KEERTI,EQ,N,20.7,19.6,20.55,19.85,19.95,20.55,17139,343367.65,32.65,19.1,136,INE586X01012,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:34.556Z,2021-08-03T12:00:34.556Z,0,20.03,03-Aug-2021,
37,610a815cddfad70009998d90,KEERTI,EQ,N,20.45,19.5,20.45,19.6,19.55,19.85,19552,387574.05,32.65,19.1,89,INE586X01012,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:28.679Z,2021-08-04T12:00:28.679Z,0,19.82,04-Aug-2021,
38,610bd300c5cd9d00085921c6,KEERTI,EQ,N,19.6,17.5,19.6,19.25,19.3,19.6,10664,202068.95,32.65,17.5,119,INE586X01012,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:04.716Z,2021-08-05T12:01:04.716Z,0,18.95,05-Aug-2021,
39,610d24621ad12f0009efa81f,KEERTI,EQ,N,19.7,18.7,19.35,19.25,19.15,19.25,11325,218808.85,32.65,17.5,117,INE586X01012,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:34.453Z,2021-08-06T12:00:34.453Z,0,19.32,06-Aug-2021,
