,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72dc9,KOTHARIPRO,EQ,N,107.95,101.8,103.2,102.35,102.8,107.15,15453,1605492.1,137.45,56.1,412,INE823A01017,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.398Z,2021-10-19T12:01:02.398Z,0,103.9,19-Oct-2021,
1,61700beaffea140009a398e5,KOTHARIPRO,EQ,N,105.95,98.5,105.95,99.9,100.0,102.35,14867,1496725.25,137.45,56.1,309,INE823A01017,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.575Z,2021-10-20T12:30:34.575Z,0,100.67,20-Oct-2021,
2,61715661facf5c0008bb1583,KOTHARIPRO,EQ,N,101.3,97.0,101.3,97.7,97.8,99.9,13438,1319111.55,137.45,56.1,365,INE823A01017,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.578Z,2021-10-21T12:00:33.578Z,0,98.16,21-Oct-2021,
3,6172a8012dc18f00080fe075,KOTHARIPRO,EQ,N,101.6,97.1,101.6,98.85,99.8,97.7,7511,740399.05,137.45,56.1,319,INE823A01017,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.288Z,2021-10-22T12:01:05.288Z,0,98.58,22-Oct-2021,
4,61769c5bdb443b0008c8e44e,KOTHARIPRO,EQ,N,100.75,97.5,99.75,97.9,99.35,98.85,3189,314027.05,137.45,56.1,117,INE823A01017,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.960Z,2021-10-25T12:00:27.960Z,0,98.47,25-Oct-2021,
5,6177edff2ed3fb00087dea9a,KOTHARIPRO,EQ,N,99.75,96.65,99.75,97.0,97.0,97.9,13922,1352799.4,137.45,56.1,194,INE823A01017,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.124Z,2021-10-26T12:01:03.124Z,0,97.17,26-Oct-2021,
6,61793f847220a800093c66a3,KOTHARIPRO,EQ,N,99.0,96.45,96.95,97.4,96.75,97.0,14438,1408508.25,137.45,56.1,344,INE823A01017,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.324Z,2021-10-27T12:01:08.324Z,0,97.56,27-Oct-2021,
7,617a90e2b698860008b70709,KOTHARIPRO,EQ,N,98.75,96.25,98.75,96.6,96.75,97.4,2766,268071.85,137.45,56.1,95,INE823A01017,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.837Z,2021-10-28T12:00:34.837Z,0,96.92,28-Oct-2021,
8,616578fd60745c0008937075,KOTHARIPRO,EQ,N,103.95,97.0,101.5,103.95,103.95,99.0,36863,3795357.4,137.45,56.1,369,INE823A01017,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:01.866Z,2021-10-12T12:01:01.866Z,0,102.96,12-Oct-2021,
9,6166ca6473e7b00008258a57,KOTHARIPRO,EQ,N,109.1,104.55,104.9,109.1,109.1,103.95,27039,2919767.95,137.45,56.1,298,INE823A01017,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:36.333Z,2021-10-13T12:00:36.333Z,0,107.98,13-Oct-2021,
10,61681bfe03a7b2000873ddb8,KOTHARIPRO,EQ,N,114.0,104.25,110.5,106.45,106.7,109.1,41808,4594652.15,137.45,56.1,729,INE823A01017,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:02.614Z,2021-10-14T12:01:02.614Z,0,109.9,14-Oct-2021,
11,616d61e081039a0008f75f6b,KOTHARIPRO,EQ,N,111.45,105.45,108.6,107.15,109.0,106.45,15017,1636252.65,137.45,56.1,298,INE823A01017,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:32.063Z,2021-10-18T12:00:32.063Z,0,108.96,18-Oct-2021,
12,616eb37e2137b10008e72dc9,KOTHARIPRO,EQ,N,107.95,101.8,103.2,102.35,102.8,107.15,15453,1605492.1,137.45,56.1,412,INE823A01017,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.398Z,2021-10-19T12:01:02.398Z,0,103.9,19-Oct-2021,
13,60d07f80b6df770008f3047c,KOTHARIPRO,EQ,N,90.25,86.65,87.95,88.35,87.5,88.85,16639,1477156.55,100.8,51.2,450,INE823A01017,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:04.672Z,2021-06-21T12:01:04.672Z,0,88.78,21-Jun-2021,
14,60d1d0e29d5cc5000870718c,KOTHARIPRO,EQ,N,93.0,88.05,88.05,89.55,88.65,88.35,24549,2214439.2,100.8,51.2,480,INE823A01017,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:34.779Z,2021-06-22T12:00:34.779Z,0,90.2,22-Jun-2021,
15,60d3227e09721b0008101276,KOTHARIPRO,EQ,N,91.0,87.35,90.95,88.2,87.5,89.55,14611,1306106.3,100.8,51.2,335,INE823A01017,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:02.613Z,2021-06-23T12:01:02.613Z,0,89.39,23-Jun-2021,
16,60d473e3b6726400082d85ce,KOTHARIPRO,EQ,N,91.1,86.3,89.35,86.55,86.3,88.2,15889,1401682.75,100.8,51.2,308,INE823A01017,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:35.231Z,2021-06-24T12:00:35.231Z,0,88.22,24-Jun-2021,
17,60d5c560761eef0008b833db,KOTHARIPRO,EQ,N,89.8,84.0,88.2,85.1,84.05,86.55,25882,2230853.7,100.8,51.2,319,INE823A01017,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:32.924Z,2021-06-25T12:00:32.924Z,0,86.19,25-Jun-2021,
18,60d9b9dd758776000816a604,KOTHARIPRO,EQ,N,87.8,84.45,85.95,85.45,85.2,85.1,35076,3015680.9,100.8,51.2,520,INE823A01017,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:29.736Z,2021-06-28T12:00:29.736Z,0,85.98,28-Jun-2021,
19,60db0b609d5cc5000861329d,KOTHARIPRO,EQ,N,90.9,85.7,88.0,88.95,89.0,85.45,41743,3712921.8,100.8,51.2,599,INE823A01017,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:32.642Z,2021-06-29T12:00:32.642Z,0,88.95,29-Jun-2021,
20,60dc5cdc7f32fd0009386be0,KOTHARIPRO,EQ,N,106.7,92.0,92.0,106.7,106.7,88.95,280906,29016386.65,106.7,51.2,2395,INE823A01017,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:28.033Z,2021-06-30T12:00:28.033Z,0,103.3,30-Jun-2021,
21,60ddae6115ea3f0008fe5198,KOTHARIPRO,EQ,N,126.0,116.5,117.7,120.15,119.55,106.7,819676,99642511.15,126.0,51.2,16287,INE823A01017,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:33.467Z,2021-07-01T12:00:33.467Z,0,121.56,01-Jul-2021,
22,60deffe2f20fbd0009ce60aa,KOTHARIPRO,EQ,N,120.05,112.0,118.0,112.85,112.7,120.15,135479,15700717.75,126.0,51.2,4309,INE823A01017,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:34.985Z,2021-07-02T12:00:34.985Z,0,115.89,02-Jul-2021,
23,60e2f461d502fe0008ce98a2,KOTHARIPRO,EQ,N,111.95,105.55,109.0,107.3,107.25,112.85,111595,12025836.9,126.0,51.2,3858,INE823A01017,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:33.042Z,2021-07-05T12:00:33.042Z,0,107.76,05-Jul-2021,
24,60e445e3d77ada00087bcf2b,KOTHARIPRO,EQ,N,128.75,108.05,109.0,128.75,128.75,107.3,462469,57757641.5,128.75,51.2,7674,INE823A01017,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:35.148Z,2021-07-06T12:00:35.148Z,0,124.89,06-Jul-2021,
25,60e5976225a08e00087c09dc,KOTHARIPRO,EQ,N,137.45,116.0,130.25,120.55,121.9,128.75,491923,61456401.6,137.45,51.2,8164,INE823A01017,2021-07-07,2021-07-06T18:30:00.000Z,2021-07-07T12:00:34.602Z,2021-07-07T12:00:34.602Z,0,124.93,07-Jul-2021,
26,60e6e8e16972b0000896ef4c,KOTHARIPRO,EQ,N,126.8,120.6,124.0,122.75,122.4,120.55,95671,11855211.3,137.45,51.2,2444,INE823A01017,2021-07-08,2021-07-07T18:30:00.000Z,2021-07-08T12:00:33.157Z,2021-07-08T12:00:33.157Z,0,123.92,08-Jul-2021,
27,60e83a84b37c0d0008397553,KOTHARIPRO,EQ,N,124.85,120.0,123.15,120.85,120.9,122.75,49631,6064190.75,137.45,51.2,1257,INE823A01017,2021-07-09,2021-07-08T18:30:00.000Z,2021-07-09T12:01:08.556Z,2021-07-09T12:01:08.556Z,0,122.19,09-Jul-2021,
28,60ec2edb4341d20008421d3f,KOTHARIPRO,EQ,N,124.9,118.15,124.8,119.15,119.2,120.85,55048,6645233.4,137.45,51.2,1176,INE823A01017,2021-07-12,2021-07-11T18:30:00.000Z,2021-07-12T12:00:27.226Z,2021-07-12T12:00:27.226Z,0,120.72,12-Jul-2021,
29,60ed80601c0e4d00085119cd,KOTHARIPRO,EQ,N,122.0,117.1,119.5,117.75,117.7,119.15,30767,3654133.35,137.45,51.2,727,INE823A01017,2021-07-13,2021-07-12T18:30:00.000Z,2021-07-13T12:00:32.668Z,2021-07-13T12:00:32.668Z,0,118.77,13-Jul-2021,
30,60eed1fe3872ec0008fc02fe,KOTHARIPRO,EQ,N,119.5,115.0,119.1,116.05,115.25,117.75,26949,3156083.8,137.45,51.2,792,INE823A01017,2021-07-14,2021-07-13T18:30:00.000Z,2021-07-14T12:01:02.961Z,2021-07-14T12:01:02.961Z,0,117.11,14-Jul-2021,
31,60f02381cc96fb000856e4c8,KOTHARIPRO,EQ,N,125.9,115.0,116.0,119.5,118.95,116.05,236913,29040884.9,137.45,51.2,4956,INE823A01017,2021-07-15,2021-07-14T18:30:00.000Z,2021-07-15T12:01:05.662Z,2021-07-15T12:01:05.662Z,0,122.58,15-Jul-2021,
