,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72fa7,MADHUCON,EQ,N,5.65,5.3,5.55,5.4,5.4,5.55,69734,379360.65,7.75,2.7,151,INE378D01032,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.391Z,2021-10-19T12:01:03.391Z,0,5.44,19-Oct-2021,
1,61700becffea140009a39c68,MADHUCON,EQ,N,5.75,4.9,5.6,5.2,5.1,5.4,132374,678140.75,7.75,2.7,288,INE378D01032,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.331Z,2021-10-20T12:30:36.331Z,0,5.12,20-Oct-2021,
2,61715662facf5c0008bb17b6,MADHUCON,EQ,N,5.3,5.0,5.1,5.05,5.1,5.2,40737,205646.7,7.75,2.7,141,INE378D01032,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.675Z,2021-10-21T12:00:34.675Z,0,5.05,21-Oct-2021,
3,6172a8032dc18f00080fe45a,MADHUCON,EQ,N,5.15,4.7,4.95,4.8,4.9,5.05,104051,511952.6,7.75,2.7,228,INE378D01032,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.030Z,2021-10-22T12:01:07.030Z,0,4.92,22-Oct-2021,
4,61769c5ddb443b0008c8e68c,MADHUCON,EQ,N,5.0,4.6,4.95,4.75,4.8,4.8,64731,308629.7,7.75,2.8,174,INE378D01032,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.282Z,2021-10-25T12:00:29.282Z,0,4.77,25-Oct-2021,
5,6177ee002ed3fb00087decb5,MADHUCON,EQ,N,5.2,4.65,4.9,5.2,5.2,4.75,72224,367851.55,7.75,2.8,171,INE378D01032,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.275Z,2021-10-26T12:01:04.275Z,0,5.09,26-Oct-2021,
6,61793f867220a800093c6b00,MADHUCON,EQ,N,5.7,5.05,5.6,5.15,5.2,5.2,313353,1718170.5,7.75,2.8,803,INE378D01032,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.372Z,2021-10-27T12:01:10.372Z,0,5.48,27-Oct-2021,
7,617a90e4b698860008b70949,MADHUCON,EQ,N,5.5,5.2,5.4,5.35,5.35,5.15,96855,514411.75,7.75,2.8,209,INE378D01032,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.387Z,2021-10-28T12:00:36.387Z,0,5.31,28-Oct-2021,
8,6139f7689241480008a1a848,MADHUCON,EQ,N,5.25,4.9,5.25,4.9,4.9,5.15,76442,377387.5,7.75,2.4,150,INE378D01032,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.235Z,2021-09-09T12:00:40.235Z,0,4.94,09-Sep-2021,
9,613f3d5c66f15f0008394631,MADHUCON,EQ,N,5.0,4.7,5.0,4.7,4.7,4.9,126783,597691.9,7.75,2.5,148,INE378D01032,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.745Z,2021-09-13T12:00:28.745Z,0,4.71,13-Sep-2021,
10,61408f018b051b0009545087,MADHUCON,EQ,N,4.9,4.5,4.5,4.85,4.85,4.7,32499,154457.3,7.75,2.5,135,INE378D01032,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.668Z,2021-09-14T12:01:05.668Z,0,4.75,14-Sep-2021,
11,6141e06452f3510008866d63,MADHUCON,EQ,N,5.0,4.8,4.85,4.9,4.85,4.85,25027,123009.9,7.75,2.5,84,INE378D01032,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.369Z,2021-09-15T12:00:36.369Z,0,4.92,15-Sep-2021,
12,614331dc4189570008859a31,MADHUCON,EQ,N,5.05,4.75,5.0,4.9,4.95,4.9,58873,289248.2,7.75,2.5,142,INE378D01032,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.844Z,2021-09-16T12:00:28.844Z,0,4.91,16-Sep-2021,
13,6144837f7f66a4000875539b,MADHUCON,EQ,N,5.0,4.7,5.0,4.75,4.8,4.9,50912,244679.85,7.75,2.5,147,INE378D01032,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.569Z,2021-09-17T12:01:03.569Z,0,4.81,17-Sep-2021,
14,614877e4e0fcf60008e51368,MADHUCON,EQ,N,4.9,4.6,4.8,4.85,4.7,4.75,35120,167000.3,7.75,2.6,162,INE378D01032,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.174Z,2021-09-20T12:00:36.174Z,0,4.76,20-Sep-2021,
15,6149c97fbf6def0009839d3f,MADHUCON,EQ,N,4.9,4.65,4.9,4.65,4.65,4.85,36122,169775.25,7.75,2.6,167,INE378D01032,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.618Z,2021-09-21T12:01:03.618Z,0,4.7,21-Sep-2021,
