,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72fbb,MARICO,EQ,N,589.7,572.85,580.5,574.3,575.65,579.25,1964659,1141815342.95,607.7,345.75,39927,INE196A01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.441Z,2021-10-19T12:01:03.441Z,0,581.18,19-Oct-2021,
1,61700becffea140009a39c7d,MARICO,EQ,N,577.5,558.45,575.95,560.85,560.3,574.3,1227089,693647264.4,607.7,345.75,30807,INE196A01026,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.365Z,2021-10-20T12:30:36.365Z,0,565.28,20-Oct-2021,
2,61715662facf5c0008bb17cc,MARICO,EQ,N,568.35,553.75,565.7,565.3,565.0,560.85,2154819,1211654906.9,607.7,345.75,46590,INE196A01026,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.712Z,2021-10-21T12:00:34.712Z,0,562.3,21-Oct-2021,
3,6172a8032dc18f00080fe472,MARICO,EQ,N,566.05,557.1,564.95,562.75,563.95,565.3,1046820,587439701.55,607.7,345.75,19007,INE196A01026,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.099Z,2021-10-22T12:01:07.099Z,0,561.17,22-Oct-2021,
4,61769c5ddb443b0008c8e6a1,MARICO,EQ,N,565.4,548.65,564.5,555.95,556.25,562.75,2156915,1200734079.55,607.7,345.75,41764,INE196A01026,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.322Z,2021-10-25T12:00:29.322Z,0,556.69,25-Oct-2021,
5,6177ee002ed3fb00087decce,MARICO,EQ,N,565.0,551.05,555.25,563.25,562.4,555.95,1541807,863599477.1,607.7,345.75,35025,INE196A01026,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.326Z,2021-10-26T12:01:04.326Z,0,560.12,26-Oct-2021,
6,61793f867220a800093c6b2d,MARICO,EQ,N,581.9,565.5,566.0,575.45,574.2,563.25,2189903,1262568982.25,607.7,345.75,43623,INE196A01026,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.442Z,2021-10-27T12:01:10.442Z,0,576.54,27-Oct-2021,
7,617a90e4b698860008b7095f,MARICO,EQ,N,581.25,558.35,576.8,564.35,561.65,575.45,2768013,1572099860.0,607.7,345.75,63685,INE196A01026,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.428Z,2021-10-28T12:00:36.428Z,0,567.95,28-Oct-2021,
8,6139f7689241480008a1a85e,MARICO,EQ,N,575.9,558.5,558.5,575.0,575.25,560.95,4180525,2382713182.7,575.9,333.0,68632,INE196A01026,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.300Z,2021-09-09T12:00:40.300Z,0,569.96,09-Sep-2021,
9,613f3d5c66f15f0008394648,MARICO,EQ,N,587.35,570.35,581.0,575.6,574.1,575.0,5331731,3071921707.55,587.35,333.0,80755,INE196A01026,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.784Z,2021-09-13T12:00:28.784Z,0,576.16,13-Sep-2021,
