,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e72f6b,MUNJALAU,EQ,N,62.0,52.55,60.7,57.45,57.0,60.65,206710,12342261.55,72.8,48.6,2806,INE672B01032,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.237Z,2021-10-19T12:01:03.237Z,0,59.71,19-Oct-2021,
1,61700becffea140009a39c1b,MUNJALAU,EQ,N,58.55,56.0,57.35,57.65,58.3,57.45,176247,10128735.2,72.8,48.6,2356,INE672B01032,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.191Z,2021-10-20T12:30:36.191Z,0,57.47,20-Oct-2021,
2,61715662facf5c0008bb176b,MUNJALAU,EQ,N,58.2,56.95,57.85,57.45,57.65,57.65,94118,5412235.05,72.8,48.6,2259,INE672B01032,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.547Z,2021-10-21T12:00:34.547Z,0,57.5,21-Oct-2021,
3,6172a8022dc18f00080fe40e,MUNJALAU,EQ,N,58.4,56.4,58.4,57.15,57.1,57.45,94285,5404202.5,72.8,48.6,1920,INE672B01032,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.882Z,2021-10-22T12:01:06.882Z,0,57.32,22-Oct-2021,
4,61769c5ddb443b0008c8e647,MUNJALAU,EQ,N,58.0,55.65,57.35,56.35,56.25,57.15,78384,4426973.9,72.8,48.6,1375,INE672B01032,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.131Z,2021-10-25T12:00:29.131Z,0,56.48,25-Oct-2021,
5,6177ee002ed3fb00087dec71,MUNJALAU,EQ,N,57.3,55.6,56.7,56.45,56.35,56.35,91096,5146983.25,72.8,48.6,1628,INE672B01032,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.134Z,2021-10-26T12:01:04.134Z,0,56.5,26-Oct-2021,
6,61793f867220a800093c6a6c,MUNJALAU,EQ,N,58.15,56.15,56.15,57.6,57.25,56.45,89997,5168965.7,72.8,48.6,1527,INE672B01032,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.122Z,2021-10-27T12:01:10.122Z,0,57.43,27-Oct-2021,
7,617a90e4b698860008b708fc,MUNJALAU,EQ,N,57.7,55.5,57.0,56.4,56.5,57.6,58759,3325472.65,72.8,48.6,1193,INE672B01032,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.127Z,2021-10-28T12:00:36.127Z,0,56.6,28-Oct-2021,
8,6139f7689241480008a1a807,MUNJALAU,EQ,N,58.6,57.45,57.45,57.6,57.6,57.45,64342,3717229.6,72.8,48.6,964,INE672B01032,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.140Z,2021-09-09T12:00:40.140Z,0,57.77,09-Sep-2021,
9,613f3d5c66f15f00083945ec,MUNJALAU,EQ,N,57.8,55.95,57.6,56.6,56.65,57.6,106895,6099149.35,72.8,48.6,1511,INE672B01032,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.630Z,2021-09-13T12:00:28.630Z,0,57.06,13-Sep-2021,
10,61408f018b051b0009545042,MUNJALAU,EQ,N,58.5,56.75,56.75,57.75,57.75,56.6,108527,6258672.1,72.8,48.6,1546,INE672B01032,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.545Z,2021-09-14T12:01:05.545Z,0,57.67,14-Sep-2021,
11,6141e06452f3510008866d1a,MUNJALAU,EQ,N,59.9,58.0,58.0,58.65,58.5,57.75,241968,14290162.05,72.8,48.6,2809,INE672B01032,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.218Z,2021-09-15T12:00:36.218Z,0,59.06,15-Sep-2021,
12,614331dc41895700088599ed,MUNJALAU,EQ,N,59.85,58.9,59.2,59.25,58.9,58.65,119726,7100751.9,72.8,48.6,1293,INE672B01032,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.725Z,2021-09-16T12:00:28.725Z,0,59.31,16-Sep-2021,
13,6144837f7f66a40008755357,MUNJALAU,EQ,N,59.95,57.3,59.45,57.9,57.7,59.25,160479,9361875.55,72.8,48.6,2062,INE672B01032,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.461Z,2021-09-17T12:01:03.461Z,0,58.34,17-Sep-2021,
14,614877e3e0fcf60008e5131f,MUNJALAU,EQ,N,57.85,56.5,57.1,56.95,56.9,57.9,89920,5144582.25,72.8,48.6,1019,INE672B01032,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.004Z,2021-09-20T12:00:36.004Z,0,57.21,20-Sep-2021,
15,6149c97fbf6def0009839cf7,MUNJALAU,EQ,N,57.4,55.6,57.2,56.55,56.7,56.95,76145,4295126.05,72.8,48.6,1274,INE672B01032,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.498Z,2021-09-21T12:01:03.498Z,0,56.41,21-Sep-2021,
16,614b1afff6172a0008df42ec,MUNJALAU,EQ,N,57.45,56.25,56.7,57.15,57.45,56.55,102105,5816233.3,72.8,48.6,1138,INE672B01032,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.372Z,2021-09-22T12:01:03.372Z,0,56.96,22-Sep-2021,
17,614c6c64a3bb370008f10199,MUNJALAU,EQ,N,58.2,57.15,57.15,57.55,57.2,57.15,80969,4672139.85,72.8,48.6,1492,INE672B01032,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.713Z,2021-09-23T12:00:36.713Z,0,57.7,23-Sep-2021,
