,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb37f2137b10008e72feb,NETF,EQ,N,202.0,190.01,202.0,191.89,192.75,192.86,7498,1443256.53,222.68,129.0,316,INF277K015R5,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.511Z,2021-10-19T12:01:03.511Z,0,192.49,19-Oct-2021
1,61700becffea140009a39cb2,NETF,EQ,N,192.43,188.0,190.11,189.98,188.53,191.89,4598,878258.81,222.68,129.0,278,INF277K015R5,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.459Z,2021-10-20T12:30:36.459Z,0,191.01,20-Oct-2021
2,61715662facf5c0008bb1807,NETF,EQ,N,192.0,188.0,192.0,189.32,189.99,189.98,2657,503904.83,222.68,129.0,175,INF277K015R5,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.820Z,2021-10-21T12:00:34.820Z,0,189.65,21-Oct-2021
3,6172a8032dc18f00080fe4ae,NETF,EQ,N,191.5,188.0,190.1,188.98,188.9,189.32,1946,369124.16,222.68,129.0,168,INF277K015R5,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.188Z,2021-10-22T12:01:07.188Z,0,189.68,22-Oct-2021
4,61769c5ddb443b0008c8e6dc,NETF,EQ,N,190.5,184.99,190.0,186.19,185.0,188.98,3299,617005.74,222.68,129.0,208,INF277K015R5,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.415Z,2021-10-25T12:00:29.415Z,0,187.03,25-Oct-2021
5,6177ee002ed3fb00087ded05,NETF,EQ,N,190.5,185.25,190.0,190.1,190.4,186.19,1682,316516.18,222.68,129.0,163,INF277K015R5,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.424Z,2021-10-26T12:01:04.424Z,0,188.18,26-Oct-2021
6,61793f867220a800093c6b96,NETF,EQ,N,191.4,186.5,186.5,190.27,190.91,190.1,1836,349174.39,222.68,129.0,140,INF277K015R5,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.592Z,2021-10-27T12:01:10.592Z,0,190.18,27-Oct-2021
7,617a90e4b698860008b70999,NETF,EQ,N,190.15,183.0,190.15,184.2,186.42,190.27,1983,369565.28,222.68,129.0,172,INF277K015R5,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.530Z,2021-10-28T12:00:36.530Z,0,186.37,28-Oct-2021
8,6139f7689241480008a1a895,NETF,EQ,N,214.86,214.86,214.86,214.86,214.86,215.05,28,6016.08,215.05,109.42,6,INF277K015R5,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.423Z,2021-09-09T12:00:40.423Z,0,214.86,09-Sep-2021
9,613f3d5c66f15f000839467c,NETF,EQ,N,214.83,213.1,214.83,214.17,214.45,214.86,3739,800635.9,215.05,120.26,197,INF277K015R5,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.873Z,2021-09-13T12:00:28.873Z,0,214.13,13-Sep-2021
10,61408f018b051b00095450ce,NETF,EQ,N,215.02,215.02,215.02,215.02,215.02,214.17,129,27737.58,215.05,120.26,22,INF277K015R5,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.824Z,2021-09-14T12:01:05.824Z,0,215.02,14-Sep-2021
11,6141e06452f3510008866dac,NETF,EQ,N,214.84,214.84,214.84,214.84,214.84,215.02,91,19550.44,215.05,120.26,15,INF277K015R5,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.485Z,2021-09-15T12:00:36.485Z,0,214.84,15-Sep-2021
12,614331dc4189570008859a78,NETF,EQ,N,215.14,215.14,215.14,215.14,215.14,214.84,119,25601.66,215.14,120.26,21,INF277K015R5,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.962Z,2021-09-16T12:00:28.962Z,0,215.14,16-Sep-2021
13,6144837f7f66a400087553e6,NETF,EQ,N,216.86,210.85,210.85,216.86,216.86,215.14,126,27318.35,216.86,120.26,26,INF277K015R5,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.693Z,2021-09-17T12:01:03.693Z,0,216.81,17-Sep-2021
14,614877e4e0fcf60008e513b8,NETF,EQ,N,218.22,218.22,218.22,218.22,218.22,216.86,177,38624.94,218.22,124.0,21,INF277K015R5,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.325Z,2021-09-20T12:00:36.325Z,0,218.22,20-Sep-2021
15,6149c97fbf6def0009839d8a,NETF,EQ,N,217.68,217.68,217.68,217.68,217.68,218.22,148,32216.64,218.22,124.0,21,INF277K015R5,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.730Z,2021-09-21T12:01:03.730Z,0,217.68,21-Sep-2021
16,614b1afff6172a0008df437e,NETF,EQ,N,215.36,215.36,215.36,215.36,215.36,217.68,99,21320.64,218.22,124.0,17,INF277K015R5,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.625Z,2021-09-22T12:01:03.625Z,0,215.36,22-Sep-2021
17,614c6c64a3bb370008f1022c,NETF,EQ,N,217.39,212.01,217.39,217.31,217.38,215.36,3864,829086.07,218.22,124.0,116,INF277K015R5,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.938Z,2021-09-23T12:00:36.938Z,0,214.57,23-Sep-2021
18,614dbde285b991000931469a,NETF,EQ,N,217.2,212.5,217.2,217.2,217.2,217.31,516,111868.37,218.22,124.0,57,INF277K015R5,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.992Z,2021-09-24T12:00:34.992Z,0,216.8,24-Sep-2021
19,6151b27fc3f15b0008afe52d,NETF,EQ,N,220.6,216.01,217.2,218.0,218.0,217.2,2308,507187.36,220.6,129.0,129,INF277K015R5,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:04.014Z,2021-09-27T12:01:04.014Z,0,219.75,27-Sep-2021
20,615304074a501f0008b25a58,NETF,EQ,N,220.98,215.02,220.98,217.89,217.9,218.0,1824,398534.89,220.98,129.0,138,INF277K015R5,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.308Z,2021-09-28T12:01:11.308Z,0,218.5,28-Sep-2021
21,615455804a501f0008e4cd4e,NETF,EQ,N,221.0,213.01,221.0,216.84,216.0,217.89,2526,550378.1,221.0,129.0,108,INF277K015R5,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.776Z,2021-09-29T12:01:04.776Z,0,217.89,29-Sep-2021
22,6155a700595682000817650c,NETF,EQ,N,219.5,214.0,219.49,215.91,215.99,216.84,1851,400828.46,221.0,129.0,98,INF277K015R5,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.084Z,2021-09-30T12:01:04.084Z,0,216.55,30-Sep-2021
23,6156f85d00c38500086c2e76,NETF,EQ,N,219.2,180.0,219.0,219.2,219.2,215.91,1656,361371.02,221.0,129.0,144,INF277K015R5,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.095Z,2021-10-01T12:00:29.095Z,0,218.22,01-Oct-2021
24,615aecff00c38500088dfaeb,NETF,EQ,N,218.06,215.0,218.06,218.06,218.06,219.2,359,78265.18,221.0,129.0,45,INF277K015R5,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.935Z,2021-10-04T12:01:03.935Z,0,218.01,04-Oct-2021
25,615c3e661728530008f0aed8,NETF,EQ,N,216.98,215.0,215.0,216.98,216.98,218.06,809,175153.98,221.0,129.0,100,INF277K015R5,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:38.329Z,2021-10-05T12:00:38.329Z,0,216.51,05-Oct-2021
26,615d8fe27c2c3b00089ffea2,NETF,EQ,N,218.95,216.1,217.0,217.13,216.5,216.98,1500,326550.94,221.0,129.0,114,INF277K015R5,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:34.486Z,2021-10-06T12:00:34.486Z,0,217.7,06-Oct-2021
27,615ee162c7aa980008977ff1,NETF,EQ,N,220.59,215.0,220.59,215.46,215.0,217.13,2722,590065.18,221.0,129.0,112,INF277K015R5,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:34.116Z,2021-10-07T12:00:34.116Z,0,216.78,07-Oct-2021
28,616032ff31c1ce0008cb033a,NETF,EQ,N,218.42,216.5,218.42,217.05,218.38,215.46,1530,332843.69,221.0,129.0,106,INF277K015R5,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:03.562Z,2021-10-08T12:01:03.562Z,0,217.54,08-Oct-2021
29,61644a8d1ffdf40008ba3e7b,NETF,EQ,N,220.2,215.11,220.2,218.32,218.99,217.05,2653,575738.35,221.0,129.0,221,INF277K015R5,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:37.148Z,2021-10-11T14:30:37.148Z,0,217.01,11-Oct-2021
