,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73120,NHPC,EQ,N,36.65,33.5,36.2,34.05,34.45,35.5,32946758,1159230394.65,37.05,19.7,63826,INE848E01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.054Z,2021-10-19T12:01:04.054Z,0,35.18,19-Oct-2021,
1,61700beeffea140009a3a059,NHPC,EQ,N,34.25,32.05,34.25,32.3,32.25,34.05,11853827,390550901.5,37.05,19.7,28785,INE848E01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.109Z,2021-10-20T12:30:38.109Z,0,32.95,20-Oct-2021,
2,61715663facf5c0008bb1979,NHPC,EQ,N,33.15,30.75,32.8,31.1,31.1,32.3,12293127,391170856.3,37.05,19.7,28060,INE848E01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.570Z,2021-10-21T12:00:35.570Z,0,31.82,21-Oct-2021,
3,6172a8052dc18f00080fe8b4,NHPC,EQ,N,32.75,31.0,31.5,32.4,32.75,31.1,17399594,556287674.35,37.05,19.7,45703,INE848E01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.819Z,2021-10-22T12:01:09.819Z,0,31.97,22-Oct-2021,
4,61769c5edb443b0008c8e85b,NHPC,EQ,N,33.15,31.5,32.9,32.4,32.25,32.4,11105504,358891207.2,37.05,19.7,26484,INE848E01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.098Z,2021-10-25T12:00:30.098Z,0,32.32,25-Oct-2021,
5,6177ee012ed3fb00087dee62,NHPC,EQ,N,32.8,31.3,32.3,31.5,31.7,32.4,12705415,406329776.7,37.05,19.7,18951,INE848E01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.015Z,2021-10-26T12:01:05.015Z,0,31.98,26-Oct-2021,
6,61793f887220a800093c6e57,NHPC,EQ,N,32.15,31.4,31.85,31.6,31.7,31.5,5069463,160698048.9,37.05,19.7,14669,INE848E01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.182Z,2021-10-27T12:01:12.182Z,0,31.7,27-Oct-2021,
7,617a90e5b698860008b70b13,NHPC,EQ,N,32.15,30.9,31.95,31.1,31.2,31.6,6233438,196453422.85,37.05,19.7,18988,INE848E01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.373Z,2021-10-28T12:00:37.373Z,0,31.52,28-Oct-2021,
8,6139f7699241480008a1a9e6,NHPC,EQ,N,27.65,27.2,27.55,27.4,27.4,27.5,2835567,77590011.8,28.6,19.7,7663,INE848E01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.111Z,2021-09-09T12:00:41.111Z,0,27.36,09-Sep-2021,
9,613f3d5d66f15f00083947dd,NHPC,EQ,N,27.65,27.3,27.4,27.6,27.6,27.4,3603814,99230785.6,28.6,19.7,9376,INE848E01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.433Z,2021-09-13T12:00:29.433Z,0,27.53,13-Sep-2021,
10,61408f028b051b0009545220,NHPC,EQ,N,27.7,27.3,27.6,27.6,27.65,27.6,3118139,85818663.1,28.6,19.7,9039,INE848E01016,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.374Z,2021-09-14T12:01:06.374Z,0,27.52,14-Sep-2021,
11,6141e06552f3510008866f09,NHPC,EQ,N,28.2,27.5,27.65,27.95,28.0,27.6,11351765,317383883.75,28.6,19.7,17916,INE848E01016,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.083Z,2021-09-15T12:00:37.083Z,0,27.96,15-Sep-2021,
12,614331dd4189570008859bc2,NHPC,EQ,N,28.25,27.7,27.8,28.1,28.1,27.95,8689658,243866932.1,28.6,19.7,16486,INE848E01016,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.551Z,2021-09-16T12:00:29.551Z,0,28.06,16-Sep-2021,"[{'symbol': 'NHPC', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '16-Sep-2021', 'recDate': '-', 'bcStartDate': '18-Sep-2021', 'bcEndDate': '29-Sep-2021', 'ndStartDate': '-', 'comp': 'NHPC Limited', 'isin': 'INE848E01016', 'ndEndDate': '-', 'caBroadcastDate': None}, {'symbol': 'NHPC', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Dividend - Rs 0.35  Per Share', 'exDate': '16-Sep-2021', 'recDate': '17-Sep-2021', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'NHPC Limited', 'isin': 'INE848E01016', 'ndEndDate': '-', 'caBroadcastDate': None}]"
13,614483807f66a40008755542,NHPC,EQ,N,28.15,27.15,28.15,27.7,27.65,28.1,8478012,234183096.7,28.6,19.7,13375,INE848E01016,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.265Z,2021-09-17T12:01:04.265Z,0,27.62,17-Sep-2021,
14,614877e4e0fcf60008e5151a,NHPC,EQ,N,28.0,27.45,27.65,27.95,27.8,27.7,5160370,143792102.5,28.6,19.7,15005,INE848E01016,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.999Z,2021-09-20T12:00:36.999Z,0,27.86,20-Sep-2021,
15,6149c980bf6def0009839edf,NHPC,EQ,N,28.1,27.25,28.1,27.45,27.35,27.95,3057872,84494020.8,28.6,19.7,7680,INE848E01016,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.252Z,2021-09-21T12:01:04.252Z,0,27.63,21-Sep-2021,
16,614b1b01f6172a0008df4712,NHPC,EQ,N,27.7,27.2,27.7,27.3,27.2,27.45,2010083,55002375.8,28.6,19.7,6391,INE848E01016,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.305Z,2021-09-22T12:01:05.305Z,0,27.36,22-Sep-2021,
17,614c6c66a3bb370008f105bc,NHPC,EQ,N,28.1,27.25,27.4,27.75,27.75,27.3,8964666,248436975.9,28.6,19.7,21194,INE848E01016,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.357Z,2021-09-23T12:00:38.357Z,0,27.71,23-Sep-2021,
18,614dbde485b9910009314a2c,NHPC,EQ,N,28.2,27.75,27.75,27.95,27.85,27.75,6112661,171012187.6,28.6,19.7,19870,INE848E01016,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.547Z,2021-09-24T12:00:36.547Z,0,27.98,24-Sep-2021,
