,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb37e2137b10008e72eb7,ORTINLAB,EQ,N,31.95,29.25,31.4,29.85,29.85,31.3,71022,2171535.45,52.25,21.4,817,INE749B01020,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.809Z,2021-10-19T12:01:02.809Z,0,30.58,19-Oct-2021
1,61700bedffea140009a39fe5,ORTINLAB,EQ,N,35.8,28.9,29.85,33.35,33.25,29.85,329289,10762510.25,52.25,21.4,2007,INE749B01020,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.905Z,2021-10-20T12:30:37.905Z,0,32.68,20-Oct-2021
2,61715662facf5c0008bb168f,ORTINLAB,EQ,N,34.75,31.5,34.75,31.75,31.7,33.35,132084,4359795.15,52.25,21.4,1202,INE749B01020,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.099Z,2021-10-21T12:00:34.099Z,0,33.01,21-Oct-2021
3,6172a8052dc18f00080fe825,ORTINLAB,EQ,N,34.5,31.0,32.0,33.35,32.75,31.75,167095,5456489.15,52.25,21.4,1418,INE749B01020,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.082Z,2021-10-22T12:01:09.082Z,0,32.66,22-Oct-2021
4,61769c5cdb443b0008c8e563,ORTINLAB,EQ,N,38.5,34.55,35.5,35.05,35.0,33.35,1460714,53680886.0,52.25,21.4,11469,INE749B01020,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.490Z,2021-10-25T12:00:28.490Z,0,36.75,25-Oct-2021
5,6177edff2ed3fb00087deb9e,ORTINLAB,EQ,N,35.0,32.1,35.0,32.65,32.7,35.05,169706,5626452.1,52.25,21.4,2314,INE749B01020,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.721Z,2021-10-26T12:01:03.721Z,0,33.15,26-Oct-2021
6,61793f857220a800093c68a7,ORTINLAB,EQ,N,33.75,32.2,33.4,32.7,32.5,32.65,112913,3714723.25,52.25,21.4,1133,INE749B01020,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.133Z,2021-10-27T12:01:09.133Z,0,32.9,27-Oct-2021
7,617a90e3b698860008b7081d,ORTINLAB,EQ,N,33.3,30.1,33.3,30.9,31.4,32.7,144180,4501806.1,52.25,21.4,1232,INE749B01020,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.378Z,2021-10-28T12:00:35.378Z,0,31.22,28-Oct-2021
8,6139f7679241480008a1a733,ORTINLAB,EQ,N,29.2,28.5,28.9,28.75,28.7,28.9,23272,670339.75,52.25,21.4,278,INE749B01020,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.791Z,2021-09-09T12:00:39.791Z,0,28.8,09-Sep-2021
9,613f3d5c66f15f0008394516,ORTINLAB,EQ,N,29.3,28.1,29.3,28.35,28.4,28.75,35907,1018709.85,52.25,21.4,320,INE749B01020,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.288Z,2021-09-13T12:00:28.288Z,0,28.37,13-Sep-2021
