,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e7329c,PGEL,EQ,N,549.1,490.25,547.4,501.85,503.8,538.35,62835,32897819.65,596.5,127.0,4743,INE457L01011,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.021Z,2021-10-19T12:01:05.021Z,0,523.56,19-Oct-2021,
1,61700bebffea140009a39a79,PGEL,EQ,N,499.8,425.6,493.0,470.95,474.9,501.85,113282,53875914.1,596.5,127.0,5849,INE457L01011,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.454Z,2021-10-20T12:30:35.454Z,0,475.59,20-Oct-2021,
2,61715664facf5c0008bb1b2c,PGEL,EQ,N,498.55,467.05,467.05,488.95,492.0,470.95,44548,21776863.75,596.5,127.0,4715,INE457L01011,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.451Z,2021-10-21T12:00:36.451Z,0,488.84,21-Oct-2021,
3,6172a8022dc18f00080fe237,PGEL,EQ,N,509.0,465.0,500.0,470.25,467.0,488.95,51156,24617287.85,596.5,127.0,10621,INE457L01011,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.099Z,2021-10-22T12:01:06.099Z,0,481.22,22-Oct-2021,
4,61769c5fdb443b0008c8ea2e,PGEL,EQ,N,499.0,431.0,476.0,480.4,482.0,470.25,80989,37580857.8,596.5,127.0,7272,INE457L01011,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.109Z,2021-10-25T12:00:31.109Z,0,464.02,25-Oct-2021,
5,6177ee012ed3fb00087df006,PGEL,EQ,N,513.9,470.5,470.5,506.55,504.0,480.4,60912,30253245.0,596.5,127.0,10438,INE457L01011,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.798Z,2021-10-26T12:01:05.798Z,0,496.67,26-Oct-2021,
6,61793f897220a800093c719f,PGEL,EQ,N,519.95,495.05,506.55,501.25,502.0,506.55,34612,17596390.55,596.5,127.0,7708,INE457L01011,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.774Z,2021-10-27T12:01:13.774Z,0,508.39,27-Oct-2021,
7,617a90e6b698860008b70cd8,PGEL,EQ,N,516.0,486.3,501.25,492.75,493.0,501.25,38903,19282778.65,596.5,127.0,6906,INE457L01011,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.149Z,2021-10-28T12:00:38.149Z,0,495.66,28-Oct-2021,
8,6139f7699241480008a1ab77,PGEL,EQ,N,364.95,346.6,351.5,356.05,362.85,351.15,14100,4984980.95,490.2,50.0,1052,INE457L01011,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.974Z,2021-09-09T12:00:41.974Z,0,353.54,09-Sep-2021,
9,613f3d5e66f15f0008394982,PGEL,EQ,N,377.0,350.0,360.0,368.65,373.5,356.05,31048,11336062.65,490.2,65.0,775,INE457L01011,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.132Z,2021-09-13T12:00:30.132Z,0,365.11,13-Sep-2021,
10,61408f038b051b00095453b4,PGEL,EQ,N,403.9,370.1,376.95,397.6,401.05,368.65,61190,23841273.75,490.2,65.0,1810,INE457L01011,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.082Z,2021-09-14T12:01:07.082Z,0,389.63,14-Sep-2021,
11,6141e06552f35100088670a4,PGEL,EQ,N,421.25,399.0,400.0,407.1,405.0,397.6,52660,21546763.3,490.2,65.0,1927,INE457L01011,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.773Z,2021-09-15T12:00:37.773Z,0,409.17,15-Sep-2021,
12,614331de4189570008859d67,PGEL,EQ,N,420.95,388.35,407.1,407.0,407.0,407.1,41895,17155327.9,490.2,65.0,2708,INE457L01011,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:30.336Z,2021-09-16T12:00:30.336Z,0,409.48,16-Sep-2021,
13,614483817f66a400087556e5,PGEL,EQ,N,410.1,391.0,393.0,405.45,409.8,407.0,30465,12201098.3,490.2,65.0,1250,INE457L01011,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.064Z,2021-09-17T12:01:05.064Z,0,400.5,17-Sep-2021,
14,614877e5e0fcf60008e516c7,PGEL,EQ,N,421.9,387.25,391.0,405.4,403.8,405.45,56034,23055842.7,490.2,68.4,2778,INE457L01011,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.730Z,2021-09-20T12:00:37.730Z,0,411.46,20-Sep-2021,
15,6149c981bf6def000983a084,PGEL,EQ,N,433.4,393.35,400.0,420.75,419.0,405.4,69795,28882537.45,490.2,68.4,2505,INE457L01011,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.227Z,2021-09-21T12:01:05.227Z,0,413.82,21-Sep-2021,"[{'symbol': 'PGEL', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '21-Sep-2021', 'recDate': '-', 'bcStartDate': '23-Sep-2021', 'bcEndDate': '29-Sep-2021', 'ndStartDate': '-', 'comp': 'PG Electroplast Limited', 'isin': 'INE457L01011', 'ndEndDate': '-', 'caBroadcastDate': None}]"
16,614b1afef6172a0008df4170,PGEL,EQ,N,434.0,416.9,425.9,424.2,422.0,420.75,45506,19353032.35,490.2,68.4,2430,INE457L01011,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:02.776Z,2021-09-22T12:01:02.776Z,0,425.29,22-Sep-2021,
17,614c6c64a3bb370008f1001c,PGEL,EQ,N,433.95,419.0,429.85,421.05,422.95,424.2,18909,8011452.5,490.2,68.4,1514,INE457L01011,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.095Z,2021-09-23T12:00:36.095Z,0,423.68,23-Sep-2021,
18,614dbde285b991000931447a,PGEL,EQ,N,427.5,407.7,423.6,411.4,408.55,421.05,20885,8719098.6,490.2,68.4,1052,INE457L01011,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.053Z,2021-09-24T12:00:34.053Z,0,417.48,24-Sep-2021,
19,6151b27fc3f15b0008afe312,PGEL,EQ,N,416.9,405.8,416.9,407.85,406.1,411.4,22311,9103620.55,490.2,114.0,647,INE457L01011,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:03.113Z,2021-09-27T12:01:03.113Z,0,408.03,27-Sep-2021,
20,615304084a501f0008b25d51,PGEL,EQ,N,419.9,402.0,410.0,405.15,406.3,407.85,17001,6928406.05,490.2,114.0,798,INE457L01011,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:12.531Z,2021-09-28T12:01:12.531Z,0,407.53,28-Sep-2021,
21,6154557f4a501f0008e4cb0c,PGEL,EQ,N,416.8,395.5,395.5,410.9,410.0,405.15,56232,22843864.65,490.2,114.0,1035,INE457L01011,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:03.398Z,2021-09-29T12:01:03.398Z,0,406.24,29-Sep-2021,
22,6155a701595682000817680d,PGEL,EQ,N,430.25,403.1,411.4,406.9,410.0,410.9,55718,23280701.15,490.2,114.0,4040,INE457L01011,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:05.459Z,2021-09-30T12:01:05.459Z,0,417.83,30-Sep-2021,
23,6156f85e00c38500086c3174,PGEL,EQ,N,405.0,399.55,405.0,401.3,400.0,406.9,47185,18922428.15,490.2,114.0,848,INE457L01011,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:30.444Z,2021-10-01T12:00:30.444Z,0,401.03,01-Oct-2021,
24,615aed0100c38500088dfe08,PGEL,EQ,N,429.9,400.0,401.7,424.5,425.0,401.3,161278,65854027.55,490.2,120.6,2784,INE457L01011,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:05.484Z,2021-10-04T12:01:05.484Z,0,408.33,04-Oct-2021,
25,615c3e651728530008f0acae,PGEL,EQ,N,432.15,416.05,424.5,422.65,417.05,424.5,32721,13964172.35,490.2,120.6,1376,INE457L01011,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:37.334Z,2021-10-05T12:00:37.334Z,0,426.76,05-Oct-2021,
26,615d8fe37c2c3b0008a001b5,PGEL,EQ,N,429.85,397.8,422.65,405.9,405.0,422.65,37768,15516879.1,490.2,120.6,1747,INE457L01011,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:35.986Z,2021-10-06T12:00:35.986Z,0,410.85,06-Oct-2021,
27,615ee163c7aa9800089782ed,PGEL,EQ,N,423.95,406.3,406.3,414.4,419.0,405.9,30831,12855957.8,490.2,120.6,1987,INE457L01011,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:35.547Z,2021-10-07T12:00:35.547Z,0,416.98,07-Oct-2021,
28,616032fe31c1ce0008cb00fb,PGEL,EQ,N,497.25,410.1,422.5,489.85,486.05,414.4,345856,165176105.7,497.25,120.6,13890,INE457L01011,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:02.463Z,2021-10-08T12:01:02.463Z,0,477.59,08-Oct-2021,
29,61644a8b1ffdf40008ba3c51,PGEL,EQ,N,578.0,500.0,505.0,559.05,563.0,489.85,677715,375754808.25,578.0,127.0,51004,INE457L01011,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:35.580Z,2021-10-11T14:30:35.580Z,0,554.44,11-Oct-2021,
30,616578fe60745c00089371ff,PGEL,EQ,N,574.0,524.15,566.85,541.75,540.0,559.05,172073,93653699.8,578.0,127.0,12381,INE457L01011,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:02.717Z,2021-10-12T12:01:02.717Z,0,544.27,12-Oct-2021,
31,6166ca6573e7b00008258bed,PGEL,EQ,N,596.5,530.0,541.75,572.65,569.4,541.75,128994,73061213.55,596.5,127.0,7339,INE457L01011,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:37.161Z,2021-10-13T12:00:37.161Z,0,566.39,13-Oct-2021,
32,61681c0103a7b2000873e38c,PGEL,EQ,N,579.15,542.05,577.5,545.75,546.5,572.65,52261,29119443.4,596.5,127.0,4727,INE457L01011,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:05.412Z,2021-10-14T12:01:05.412Z,0,557.19,14-Oct-2021,
33,616d61e181039a0008f7610c,PGEL,EQ,N,556.0,530.0,556.0,538.35,543.0,545.75,70018,38053413.0,596.5,127.0,4794,INE457L01011,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:33.701Z,2021-10-18T12:00:33.701Z,0,543.48,18-Oct-2021,
34,616eb3802137b10008e7329c,PGEL,EQ,N,549.1,490.25,547.4,501.85,503.8,538.35,62835,32897819.65,596.5,127.0,4743,INE457L01011,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.021Z,2021-10-19T12:01:05.021Z,0,523.56,19-Oct-2021,
