,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb3802137b10008e7316f,PIONDIST,EQ,N,180.95,173.05,179.15,175.6,173.4,179.35,28855,5131805.55,192.5,95.05,803,INE889E01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.185Z,2021-10-19T12:01:04.185Z,0,177.85,19-Oct-2021
1,61700beeffea140009a3a0b1,PIONDIST,EQ,N,174.4,169.05,170.05,170.35,170.85,175.6,41125,7073244.95,192.5,95.05,591,INE889E01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.236Z,2021-10-20T12:30:38.236Z,0,171.99,20-Oct-2021
2,61715663facf5c0008bb19d2,PIONDIST,EQ,N,177.95,168.0,168.0,171.3,171.8,170.35,21021,3601077.05,192.5,95.05,296,INE889E01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.757Z,2021-10-21T12:00:35.757Z,0,171.31,21-Oct-2021
3,6172a8062dc18f00080fe90f,PIONDIST,EQ,N,173.7,166.5,171.7,168.1,169.65,171.3,16646,2821588.3,192.5,95.05,526,INE889E01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.294Z,2021-10-22T12:01:10.294Z,0,169.51,22-Oct-2021
4,61769c5edb443b0008c8e8ba,PIONDIST,EQ,N,169.5,163.05,164.05,167.0,167.25,168.1,51687,8568423.35,192.5,95.25,857,INE889E01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.268Z,2021-10-25T12:00:30.268Z,0,165.78,25-Oct-2021
5,6177ee012ed3fb00087deeb7,PIONDIST,EQ,N,171.45,167.1,169.5,167.65,167.5,167.0,10901,1840085.0,192.5,95.25,405,INE889E01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.170Z,2021-10-26T12:01:05.170Z,0,168.8,26-Oct-2021
6,61793f887220a800093c6efe,PIONDIST,EQ,N,180.0,167.85,167.85,174.9,179.0,167.65,18251,3164710.8,192.5,95.25,433,INE889E01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.439Z,2021-10-27T12:01:12.439Z,0,173.4,27-Oct-2021
7,617a90e5b698860008b70b6c,PIONDIST,EQ,N,190.0,177.2,183.0,179.35,178.05,174.9,161649,29959959.65,192.5,95.25,3665,INE889E01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.522Z,2021-10-28T12:00:37.522Z,0,185.34,28-Oct-2021
8,6139f7699241480008a1aa38,PIONDIST,EQ,N,152.95,148.55,150.8,150.25,150.9,149.1,10127,1522951.0,158.9,89.1,410,INE889E01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.309Z,2021-09-09T12:00:41.309Z,0,150.39,09-Sep-2021
9,613f3d5d66f15f0008394831,PIONDIST,EQ,N,153.0,149.1,149.1,151.5,152.0,150.25,33145,5004491.55,158.9,89.1,754,INE889E01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.607Z,2021-09-13T12:00:29.607Z,0,150.99,13-Sep-2021
10,61408f028b051b0009545273,PIONDIST,EQ,N,155.2,149.65,152.4,150.75,151.35,151.5,39055,5944801.6,158.9,89.1,1388,INE889E01010,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.519Z,2021-09-14T12:01:06.519Z,0,152.22,14-Sep-2021
11,6141e06552f3510008866f5f,PIONDIST,EQ,N,151.95,149.7,151.5,150.1,149.9,150.75,11289,1702394.05,158.9,89.1,160,INE889E01010,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.222Z,2021-09-15T12:00:37.222Z,0,150.8,15-Sep-2021
12,614331dd4189570008859c1b,PIONDIST,EQ,N,153.0,147.55,150.3,148.05,147.6,150.1,14028,2093593.5,158.9,89.1,382,INE889E01010,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.769Z,2021-09-16T12:00:29.769Z,0,149.24,16-Sep-2021
13,614483807f66a400087555a0,PIONDIST,EQ,N,152.9,147.0,150.95,147.25,148.15,148.05,23265,3479033.0,158.9,89.1,480,INE889E01010,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.415Z,2021-09-17T12:01:04.415Z,0,149.54,17-Sep-2021
14,614877e5e0fcf60008e51575,PIONDIST,EQ,N,151.9,144.75,150.5,145.35,145.1,147.25,27135,3968735.95,158.9,89.1,491,INE889E01010,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.138Z,2021-09-20T12:00:37.138Z,0,146.26,20-Sep-2021
15,6149c980bf6def0009839f3e,PIONDIST,EQ,N,149.75,143.55,145.05,146.25,149.25,145.35,11789,1722514.75,158.9,89.1,178,INE889E01010,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.418Z,2021-09-21T12:01:04.418Z,0,146.11,21-Sep-2021
