,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3812137b10008e733c5,PRICOLLTD,EQ,N,108.2,97.8,108.0,100.7,101.5,107.3,1086592,112888788.15,114.7,45.0,10778,INE726V01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.819Z,2021-10-19T12:01:05.819Z,0,103.89,19-Oct-2021,
1,61700bebffea140009a39abb,PRICOLLTD,EQ,N,103.5,94.55,101.4,96.0,96.5,100.7,1269008,124692597.05,114.7,45.0,11721,INE726V01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.569Z,2021-10-20T12:30:35.569Z,0,98.26,20-Oct-2021,
2,61715665facf5c0008bb1c6a,PRICOLLTD,EQ,N,100.95,96.25,97.9,100.25,100.45,96.0,774684,76745220.5,114.7,45.0,8240,INE726V01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.034Z,2021-10-21T12:00:37.034Z,0,99.07,21-Oct-2021,
3,6172a8022dc18f00080fe27a,PRICOLLTD,EQ,N,101.65,96.85,100.0,98.5,98.65,100.25,554106,54932237.65,114.7,45.0,6741,INE726V01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.206Z,2021-10-22T12:01:06.206Z,0,99.14,22-Oct-2021,
4,61769c5fdb443b0008c8eb6c,PRICOLLTD,EQ,N,99.2,95.3,99.2,97.85,97.55,98.5,414920,40273238.3,114.7,45.0,4598,INE726V01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.665Z,2021-10-25T12:00:31.665Z,0,97.06,25-Oct-2021,
5,6177ee022ed3fb00087df13d,PRICOLLTD,EQ,N,102.25,97.15,98.6,100.9,100.7,97.85,633818,63341200.5,114.7,45.0,6912,INE726V01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.646Z,2021-10-26T12:01:06.646Z,0,99.94,26-Oct-2021,
6,61793f8a7220a800093c7411,PRICOLLTD,EQ,N,102.15,98.45,101.0,99.3,99.0,100.9,498688,49928106.7,114.7,45.0,5872,INE726V01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:14.858Z,2021-10-27T12:01:14.858Z,0,100.12,27-Oct-2021,
7,617a90e6b698860008b70e1b,PRICOLLTD,EQ,N,100.2,95.6,99.3,96.7,96.5,99.3,439635,43063725.7,114.7,45.0,6111,INE726V01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.738Z,2021-10-28T12:00:38.738Z,0,97.95,28-Oct-2021,
8,6139f76a9241480008a1ac96,PRICOLLTD,EQ,N,94.65,81.2,81.5,92.3,91.75,81.7,4642195,424632950.65,106.7,42.9,39373,INE726V01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.401Z,2021-09-09T12:00:42.401Z,0,91.47,09-Sep-2021,
9,613f3d5e66f15f0008394ab1,PRICOLLTD,EQ,N,95.8,89.85,92.2,94.1,93.75,92.3,2705209,254238463.7,106.7,42.9,17013,INE726V01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.636Z,2021-09-13T12:00:30.636Z,0,93.98,13-Sep-2021,
10,61408f038b051b0009545516,PRICOLLTD,EQ,N,96.0,93.45,94.5,93.9,93.75,94.1,1001401,94806359.8,106.7,42.9,7984,INE726V01018,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.762Z,2021-09-14T12:01:07.762Z,0,94.67,14-Sep-2021,
11,6141e06652f35100088671c1,PRICOLLTD,EQ,N,99.85,93.75,94.3,96.8,96.4,93.9,2282533,223003411.3,106.7,42.9,14989,INE726V01018,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.263Z,2021-09-15T12:00:38.263Z,0,97.7,15-Sep-2021,
12,614331df4189570008859e91,PRICOLLTD,EQ,N,98.4,94.0,97.8,94.55,94.5,96.8,838641,80778817.7,106.7,42.9,6653,INE726V01018,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:31.548Z,2021-09-16T12:00:31.548Z,0,96.32,16-Sep-2021,
13,614483817f66a4000875581f,PRICOLLTD,EQ,N,95.45,91.3,95.1,91.75,91.65,94.55,495348,45911137.55,106.7,42.9,5192,INE726V01018,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.564Z,2021-09-17T12:01:05.564Z,0,92.68,17-Sep-2021,
14,614877e6e0fcf60008e51801,PRICOLLTD,EQ,N,91.85,86.7,90.9,87.2,87.95,91.75,466672,41706385.35,106.7,42.9,4801,INE726V01018,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:38.202Z,2021-09-20T12:00:38.202Z,0,89.37,20-Sep-2021,
15,6149c981bf6def000983a1b2,PRICOLLTD,EQ,N,90.9,84.9,87.0,89.7,90.2,87.2,995234,87647245.4,106.7,42.9,9991,INE726V01018,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.812Z,2021-09-21T12:01:05.812Z,0,88.07,21-Sep-2021,
16,614b1afef6172a0008df41ab,PRICOLLTD,EQ,N,91.9,88.85,90.4,89.3,89.3,89.7,431171,38981089.65,106.7,42.9,3911,INE726V01018,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:02.875Z,2021-09-22T12:01:02.875Z,0,90.41,22-Sep-2021,
