,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3812137b10008e73308,PRITIKAUTO,EQ,N,18.8,18.1,18.6,18.4,18.5,18.5,170421,3166695.3,22.8,13.75,587,INE583R01029,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.293Z,2021-10-19T12:01:05.293Z,0,18.58,19-Oct-2021,
1,61700beeffea140009a3a141,PRITIKAUTO,EQ,N,18.5,17.5,18.5,17.95,18.0,18.4,144258,2584272.6,22.8,13.75,717,INE583R01029,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.475Z,2021-10-20T12:30:38.475Z,0,17.91,20-Oct-2021,
2,61715664facf5c0008bb1ba5,PRITIKAUTO,EQ,N,18.5,17.4,18.0,17.85,17.8,17.95,161473,2876869.1,22.8,13.75,570,INE583R01029,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.651Z,2021-10-21T12:00:36.651Z,0,17.82,21-Oct-2021,
3,6172a8062dc18f00080fe9ac,PRITIKAUTO,EQ,N,17.95,17.5,17.95,17.6,17.95,17.85,82984,1467274.0,22.8,13.75,409,INE583R01029,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:11.041Z,2021-10-22T12:01:11.041Z,0,17.68,22-Oct-2021,
4,61769c5fdb443b0008c8eaa5,PRITIKAUTO,EQ,N,18.0,17.1,17.9,17.55,17.7,17.6,60732,1061183.4,22.8,13.75,368,INE583R01029,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.301Z,2021-10-25T12:00:31.301Z,0,17.47,25-Oct-2021,
5,6177ee022ed3fb00087df07b,PRITIKAUTO,EQ,N,17.75,17.4,17.75,17.6,17.75,17.55,62621,1105297.5,22.8,13.75,204,INE583R01029,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.020Z,2021-10-26T12:01:06.020Z,0,17.65,26-Oct-2021,
6,61793f8a7220a800093c7290,PRITIKAUTO,EQ,N,18.25,17.4,17.7,17.95,18.0,17.6,77697,1391565.9,22.8,13.75,289,INE583R01029,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:14.285Z,2021-10-27T12:01:14.285Z,0,17.91,27-Oct-2021,
7,617a90e6b698860008b70d52,PRITIKAUTO,EQ,N,18.25,17.55,18.25,17.7,17.85,17.95,68116,1207568.5,22.8,13.75,260,INE583R01029,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.388Z,2021-10-28T12:00:38.388Z,0,17.73,28-Oct-2021,
8,6139f76a9241480008a1abdf,PRITIKAUTO,EQ,N,18.75,18.0,18.75,18.2,18.35,18.2,111809,2044267.1,22.8,13.75,587,INE583R01029,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.138Z,2021-09-09T12:00:42.138Z,0,18.28,09-Sep-2021,
9,613f3d5e66f15f00083949e4,PRITIKAUTO,EQ,N,18.6,18.15,18.5,18.3,18.3,18.2,67890,1244509.9,22.8,13.75,547,INE583R01029,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.331Z,2021-09-13T12:00:30.331Z,0,18.33,13-Sep-2021,
10,61408f038b051b0009545422,PRITIKAUTO,EQ,N,18.7,18.1,18.45,18.15,18.2,18.3,127441,2330412.15,22.8,13.75,678,INE583R01029,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.292Z,2021-09-14T12:01:07.292Z,0,18.29,14-Sep-2021,
11,6141e06552f3510008867111,PRITIKAUTO,EQ,N,18.5,16.7,18.5,17.6,17.65,18.15,490320,8584662.6,22.8,13.75,2217,INE583R01029,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.986Z,2021-09-15T12:00:37.986Z,0,17.51,15-Sep-2021,
12,614331de4189570008859dd3,PRITIKAUTO,EQ,N,17.8,17.1,17.5,17.3,17.25,17.6,231754,4026956.2,22.8,13.75,1008,INE583R01029,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:30.546Z,2021-09-16T12:00:30.546Z,0,17.38,16-Sep-2021,
13,614483817f66a4000875575f,PRITIKAUTO,EQ,N,17.6,16.55,17.2,17.2,17.3,17.3,193128,3301845.95,22.8,13.75,778,INE583R01029,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.258Z,2021-09-17T12:01:05.258Z,0,17.1,17-Sep-2021,
14,614877e5e0fcf60008e51732,PRITIKAUTO,EQ,N,17.5,16.95,17.5,16.95,16.95,17.2,77158,1324786.2,22.8,13.75,522,INE583R01029,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.885Z,2021-09-20T12:00:37.885Z,0,17.17,20-Sep-2021,
15,6149c981bf6def000983a0f5,PRITIKAUTO,EQ,N,17.4,16.3,16.95,17.2,17.4,16.95,151439,2541955.65,22.8,13.75,876,INE583R01029,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.432Z,2021-09-21T12:01:05.432Z,0,16.79,21-Sep-2021,
16,614b1b01f6172a0008df47ec,PRITIKAUTO,EQ,N,17.85,17.15,17.35,17.75,17.75,17.2,149468,2628135.45,22.8,13.75,636,INE583R01029,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.677Z,2021-09-22T12:01:05.677Z,0,17.58,22-Sep-2021,
