,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e7309b,RELIGARE,EQ,N,171.05,156.0,170.35,159.9,160.0,168.6,1021683,167578929.05,194.8,47.0,8866,INE621H01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.798Z,2021-10-19T12:01:03.798Z,0,164.02,19-Oct-2021,
1,61700bebffea140009a399d2,RELIGARE,EQ,N,164.9,154.3,161.0,157.65,158.3,159.9,1401355,224463716.5,194.8,47.0,14202,INE621H01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.161Z,2021-10-20T12:30:35.161Z,0,160.18,20-Oct-2021,
2,61715663facf5c0008bb18dd,RELIGARE,EQ,N,163.5,155.1,158.0,160.4,160.8,157.65,1183115,188984119.75,194.8,47.0,11114,INE621H01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.275Z,2021-10-21T12:00:35.275Z,0,159.73,21-Oct-2021,
3,6172a8012dc18f00080fe176,RELIGARE,EQ,N,168.15,158.9,161.25,161.8,162.0,160.4,1410502,230167503.8,194.8,47.0,12260,INE621H01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.751Z,2021-10-22T12:01:05.751Z,0,163.18,22-Oct-2021,
4,61769c5ddb443b0008c8e7b5,RELIGARE,EQ,N,163.05,151.4,162.0,154.4,152.85,161.8,849949,133868914.85,194.8,49.0,8543,INE621H01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.796Z,2021-10-25T12:00:29.796Z,0,157.5,25-Oct-2021,
5,6177ee002ed3fb00087dedca,RELIGARE,EQ,N,161.25,153.45,154.5,159.85,161.25,154.4,757298,119607158.65,194.8,49.0,8252,INE621H01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.751Z,2021-10-26T12:01:04.751Z,0,157.94,26-Oct-2021,
6,61793f877220a800093c6d30,RELIGARE,EQ,N,161.8,156.0,161.2,157.35,157.05,159.85,267126,42276349.2,194.8,49.0,4691,INE621H01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.306Z,2021-10-27T12:01:11.306Z,0,158.26,27-Oct-2021,
7,617a90e5b698860008b70a74,RELIGARE,EQ,N,165.65,154.15,156.9,161.15,161.0,157.35,1001948,160702176.25,194.8,49.0,10359,INE621H01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.031Z,2021-10-28T12:00:37.031Z,0,160.39,28-Oct-2021,
8,6139f7689241480008a1a957,RELIGARE,EQ,N,157.3,152.0,152.5,153.55,152.65,153.85,590372,91194786.15,175.8,39.55,4927,INE621H01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.813Z,2021-09-09T12:00:40.813Z,0,154.47,09-Sep-2021,
9,613f3d5d66f15f0008394744,RELIGARE,EQ,N,154.65,151.6,154.0,152.95,152.0,153.55,527198,80687892.05,175.8,40.65,4713,INE621H01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.183Z,2021-09-13T12:00:29.183Z,0,153.05,13-Sep-2021,
10,61408f028b051b0009545191,RELIGARE,EQ,N,158.8,152.5,153.4,154.6,154.55,152.95,711434,110466589.5,175.8,40.65,7277,INE621H01010,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.128Z,2021-09-14T12:01:06.128Z,0,155.27,14-Sep-2021,
11,6141e06452f3510008866e72,RELIGARE,EQ,N,157.45,152.05,154.0,153.25,153.5,154.6,1613226,248399457.2,175.8,40.65,10182,INE621H01010,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.824Z,2021-09-15T12:00:36.824Z,0,153.98,15-Sep-2021,
12,614331dd4189570008859b32,RELIGARE,EQ,N,173.3,155.4,155.4,171.05,169.7,153.25,6006704,1000864336.4,175.8,40.65,59028,INE621H01010,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.299Z,2021-09-16T12:00:29.299Z,0,166.62,16-Sep-2021,
13,614483807f66a400087554ae,RELIGARE,EQ,N,177.75,166.15,171.1,174.4,174.0,171.05,3916859,674545551.25,177.75,40.65,28450,INE621H01010,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.019Z,2021-09-17T12:01:04.019Z,0,172.22,17-Sep-2021,
14,614877e4e0fcf60008e5147f,RELIGARE,EQ,N,180.05,168.15,171.9,169.9,168.15,174.4,3205065,556822641.45,180.05,40.65,16536,INE621H01010,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.714Z,2021-09-20T12:00:36.714Z,0,173.73,20-Sep-2021,
15,6149c980bf6def0009839e50,RELIGARE,EQ,N,173.45,160.9,168.0,170.4,170.7,169.9,1868243,312455847.75,180.05,40.65,14216,INE621H01010,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.038Z,2021-09-21T12:01:04.038Z,0,167.25,21-Sep-2021,"[{'symbol': 'RELIGARE', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '21-Sep-2021', 'recDate': '-', 'bcStartDate': '23-Sep-2021', 'bcEndDate': '29-Sep-2021', 'ndStartDate': '-', 'comp': 'Religare Enterprises Limited', 'isin': 'INE621H01010', 'ndEndDate': '-', 'caBroadcastDate': None}]"
16,614b1afef6172a0008df40bd,RELIGARE,EQ,N,177.0,169.65,171.0,174.7,174.5,170.4,2338635,407070762.05,180.05,40.65,14424,INE621H01010,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:02.447Z,2021-09-22T12:01:02.447Z,0,174.06,22-Sep-2021,
17,614c6c63a3bb370008f0ff73,RELIGARE,EQ,N,184.0,174.0,175.6,179.5,179.4,174.7,6040756,1084158791.15,184.0,40.65,28315,INE621H01010,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:35.804Z,2021-09-23T12:00:35.804Z,0,179.47,23-Sep-2021,
