,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3812137b10008e7332e,RITES,EQ,N,302.2,281.1,290.0,287.35,285.65,286.8,1014410,297163901.95,303.0,232.2,27659,INE320J01015,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:05.365Z,2021-10-19T12:01:05.365Z,0,292.94,19-Oct-2021,
1,61700bedffea140009a39f0b,RITES,EQ,N,286.65,280.0,282.0,284.1,285.8,287.35,192278,54566636.85,303.0,232.2,8929,INE320J01015,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.472Z,2021-10-20T12:30:37.472Z,0,283.79,20-Oct-2021,
2,61715664facf5c0008bb1bcf,RITES,EQ,N,290.0,281.65,284.1,285.25,284.2,284.1,274042,78368370.4,303.0,232.2,25105,INE320J01015,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.741Z,2021-10-21T12:00:36.741Z,0,285.97,21-Oct-2021,
3,6172a8042dc18f00080fe73f,RITES,EQ,N,317.0,284.9,286.4,309.0,313.7,285.25,2692723,826143645.35,317.0,232.2,44515,INE320J01015,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.439Z,2021-10-22T12:01:08.439Z,0,306.81,22-Oct-2021,
4,61769c5fdb443b0008c8ead0,RITES,EQ,N,317.9,278.15,316.5,284.9,283.8,309.0,1893149,569066580.9,317.9,232.2,46846,INE320J01015,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.376Z,2021-10-25T12:00:31.376Z,0,300.59,25-Oct-2021,
5,6177ee022ed3fb00087df0a3,RITES,EQ,N,291.4,281.1,284.5,283.05,283.45,284.9,455258,129972104.45,317.9,232.2,12813,INE320J01015,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.379Z,2021-10-26T12:01:06.379Z,0,285.49,26-Oct-2021,
6,61793f8a7220a800093c72db,RITES,EQ,N,286.9,280.2,280.2,282.1,282.9,283.05,184165,52211484.95,317.9,232.2,5546,INE320J01015,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:14.391Z,2021-10-27T12:01:14.391Z,0,283.5,27-Oct-2021,
7,617a90e6b698860008b70d7d,RITES,EQ,N,291.6,278.25,281.3,284.15,283.5,282.1,659832,189253773.4,317.9,232.2,18914,INE320J01015,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:38.471Z,2021-10-28T12:00:38.471Z,0,286.82,28-Oct-2021,
8,6139f76a9241480008a1ac05,RITES,EQ,N,276.8,272.0,276.8,274.2,274.15,274.25,114329,31328809.4,303.0,232.2,5306,INE320J01015,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.184Z,2021-09-09T12:00:42.184Z,0,274.02,09-Sep-2021,
9,613f3d5e66f15f0008394a0c,RITES,EQ,N,276.4,272.6,276.4,274.05,274.1,274.2,117241,32115981.85,303.0,232.2,13927,INE320J01015,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.383Z,2021-09-13T12:00:30.383Z,0,273.93,13-Sep-2021,
10,61408f038b051b000954544d,RITES,EQ,N,278.75,270.95,274.9,275.3,275.5,274.05,220013,60364876.0,303.0,232.2,14816,INE320J01015,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:07.373Z,2021-09-14T12:01:07.373Z,0,274.37,14-Sep-2021,
11,6141e06652f3510008867138,RITES,EQ,N,282.45,274.55,275.95,279.3,279.0,275.3,357102,99644724.0,303.0,232.2,13075,INE320J01015,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.040Z,2021-09-15T12:00:38.040Z,0,279.04,15-Sep-2021,
12,614331df4189570008859dfb,RITES,EQ,N,284.5,280.1,281.25,282.35,282.15,279.3,467993,132330122.25,303.0,232.2,11572,INE320J01015,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:31.194Z,2021-09-16T12:00:31.194Z,0,282.76,16-Sep-2021,
13,614483817f66a40008755788,RITES,EQ,N,284.8,275.65,283.55,280.2,280.2,282.35,264667,74052178.75,303.0,232.2,9882,INE320J01015,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.329Z,2021-09-17T12:01:05.329Z,0,279.79,17-Sep-2021,
14,614877e5e0fcf60008e5175b,RITES,EQ,N,278.9,273.1,277.5,276.9,277.0,280.2,226376,62513973.3,303.0,232.2,11535,INE320J01015,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.955Z,2021-09-20T12:00:37.955Z,0,276.15,20-Sep-2021,"[{'symbol': 'RITES', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting/Dividend - Rs 4 Per Share', 'exDate': '20-Sep-2021', 'recDate': '-', 'bcStartDate': '22-Sep-2021', 'bcEndDate': '29-Sep-2021', 'ndStartDate': '-', 'comp': 'RITES Limited', 'isin': 'INE320J01015', 'ndEndDate': '-', 'caBroadcastDate': None}]"
15,6149c981bf6def000983a119,RITES,EQ,N,277.0,270.25,277.0,275.3,275.85,276.9,168058,46110791.25,303.0,232.2,13268,INE320J01015,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:05.551Z,2021-09-21T12:01:05.551Z,0,274.37,21-Sep-2021,
16,614b1b00f6172a0008df45c3,RITES,EQ,N,279.9,273.5,275.35,275.9,275.75,275.3,173032,47690572.5,303.0,232.2,7992,INE320J01015,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.581Z,2021-09-22T12:01:04.581Z,0,275.62,22-Sep-2021,
17,614c6c65a3bb370008f1046e,RITES,EQ,N,278.9,273.5,275.95,274.75,274.6,275.9,157113,43275388.5,303.0,232.2,9692,INE320J01015,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.841Z,2021-09-23T12:00:37.841Z,0,275.44,23-Sep-2021,
18,614dbde485b99100093148e2,RITES,EQ,N,278.35,273.6,275.0,276.2,276.35,274.75,185321,51116352.5,303.0,232.2,10659,INE320J01015,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.033Z,2021-09-24T12:00:36.033Z,0,275.83,24-Sep-2021,
19,6151b280c3f15b0008afe782,RITES,EQ,N,278.5,272.1,277.25,276.65,277.0,276.2,179290,49378339.25,303.0,232.2,9934,INE320J01015,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.010Z,2021-09-27T12:01:05.010Z,0,275.41,27-Sep-2021,
20,615304084a501f0008b25dec,RITES,EQ,N,277.95,271.7,276.65,272.65,272.9,276.65,212196,58409567.1,303.0,232.2,12596,INE320J01015,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:12.772Z,2021-09-28T12:01:12.772Z,0,275.26,28-Sep-2021,
21,615455824a501f0008e4cfaa,RITES,EQ,N,274.8,270.0,270.0,273.45,273.9,272.65,184189,50323667.7,303.0,232.2,8900,INE320J01015,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.170Z,2021-09-29T12:01:06.170Z,0,273.22,29-Sep-2021,
22,6155a70159568200081768ad,RITES,EQ,N,274.7,271.5,274.0,273.45,272.5,273.45,145694,39772670.35,303.0,232.2,10435,INE320J01015,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:05.806Z,2021-09-30T12:01:05.806Z,0,272.99,30-Sep-2021,
