,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e73100,SADBHIN,EQ,N,18.4,16.85,17.95,16.9,17.0,17.7,1599249,27955409.1,41.6,14.8,3066,INE764L01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.965Z,2021-10-19T12:01:03.965Z,0,17.48,19-Oct-2021,
1,61700beeffea140009a3a038,SADBHIN,EQ,N,17.2,16.1,17.2,16.15,16.15,16.9,922607,15012611.05,41.6,14.8,1820,INE764L01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.054Z,2021-10-20T12:30:38.054Z,0,16.27,20-Oct-2021,
2,61715663facf5c0008bb1953,SADBHIN,EQ,N,16.45,15.7,16.45,16.0,16.1,16.15,394819,6330458.55,41.6,14.8,1130,INE764L01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.486Z,2021-10-21T12:00:35.486Z,0,16.03,21-Oct-2021,
3,6172a8052dc18f00080fe88b,SADBHIN,EQ,N,16.45,15.8,16.2,16.05,16.15,16.0,297585,4783406.45,41.6,14.8,1041,INE764L01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.549Z,2021-10-22T12:01:09.549Z,0,16.07,22-Oct-2021,
4,61769c5edb443b0008c8e836,SADBHIN,EQ,N,16.1,15.45,16.05,15.7,15.65,16.05,292282,4611602.6,41.6,14.8,1036,INE764L01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.030Z,2021-10-25T12:00:30.030Z,0,15.78,25-Oct-2021,
5,6177ee002ed3fb00087dee3f,SADBHIN,EQ,N,16.0,15.5,15.65,15.9,15.9,15.7,187990,2973379.5,41.6,14.8,712,INE764L01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.942Z,2021-10-26T12:01:04.942Z,0,15.82,26-Oct-2021,
6,61793f887220a800093c6e0e,SADBHIN,EQ,N,16.4,15.75,16.0,16.05,16.0,15.9,232456,3731781.7,41.6,14.8,810,INE764L01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.043Z,2021-10-27T12:01:12.043Z,0,16.05,27-Oct-2021,
7,617a90e5b698860008b70aee,SADBHIN,EQ,N,16.25,15.6,16.0,15.7,15.7,16.05,218393,3454254.45,41.6,14.8,875,INE764L01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.294Z,2021-10-28T12:00:37.294Z,0,15.82,28-Oct-2021,
8,6139f7699241480008a1a9c6,SADBHIN,EQ,N,16.7,15.75,16.65,15.75,15.75,16.55,2002149,32156052.6,41.6,14.8,3357,INE764L01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.043Z,2021-09-09T12:00:41.043Z,0,16.06,09-Sep-2021,
9,613f3d5d66f15f00083947b9,SADBHIN,EQ,N,16.1,15.0,15.75,15.3,15.45,15.75,1731860,27011432.95,41.6,14.8,3530,INE764L01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.390Z,2021-09-13T12:00:29.390Z,0,15.6,13-Sep-2021,
