,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72de5,SANGAMIND,EQ,N,233.3,233.3,233.3,233.3,233.3,222.2,23366,5451287.8,233.3,46.75,96,INE495C01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.444Z,2021-10-19T12:01:02.444Z,0,233.3,19-Oct-2021,
1,61700beaffea140009a39904,SANGAMIND,EQ,N,244.95,221.65,241.0,244.95,244.95,233.3,465647,111957332.75,244.95,46.75,3853,INE495C01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.767Z,2021-10-20T12:30:34.767Z,0,240.43,20-Oct-2021,
2,61715661facf5c0008bb15a5,SANGAMIND,EQ,N,257.15,246.2,257.15,252.0,250.15,244.95,218089,55531573.8,257.15,46.75,5675,INE495C01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.645Z,2021-10-21T12:00:33.645Z,0,254.63,21-Oct-2021,
3,6172a8012dc18f00080fe098,SANGAMIND,EQ,N,256.85,239.4,255.9,239.4,239.4,252.0,115390,27924167.0,257.15,46.75,2239,INE495C01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.354Z,2021-10-22T12:01:05.354Z,0,242.0,22-Oct-2021,
4,61769c5cdb443b0008c8e470,SANGAMIND,EQ,N,251.35,227.45,227.6,247.85,248.0,239.4,150714,36229842.65,257.15,47.25,4084,INE495C01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.023Z,2021-10-25T12:00:28.023Z,0,240.39,25-Oct-2021,
5,6177edff2ed3fb00087deab8,SANGAMIND,EQ,N,260.2,243.25,246.6,260.1,260.2,247.85,58378,14794300.6,260.2,47.25,2000,INE495C01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.192Z,2021-10-26T12:01:03.192Z,0,253.42,26-Oct-2021,
6,61793f847220a800093c66e0,SANGAMIND,EQ,N,273.1,255.0,273.1,258.85,258.6,260.1,124689,32995704.7,273.1,47.25,3047,INE495C01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.431Z,2021-10-27T12:01:08.431Z,0,264.62,27-Oct-2021,
7,617a90e2b698860008b7072d,SANGAMIND,EQ,N,271.75,260.2,264.8,271.75,271.75,258.85,134395,36217646.7,273.1,47.25,1573,INE495C01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.903Z,2021-10-28T12:00:34.903Z,0,269.49,28-Oct-2021,
8,6139f7679241480008a1a648,SANGAMIND,EQ,N,144.25,138.0,140.55,142.05,142.0,139.55,16346,2311417.15,173.55,44.65,307,INE495C01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.389Z,2021-09-09T12:00:39.389Z,0,141.41,09-Sep-2021,
9,613f3d5b66f15f000839442f,SANGAMIND,EQ,N,143.9,136.55,143.9,139.7,138.4,142.05,7123,996980.5,173.55,44.65,190,INE495C01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.859Z,2021-09-13T12:00:27.859Z,0,139.97,13-Sep-2021,
