,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
0,616eb37e2137b10008e72da7,SANGHIIND,EQ,N,69.5,66.5,68.5,66.85,66.85,68.4,532554,36094986.5,84.9,22.95,4675,INE999B01013,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.330Z,2021-10-19T12:01:02.330Z,0,67.78,19-Oct-2021
1,61700beaffea140009a398bb,SANGHIIND,EQ,N,71.7,65.9,67.15,69.8,69.7,66.85,2761510,192414132.85,84.9,22.95,19145,INE999B01013,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:34.463Z,2021-10-20T12:30:34.463Z,0,69.68,20-Oct-2021
2,61715661facf5c0008bb1559,SANGHIIND,EQ,N,71.2,67.35,70.3,67.8,68.0,69.8,737970,50888166.45,84.9,22.95,5604,INE999B01013,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.442Z,2021-10-21T12:00:33.442Z,0,68.96,21-Oct-2021
3,6172a8012dc18f00080fe04d,SANGHIIND,EQ,N,69.05,66.8,68.55,67.15,67.4,67.8,447719,30293913.15,84.9,22.95,4002,INE999B01013,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.217Z,2021-10-22T12:01:05.217Z,0,67.66,22-Oct-2021
4,61769c5bdb443b0008c8e425,SANGHIIND,EQ,N,67.55,64.55,66.6,66.05,66.35,67.15,485268,31977003.4,84.9,26.55,4367,INE999B01013,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.880Z,2021-10-25T12:00:27.880Z,0,65.9,25-Oct-2021
5,6177edfe2ed3fb00087dea74,SANGHIIND,EQ,N,67.4,66.35,66.35,67.15,67.0,66.05,247459,16584715.15,84.9,26.55,2116,INE999B01013,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.788Z,2021-10-26T12:01:02.788Z,0,67.02,26-Oct-2021
6,61793f847220a800093c6650,SANGHIIND,EQ,N,69.4,67.3,67.45,67.65,67.8,67.15,318445,21734359.0,84.9,26.55,3068,INE999B01013,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.166Z,2021-10-27T12:01:08.166Z,0,68.25,27-Oct-2021
7,617a90e2b698860008b706de,SANGHIIND,EQ,N,68.1,65.45,68.0,65.85,66.45,67.65,398298,26484494.2,84.9,26.55,3802,INE999B01013,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.751Z,2021-10-28T12:00:34.751Z,0,66.49,28-Oct-2021
8,6139f7679241480008a1a606,SANGHIIND,EQ,N,71.2,70.2,70.45,70.75,70.6,70.8,303222,21413292.85,84.9,22.95,2307,INE999B01013,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.278Z,2021-09-09T12:00:39.278Z,0,70.62,09-Sep-2021
9,613f3d5b66f15f00083943f1,SANGHIIND,EQ,N,70.8,69.3,70.5,70.3,70.4,70.75,494003,34640917.75,84.9,22.95,3421,INE999B01013,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.744Z,2021-09-13T12:00:27.744Z,0,70.12,13-Sep-2021
