,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e730d0,SDBL,EQ,N,45.9,43.0,44.9,43.85,44.0,44.3,220236,9786066.75,59.6,22.5,1843,INE480C01020,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.895Z,2021-10-19T12:01:03.895Z,0,44.43,19-Oct-2021,
1,61700bebffea140009a39a0b,SDBL,EQ,N,44.5,42.5,44.5,43.45,43.6,43.85,80963,3512950.1,59.6,22.5,939,INE480C01020,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.249Z,2021-10-20T12:30:35.249Z,0,43.39,20-Oct-2021,
2,61715663facf5c0008bb191b,SDBL,EQ,N,45.0,43.5,44.0,43.85,43.9,43.45,83293,3668999.25,59.6,22.5,638,INE480C01020,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.408Z,2021-10-21T12:00:35.408Z,0,44.05,21-Oct-2021,
3,6172a8012dc18f00080fe1b9,SDBL,EQ,N,45.45,43.45,44.45,43.55,43.5,43.85,95609,4231702.6,59.6,22.5,803,INE480C01020,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.856Z,2021-10-22T12:01:05.856Z,0,44.26,22-Oct-2021,
4,61769c5ddb443b0008c8e7f6,SDBL,EQ,N,44.4,41.65,44.0,41.85,42.2,43.55,56140,2384536.0,59.6,22.5,707,INE480C01020,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.908Z,2021-10-25T12:00:29.908Z,0,42.47,25-Oct-2021,
5,6177ee002ed3fb00087dee02,SDBL,EQ,N,43.9,41.3,42.0,43.1,43.4,41.85,58658,2533047.85,59.6,22.5,600,INE480C01020,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.850Z,2021-10-26T12:01:04.850Z,0,43.18,26-Oct-2021,
6,61793f877220a800093c6d9e,SDBL,EQ,N,44.0,42.1,43.95,43.6,43.15,43.1,118191,5109878.9,59.6,22.5,871,INE480C01020,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.850Z,2021-10-27T12:01:11.850Z,0,43.23,27-Oct-2021,
7,617a90e5b698860008b70ab3,SDBL,EQ,N,45.0,41.5,43.6,41.8,41.55,43.6,181857,7854511.45,59.6,22.5,1032,INE480C01020,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.156Z,2021-10-28T12:00:37.156Z,0,43.19,28-Oct-2021,
8,6139f7689241480008a1a993,SDBL,EQ,N,43.1,41.8,42.15,42.35,42.5,42.3,138632,5904550.6,60.65,22.5,585,INE480C01020,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.944Z,2021-09-09T12:00:40.944Z,0,42.59,09-Sep-2021,
9,613f3d5d66f15f0008394781,SDBL,EQ,N,42.95,41.5,41.7,41.65,41.6,42.35,56662,2367517.0,60.65,22.5,508,INE480C01020,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.289Z,2021-09-13T12:00:29.289Z,0,41.78,13-Sep-2021,
