,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e73012,SGL,EQ,N,16.45,15.2,15.25,15.2,15.2,15.95,31323,480667.9,17.65,6.05,159,INE353H01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.574Z,2021-10-19T12:01:03.574Z,0,15.35,19-Oct-2021,
1,61700becffea140009a39ce1,SGL,EQ,N,15.4,14.45,15.4,14.85,15.0,15.2,77959,1141562.7,17.65,6.05,211,INE353H01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.546Z,2021-10-20T12:30:36.546Z,0,14.64,20-Oct-2021,
2,61715662facf5c0008bb1837,SGL,EQ,N,15.55,14.15,14.9,14.6,14.5,14.85,35260,518421.5,17.65,6.05,159,INE353H01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.904Z,2021-10-21T12:00:34.904Z,0,14.7,21-Oct-2021,
3,6172a8032dc18f00080fe4e4,SGL,EQ,N,15.2,14.4,15.2,14.6,14.8,14.6,59175,877373.55,17.65,6.05,173,INE353H01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.281Z,2021-10-22T12:01:07.281Z,0,14.83,22-Oct-2021,
4,61769c5ddb443b0008c8e70c,SGL,EQ,N,15.3,14.6,15.25,15.1,15.2,14.6,61467,929721.2,17.65,6.05,303,INE353H01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.502Z,2021-10-25T12:00:29.502Z,0,15.13,25-Oct-2021,
5,6177ee002ed3fb00087ded32,SGL,EQ,N,15.35,14.8,15.1,15.05,15.05,15.1,18024,271946.45,17.65,6.05,97,INE353H01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.492Z,2021-10-26T12:01:04.492Z,0,15.09,26-Oct-2021,
6,61793f867220a800093c6bf0,SGL,EQ,N,15.75,14.85,15.7,15.2,15.25,15.05,26662,411563.85,17.65,6.05,276,INE353H01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:10.751Z,2021-10-27T12:01:10.751Z,0,15.44,27-Oct-2021,
7,617a90e4b698860008b709c5,SGL,EQ,N,15.85,14.8,15.7,14.85,15.25,15.2,21886,329909.2,17.65,6.05,147,INE353H01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.681Z,2021-10-28T12:00:36.681Z,0,15.07,28-Oct-2021,
8,6139f7689241480008a1a8c4,SGL,EQ,N,13.5,12.75,12.75,13.3,13.2,13.2,38731,510636.25,17.25,6.05,181,INE353H01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.517Z,2021-09-09T12:00:40.517Z,0,13.18,09-Sep-2021,
9,613f3d5c66f15f00083946af,SGL,EQ,N,13.5,13.05,13.3,13.2,13.25,13.3,20514,270507.8,17.25,6.05,119,INE353H01010,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.952Z,2021-09-13T12:00:28.952Z,0,13.19,13-Sep-2021,
10,61408f018b051b00095450fc,SGL,EQ,N,13.5,13.05,13.5,13.15,13.2,13.2,7935,104701.15,17.25,6.05,71,INE353H01010,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:05.878Z,2021-09-14T12:01:05.878Z,0,13.19,14-Sep-2021,
11,6141e06452f3510008866dd9,SGL,EQ,N,13.4,13.05,13.4,13.2,13.2,13.15,17652,232399.8,17.25,6.05,209,INE353H01010,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.577Z,2021-09-15T12:00:36.577Z,0,13.17,15-Sep-2021,
12,614331dd4189570008859aa1,SGL,EQ,N,13.7,12.85,13.7,13.0,13.0,13.2,43460,568013.95,17.25,6.05,176,INE353H01010,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.045Z,2021-09-16T12:00:29.045Z,0,13.07,16-Sep-2021,
13,6144837f7f66a40008755416,SGL,EQ,N,13.65,12.8,13.1,13.65,13.65,13.0,138566,1880691.4,17.25,6.05,263,INE353H01010,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:03.772Z,2021-09-17T12:01:03.772Z,0,13.57,17-Sep-2021,
14,614877e4e0fcf60008e513ea,SGL,EQ,N,13.95,13.15,13.5,13.25,13.35,13.65,16912,227522.15,17.25,6.05,145,INE353H01010,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.415Z,2021-09-20T12:00:36.415Z,0,13.45,20-Sep-2021,
15,6149c97fbf6def0009839db8,SGL,EQ,N,13.45,12.9,13.45,13.0,13.05,13.25,22034,289275.4,17.25,6.05,133,INE353H01010,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.806Z,2021-09-21T12:01:03.806Z,0,13.13,21-Sep-2021,
16,614b1afff6172a0008df43ad,SGL,EQ,N,13.5,12.9,13.5,13.05,13.0,13.0,38413,503241.05,17.25,6.05,123,INE353H01010,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.704Z,2021-09-22T12:01:03.704Z,0,13.1,22-Sep-2021,"[{'symbol': 'SGL', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '22-Sep-2021', 'recDate': '-', 'bcStartDate': '24-Sep-2021', 'bcEndDate': '30-Sep-2021', 'ndStartDate': '-', 'comp': 'STL Global Limited', 'isin': 'INE353H01010', 'ndEndDate': '-', 'caBroadcastDate': None}]"
17,614c6c64a3bb370008f1025a,SGL,EQ,N,13.4,12.8,13.4,12.9,12.95,13.05,27007,350031.7,17.25,6.05,109,INE353H01010,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.007Z,2021-09-23T12:00:37.007Z,0,12.96,23-Sep-2021,
18,614dbde385b99100093146c7,SGL,EQ,N,13.4,12.7,12.7,12.85,12.9,12.9,33036,428833.1,17.25,6.05,124,INE353H01010,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:35.051Z,2021-09-24T12:00:35.051Z,0,12.98,24-Sep-2021,
19,6151b280c3f15b0008afe560,SGL,EQ,N,13.3,12.7,13.3,13.0,13.0,12.85,20007,258593.75,17.25,6.05,182,INE353H01010,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:04.108Z,2021-09-27T12:01:04.108Z,0,12.93,27-Sep-2021,
20,615304074a501f0008b25a87,SGL,EQ,N,13.3,12.75,13.0,12.9,12.9,13.0,24342,312582.05,17.25,6.05,134,INE353H01010,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.376Z,2021-09-28T12:01:11.376Z,0,12.84,28-Sep-2021,
21,615455804a501f0008e4cd7a,SGL,EQ,N,13.2,12.6,13.2,12.75,12.75,12.9,40331,514417.55,17.25,6.05,147,INE353H01010,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.839Z,2021-09-29T12:01:04.839Z,0,12.75,29-Sep-2021,
22,6155a700595682000817653d,SGL,EQ,N,12.95,12.5,12.95,12.65,12.65,12.75,38579,487178.95,17.25,6.05,150,INE353H01010,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.161Z,2021-09-30T12:01:04.161Z,0,12.63,30-Sep-2021,
23,6156f85d00c38500086c2ea3,SGL,EQ,N,12.7,12.2,12.7,12.45,12.5,12.65,30072,371988.85,17.25,6.05,138,INE353H01010,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.189Z,2021-10-01T12:00:29.189Z,0,12.37,01-Oct-2021,
24,615aecff00c38500088dfb20,SGL,EQ,N,12.75,12.3,12.5,12.65,12.6,12.45,11803,148332.5,17.25,6.05,119,INE353H01010,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:04.009Z,2021-10-04T12:01:04.009Z,0,12.57,04-Oct-2021,
25,615c3e661728530008f0af04,SGL,EQ,N,12.9,12.5,12.9,12.7,12.75,12.65,20135,254167.95,17.25,6.05,127,INE353H01010,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:38.405Z,2021-10-05T12:00:38.405Z,0,12.62,05-Oct-2021,
26,615d8fe27c2c3b00089ffed2,SGL,EQ,N,13.1,12.7,13.0,12.75,12.8,12.7,13981,178875.75,17.25,6.05,83,INE353H01010,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:34.580Z,2021-10-06T12:00:34.580Z,0,12.79,06-Oct-2021,
27,615ee162c7aa98000897801c,SGL,EQ,N,12.9,12.6,12.8,12.8,12.8,12.75,17757,227442.1,17.25,6.05,79,INE353H01010,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:34.202Z,2021-10-07T12:00:34.202Z,0,12.81,07-Oct-2021,
28,616032ff31c1ce0008cb0369,SGL,EQ,N,14.05,12.7,13.1,14.05,14.05,12.8,403148,5612228.35,17.25,6.05,224,INE353H01010,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:03.639Z,2021-10-08T12:01:03.639Z,0,13.92,08-Oct-2021,
29,61644a8d1ffdf40008ba3eb2,SGL,EQ,N,15.45,15.45,15.45,15.45,15.45,14.05,109045,1684745.25,17.25,6.05,186,INE353H01010,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:37.276Z,2021-10-11T14:30:37.276Z,0,15.45,11-Oct-2021,
30,616578ff60745c000893746d,SGL,EQ,N,16.95,16.2,16.8,16.9,16.95,15.45,502201,8370558.5,17.25,6.05,1124,INE353H01010,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:03.769Z,2021-10-12T12:01:03.769Z,0,16.67,12-Oct-2021,
31,6166ca6673e7b00008258e5c,SGL,EQ,N,17.65,16.1,16.8,16.95,16.25,16.9,242630,4008191.0,17.65,6.05,470,INE353H01010,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:38.349Z,2021-10-13T12:00:38.349Z,0,16.52,13-Oct-2021,
32,61681bff03a7b2000873e086,SGL,EQ,N,17.4,16.25,17.4,16.65,16.45,16.95,82564,1378423.0,17.65,6.05,375,INE353H01010,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:03.983Z,2021-10-14T12:01:03.983Z,0,16.7,14-Oct-2021,
33,616d61e281039a0008f763a7,SGL,EQ,N,16.65,15.85,16.65,15.95,15.85,16.65,80528,1295257.6,17.65,6.05,291,INE353H01010,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:34.912Z,2021-10-18T12:00:34.912Z,0,16.08,18-Oct-2021,
34,616eb37f2137b10008e73012,SGL,EQ,N,16.45,15.2,15.25,15.2,15.2,15.95,31323,480667.9,17.65,6.05,159,INE353H01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.574Z,2021-10-19T12:01:03.574Z,0,15.35,19-Oct-2021,
35,6107de804c6c270008f21980,SGL,EQ,N,14.75,14.25,14.55,14.45,14.5,14.55,47399,684170.1,16.3,6.05,159,INE353H01010,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:04.219Z,2021-08-02T12:01:04.219Z,0,14.43,02-Aug-2021,
36,61092fe3ddfad700096fda9d,SGL,EQ,N,14.9,14.1,14.1,14.7,14.9,14.45,68765,1000304.3,16.3,6.05,188,INE353H01010,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:35.550Z,2021-08-03T12:00:35.550Z,0,14.55,03-Aug-2021,
37,610a815eddfad70009998fa3,SGL,EQ,N,15.15,14.4,14.7,14.5,14.45,14.7,51134,753471.55,16.3,6.05,194,INE353H01010,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:30.133Z,2021-08-04T12:00:30.133Z,0,14.74,04-Aug-2021,
38,610bd301c5cd9d00085923e0,SGL,EQ,N,14.85,14.05,14.85,14.2,14.15,14.5,45780,648562.6,16.3,6.05,164,INE353H01010,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:05.598Z,2021-08-05T12:01:05.598Z,0,14.17,05-Aug-2021,
39,610d24631ad12f0009efaa2a,SGL,EQ,N,15.5,13.5,14.5,15.1,15.2,14.2,119551,1752474.7,16.3,6.05,466,INE353H01010,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:35.403Z,2021-08-06T12:00:35.403Z,0,14.66,06-Aug-2021,
40,611118e24df23100084eaa42,SGL,EQ,N,16.4,14.75,15.5,16.25,16.2,15.1,382666,6079883.9,16.4,6.05,1247,INE353H01010,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:34.765Z,2021-08-09T12:00:34.765Z,0,15.89,09-Aug-2021,
41,61126a64cce4c400085930af,SGL,EQ,N,17.25,14.8,17.0,16.0,15.5,16.25,482598,7757856.6,17.25,6.05,1497,INE353H01010,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:36.489Z,2021-08-10T12:00:36.489Z,0,16.08,10-Aug-2021,
42,6113bbdc3759be000811223a,SGL,EQ,N,15.9,14.4,15.25,14.45,14.4,16.0,223651,3276641.55,17.25,6.05,532,INE353H01010,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:29.007Z,2021-08-11T12:00:29.007Z,0,14.65,11-Aug-2021,
43,61150d62ea5aa20008b5ee21,SGL,EQ,N,15.25,13.15,14.45,13.95,14.0,14.45,144121,2058192.05,17.25,6.05,609,INE353H01010,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:35.011Z,2021-08-12T12:00:35.011Z,0,14.28,12-Aug-2021,
44,61165ee55fd7730008dabe13,SGL,EQ,N,15.2,13.2,14.05,13.6,13.35,13.95,159279,2292729.9,17.25,6.05,786,INE353H01010,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:37.065Z,2021-08-13T12:00:37.065Z,0,14.39,13-Aug-2021,
45,611a5362cce4c4000835c12a,SGL,EQ,N,13.35,12.65,13.0,12.95,12.8,13.6,169434,2184966.6,17.25,6.05,668,INE353H01010,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:34.486Z,2021-08-16T12:00:34.486Z,0,12.9,16-Aug-2021,
46,611ba501cce4c4000862ab89,SGL,EQ,N,13.55,12.6,12.7,13.55,13.55,12.95,105968,1416763.8,17.25,6.05,388,INE353H01010,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:05.979Z,2021-08-17T12:01:05.979Z,0,13.37,17-Aug-2021,
47,611cf664913015000809b8b2,SGL,EQ,N,13.9,13.0,13.5,13.1,13.1,13.55,47561,635716.3,17.25,6.05,203,INE353H01010,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:36.707Z,2021-08-18T12:00:36.707Z,0,13.37,18-Aug-2021,
48,611f9962d448d000082abf3c,SGL,EQ,N,13.55,12.65,13.55,12.7,12.65,13.1,24670,319461.7,17.25,6.05,175,INE353H01010,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:34.729Z,2021-08-20T12:00:34.729Z,0,12.95,20-Aug-2021,
49,61238de28095fa0008ef2546,SGL,EQ,N,13.0,12.1,13.0,12.15,12.1,12.7,36695,455778.0,17.25,6.05,241,INE353H01010,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:34.853Z,2021-08-23T12:00:34.853Z,0,12.42,23-Aug-2021,
50,6124df80a9392500085199a0,SGL,EQ,N,12.75,11.55,11.65,12.7,12.75,12.15,91718,1102412.9,17.25,6.05,361,INE353H01010,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:04.455Z,2021-08-24T12:01:04.455Z,0,12.02,24-Aug-2021,
51,612630dc2596f30008058939,SGL,EQ,N,13.3,12.4,12.4,13.3,13.3,12.7,57317,753502.75,17.25,6.05,205,INE353H01010,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:28.686Z,2021-08-25T12:00:28.686Z,0,13.15,25-Aug-2021,
52,612782672596f30008059264,SGL,EQ,N,13.95,13.0,13.75,13.8,13.95,13.3,56564,769149.4,17.25,6.05,219,INE353H01010,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:39.227Z,2021-08-26T12:00:39.227Z,0,13.6,26-Aug-2021,
53,6128d3ff91221d0009d5ac20,SGL,EQ,N,14.15,13.4,13.4,14.05,14.0,13.8,52832,739820.65,17.25,6.05,159,INE353H01010,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:03.853Z,2021-08-27T12:01:03.853Z,0,14.0,27-Aug-2021,
54,612cc866f99d720008a94d61,SGL,EQ,N,14.2,13.5,13.85,13.6,13.65,14.05,26059,362743.3,17.25,6.05,133,INE353H01010,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:38.344Z,2021-08-30T12:00:38.344Z,0,13.92,30-Aug-2021,
55,612e19ddeb0c1300081387d7,SGL,EQ,N,14.25,13.3,13.3,13.6,13.8,13.6,20587,280555.35,17.25,6.05,160,INE353H01010,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:29.763Z,2021-08-31T12:00:29.763Z,0,13.63,31-Aug-2021,
56,612f6b63fca57e0008dc5353,SGL,EQ,N,13.95,13.2,13.85,13.25,13.4,13.6,21885,293613.65,17.25,6.05,168,INE353H01010,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:35.627Z,2021-09-01T12:00:35.627Z,0,13.42,01-Sep-2021,
57,6130bcdeadef120008504661,SGL,EQ,N,13.8,12.8,12.8,13.45,13.8,13.25,32473,433454.15,17.25,6.05,164,INE353H01010,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:30.825Z,2021-09-02T12:00:30.825Z,0,13.35,02-Sep-2021,
58,61320e804f4d7600089d8f66,SGL,EQ,N,13.85,13.2,13.85,13.3,13.2,13.45,21846,295227.0,17.25,6.05,104,INE353H01010,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:04.296Z,2021-09-03T12:01:04.296Z,0,13.51,03-Sep-2021,
59,613602e466f15f00089e925d,SGL,EQ,N,13.85,13.1,13.85,13.2,13.2,13.3,30979,415169.45,17.25,6.05,120,INE353H01010,2021-09-06,2021-09-05T18:30:00.000Z,2021-09-06T12:00:36.223Z,2021-09-06T12:00:36.223Z,0,13.4,06-Sep-2021,
60,6137547feb333d0008c0efa2,SGL,EQ,N,13.3,12.85,13.3,13.05,13.0,13.2,16758,220231.8,17.25,6.05,90,INE353H01010,2021-09-07,2021-09-06T18:30:00.000Z,2021-09-07T12:01:03.695Z,2021-09-07T12:01:03.695Z,0,13.14,07-Sep-2021,
61,6138a5dd5a558200095d3634,SGL,EQ,N,13.35,12.75,12.8,13.2,13.2,13.05,9069,117811.0,17.25,6.05,83,INE353H01010,2021-09-08,2021-09-07T18:30:00.000Z,2021-09-08T12:00:29.084Z,2021-09-08T12:00:29.084Z,0,12.99,08-Sep-2021,
62,6139f7689241480008a1a8c4,SGL,EQ,N,13.5,12.75,12.75,13.3,13.2,13.2,38731,510636.25,17.25,6.05,181,INE353H01010,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.517Z,2021-09-09T12:00:40.517Z,0,13.18,09-Sep-2021,
63,60d07f81b6df770008f3073f,SGL,EQ,N,12.0,11.1,11.1,11.55,11.45,11.85,43163,503267.85,16.0,6.05,253,INE353H01010,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:05.978Z,2021-06-21T12:01:05.978Z,0,11.66,21-Jun-2021,
