,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72d3d,SHREDIGCEM,EQ,N,87.4,82.15,86.0,83.1,83.45,85.5,677090,57769408.85,97.8,48.95,7609,INE232A01011,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.136Z,2021-10-19T12:01:02.136Z,0,85.32,19-Oct-2021,
1,61700becffea140009a39bc7,SHREDIGCEM,EQ,N,85.8,81.35,82.5,82.35,82.9,83.1,402702,33482156.8,97.8,48.95,5149,INE232A01011,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.059Z,2021-10-20T12:30:36.059Z,0,83.14,20-Oct-2021,
2,61715661facf5c0008bb14dc,SHREDIGCEM,EQ,N,86.0,81.1,83.0,81.7,82.2,82.35,245349,20250805.5,97.8,48.95,3892,INE232A01011,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.042Z,2021-10-21T12:00:33.042Z,0,82.54,21-Oct-2021,
3,6172a8022dc18f00080fe3a8,SHREDIGCEM,EQ,N,82.9,78.35,82.25,80.35,80.65,81.7,340220,27460777.0,97.8,48.95,4618,INE232A01011,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:06.720Z,2021-10-22T12:01:06.720Z,0,80.71,22-Oct-2021,
4,61769c5bdb443b0008c8e3a5,SHREDIGCEM,EQ,N,80.95,78.0,80.95,79.45,80.0,80.35,229747,18195492.5,97.8,48.95,4066,INE232A01011,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:27.629Z,2021-10-25T12:00:27.629Z,0,79.2,25-Oct-2021,
5,6177edfe2ed3fb00087de9fc,SHREDIGCEM,EQ,N,82.7,80.0,80.0,82.05,82.0,79.45,214511,17485141.55,97.8,48.95,3279,INE232A01011,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:02.218Z,2021-10-26T12:01:02.218Z,0,81.51,26-Oct-2021,
6,61793f837220a800093c6556,SHREDIGCEM,EQ,N,86.8,80.35,82.65,83.3,82.95,82.05,1898206,159903778.5,97.8,48.95,22082,INE232A01011,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:07.359Z,2021-10-27T12:01:07.359Z,0,84.24,27-Oct-2021,
7,617a90e2b698860008b7065f,SHREDIGCEM,EQ,N,83.95,81.3,83.95,82.05,82.35,83.3,332511,27324379.25,97.8,48.95,6286,INE232A01011,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:34.506Z,2021-10-28T12:00:34.506Z,0,82.18,28-Oct-2021,
8,6139f7679241480008a1a595,SHREDIGCEM,EQ,N,80.8,80.0,80.4,80.15,80.25,80.05,154868,12446820.05,97.8,45.5,1889,INE232A01011,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.089Z,2021-09-09T12:00:39.089Z,0,80.37,09-Sep-2021,
9,613f3d5b66f15f000839437a,SHREDIGCEM,EQ,N,80.0,78.85,79.35,79.25,79.35,80.15,251723,19953051.0,97.8,45.5,3669,INE232A01011,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:27.498Z,2021-09-13T12:00:27.498Z,0,79.27,13-Sep-2021,
10,61408f008b051b0009544dcd,SHREDIGCEM,EQ,N,80.95,79.0,79.9,79.3,79.6,79.25,280212,22333355.05,97.8,45.5,3833,INE232A01011,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.140Z,2021-09-14T12:01:04.140Z,0,79.7,14-Sep-2021,
11,6141e06252f3510008866aa4,SHREDIGCEM,EQ,N,80.4,79.25,79.8,79.55,79.5,79.3,230047,18379246.35,97.8,45.5,2828,INE232A01011,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:34.699Z,2021-09-15T12:00:34.699Z,0,79.89,15-Sep-2021,
12,614331db418957000885977c,SHREDIGCEM,EQ,N,80.3,79.05,80.0,79.2,79.25,79.55,394896,31370441.5,97.8,45.5,5225,INE232A01011,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:27.653Z,2021-09-16T12:00:27.653Z,0,79.44,16-Sep-2021,
13,6144837e7f66a400087550c9,SHREDIGCEM,EQ,N,80.2,78.3,79.7,78.65,79.25,79.2,273616,21628411.4,97.8,45.5,3284,INE232A01011,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:02.333Z,2021-09-17T12:01:02.333Z,0,79.05,17-Sep-2021,
14,614877e2e0fcf60008e51086,SHREDIGCEM,EQ,N,78.6,76.05,77.7,76.65,76.7,78.65,267909,20741044.2,97.8,45.5,3173,INE232A01011,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:34.865Z,2021-09-20T12:00:34.865Z,0,77.42,20-Sep-2021,
15,6149c97ebf6def0009839a77,SHREDIGCEM,EQ,N,77.8,75.6,76.0,76.85,76.7,76.65,224128,17125817.3,97.8,45.5,3440,INE232A01011,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:02.444Z,2021-09-21T12:01:02.444Z,0,76.41,21-Sep-2021,
16,614b1afff6172a0008df42a0,SHREDIGCEM,EQ,N,78.95,77.05,77.5,77.35,77.2,76.85,215191,16734259.35,97.8,45.5,2878,INE232A01011,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.245Z,2021-09-22T12:01:03.245Z,0,77.76,22-Sep-2021,
17,614c6c64a3bb370008f10150,SHREDIGCEM,EQ,N,79.75,77.5,79.75,77.95,78.0,77.35,294441,23020526.3,97.8,45.5,3495,INE232A01011,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.593Z,2021-09-23T12:00:36.593Z,0,78.18,23-Sep-2021,
18,614dbde285b99100093145bb,SHREDIGCEM,EQ,N,78.65,76.8,78.65,76.95,77.05,77.95,173924,13489923.0,97.8,45.5,2481,INE232A01011,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.585Z,2021-09-24T12:00:34.585Z,0,77.56,24-Sep-2021,
19,6151b27fc3f15b0008afe449,SHREDIGCEM,EQ,N,77.75,76.0,76.5,76.3,76.25,76.95,288881,22187104.5,97.8,47.45,2868,INE232A01011,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:03.627Z,2021-09-27T12:01:03.627Z,0,76.8,27-Sep-2021,
20,615304054a501f0008b25741,SHREDIGCEM,EQ,N,77.4,76.0,76.5,76.25,76.4,76.3,211951,16225566.65,97.8,47.45,2658,INE232A01011,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:09.913Z,2021-09-28T12:01:09.913Z,0,76.55,28-Sep-2021,
21,615455804a501f0008e4cc5c,SHREDIGCEM,EQ,N,76.9,75.5,75.8,76.05,76.25,76.25,213043,16267924.1,97.8,47.45,2283,INE232A01011,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.310Z,2021-09-29T12:01:04.310Z,0,76.36,29-Sep-2021,
22,6155a6fe59568200081761eb,SHREDIGCEM,EQ,N,78.15,76.2,76.2,77.75,77.8,76.05,252844,19615722.25,97.8,47.45,3203,INE232A01011,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:02.611Z,2021-09-30T12:01:02.611Z,0,77.58,30-Sep-2021,
23,6156f85b00c38500086c2b58,SHREDIGCEM,EQ,N,78.85,76.9,76.9,78.4,78.7,77.75,244908,19143914.05,97.8,47.45,3339,INE232A01011,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:27.583Z,2021-10-01T12:00:27.583Z,0,78.17,01-Oct-2021,
24,615aecfe00c38500088df78f,SHREDIGCEM,EQ,N,79.8,78.75,78.95,79.4,79.3,78.4,237678,18865598.45,97.8,48.95,2385,INE232A01011,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:02.416Z,2021-10-04T12:01:02.416Z,0,79.37,04-Oct-2021,
25,615c3e651728530008f0adec,SHREDIGCEM,EQ,N,81.0,79.05,79.05,80.75,80.7,79.4,395323,31811637.5,97.8,48.95,4850,INE232A01011,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:37.918Z,2021-10-05T12:00:37.918Z,0,80.47,05-Oct-2021,
26,615d8fe07c2c3b00089ffb87,SHREDIGCEM,EQ,N,83.35,80.35,81.4,81.6,81.95,80.75,851796,69809361.05,97.8,48.95,7807,INE232A01011,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:32.932Z,2021-10-06T12:00:32.932Z,0,81.96,06-Oct-2021,
27,615ee160c7aa980008977cee,SHREDIGCEM,EQ,N,82.9,80.0,82.9,80.3,80.0,81.6,297213,24080144.75,97.8,48.95,3864,INE232A01011,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:32.277Z,2021-10-07T12:00:32.277Z,0,81.02,07-Oct-2021,
