,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e73111,SMARTLINK,EQ,N,124.0,117.0,124.0,119.7,117.8,114.25,319199,38453191.25,134.55,67.8,8057,INE178C01020,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.027Z,2021-10-19T12:01:04.027Z,0,120.47,19-Oct-2021,
1,61700beeffea140009a3a048,SMARTLINK,EQ,N,121.9,115.25,119.3,118.85,119.6,119.7,71916,8544301.1,134.55,67.8,2393,INE178C01020,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.081Z,2021-10-20T12:30:38.081Z,0,118.81,20-Oct-2021,
2,61715663facf5c0008bb1965,SMARTLINK,EQ,N,119.85,116.5,119.85,118.4,118.05,118.85,25417,2999674.55,134.55,67.8,752,INE178C01020,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.524Z,2021-10-21T12:00:35.524Z,0,118.02,21-Oct-2021,
3,6172a8052dc18f00080fe89f,SMARTLINK,EQ,N,122.95,118.05,118.2,121.6,122.0,118.4,78642,9500561.4,134.55,67.8,2599,INE178C01020,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:09.589Z,2021-10-22T12:01:09.589Z,0,120.81,22-Oct-2021,
4,61769c5edb443b0008c8e849,SMARTLINK,EQ,N,124.9,115.9,124.4,116.45,116.75,121.6,28700,3411489.95,134.55,67.8,1211,INE178C01020,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.062Z,2021-10-25T12:00:30.062Z,0,118.87,25-Oct-2021,
5,6177ee002ed3fb00087dee52,SMARTLINK,EQ,N,119.95,116.35,118.7,118.55,119.95,116.45,17657,2079689.95,134.55,67.8,1134,INE178C01020,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.986Z,2021-10-26T12:01:04.986Z,0,117.78,26-Oct-2021,
6,61793f887220a800093c6e31,SMARTLINK,EQ,N,120.25,116.55,119.95,117.3,116.55,118.55,13099,1554516.35,134.55,67.8,757,INE178C01020,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.102Z,2021-10-27T12:01:12.102Z,0,118.67,27-Oct-2021,
7,617a90e5b698860008b70b01,SMARTLINK,EQ,N,119.35,114.35,118.65,115.4,114.65,117.3,11296,1310462.7,134.55,67.8,485,INE178C01020,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.341Z,2021-10-28T12:00:37.341Z,0,116.01,28-Oct-2021,
8,6139f7699241480008a1a9d7,SMARTLINK,EQ,N,131.9,114.1,126.0,116.55,117.6,123.35,577786,70963359.3,134.55,67.8,11439,INE178C01020,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.085Z,2021-09-09T12:00:41.085Z,0,122.82,09-Sep-2021,
9,613f3d5d66f15f00083947cd,SMARTLINK,EQ,N,126.0,115.25,117.8,120.15,119.8,116.55,249361,30297090.9,134.55,67.8,6565,INE178C01020,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.425Z,2021-09-13T12:00:29.425Z,0,121.5,13-Sep-2021,
10,61408f028b051b0009545211,SMARTLINK,EQ,N,124.7,118.45,121.15,120.15,119.8,120.15,84949,10340305.15,134.55,67.8,2259,INE178C01020,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.361Z,2021-09-14T12:01:06.361Z,0,121.72,14-Sep-2021,"[{'symbol': 'SMARTLINK', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': ' Annual General Meeting', 'exDate': '14-Sep-2021', 'recDate': '-', 'bcStartDate': '16-Sep-2021', 'bcEndDate': '23-Sep-2021', 'ndStartDate': '-', 'comp': 'Smartlink Holdings Limited', 'isin': 'INE178C01020', 'ndEndDate': '-', 'caBroadcastDate': None}]"
11,6141e06552f3510008866efa,SMARTLINK,EQ,N,122.0,116.1,120.0,118.55,118.5,120.15,62775,7475802.35,134.55,67.8,2170,INE178C01020,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.057Z,2021-09-15T12:00:37.057Z,0,119.09,15-Sep-2021,
12,614331dd4189570008859bb2,SMARTLINK,EQ,N,119.8,114.9,119.8,115.6,115.75,118.55,40927,4779553.8,134.55,67.8,1076,INE178C01020,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.519Z,2021-09-16T12:00:29.519Z,0,116.78,16-Sep-2021,
13,614483807f66a40008755533,SMARTLINK,EQ,N,116.9,111.2,116.7,112.0,112.0,115.6,27844,3172108.9,134.55,67.8,1159,INE178C01020,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.223Z,2021-09-17T12:01:04.223Z,0,113.92,17-Sep-2021,
14,614877e4e0fcf60008e5150a,SMARTLINK,EQ,N,117.4,108.0,110.0,112.15,111.35,112.0,54855,6256240.95,134.55,67.8,1527,INE178C01020,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.967Z,2021-09-20T12:00:36.967Z,0,114.05,20-Sep-2021,
15,6149c980bf6def0009839ed0,SMARTLINK,EQ,N,114.0,109.2,110.1,110.1,110.0,112.15,34842,3856215.4,134.55,67.8,710,INE178C01020,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.230Z,2021-09-21T12:01:04.230Z,0,110.68,21-Sep-2021,
16,614b1b01f6172a0008df4703,SMARTLINK,EQ,N,113.9,110.3,113.9,111.9,111.25,110.1,29799,3340890.25,134.55,67.8,620,INE178C01020,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.280Z,2021-09-22T12:01:05.280Z,0,112.11,22-Sep-2021,
17,614c6c66a3bb370008f105ac,SMARTLINK,EQ,N,113.9,110.05,113.8,110.7,110.45,111.9,35782,4000372.35,134.55,67.8,973,INE178C01020,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.327Z,2021-09-23T12:00:38.327Z,0,111.8,23-Sep-2021,
18,614dbde485b9910009314a1d,SMARTLINK,EQ,N,124.65,111.0,111.0,118.4,118.0,110.7,319775,38249225.7,134.55,67.8,8246,INE178C01020,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.540Z,2021-09-24T12:00:36.540Z,0,119.61,24-Sep-2021,
19,6151b281c3f15b0008afe8c9,SMARTLINK,EQ,N,120.7,115.2,119.45,118.25,118.5,118.4,88405,10467120.5,134.55,67.8,3494,INE178C01020,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.507Z,2021-09-27T12:01:05.507Z,0,118.4,27-Sep-2021,
20,615304074a501f0008b25b9f,SMARTLINK,EQ,N,119.2,113.05,119.15,114.7,114.95,118.25,32780,3792590.9,134.55,67.8,1200,INE178C01020,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.844Z,2021-09-28T12:01:11.844Z,0,115.7,28-Sep-2021,
21,615455824a501f0008e4d0eb,SMARTLINK,EQ,N,120.7,113.0,114.0,116.8,117.85,114.7,67347,7937973.25,134.55,67.8,1928,INE178C01020,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.724Z,2021-09-29T12:01:06.724Z,0,117.87,29-Sep-2021,
22,6155a700595682000817665d,SMARTLINK,EQ,N,123.4,116.5,117.8,118.1,118.0,116.8,74762,8982151.85,134.55,67.8,2443,INE178C01020,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.708Z,2021-09-30T12:01:04.708Z,0,120.14,30-Sep-2021,
23,6156f85d00c38500086c2fc4,SMARTLINK,EQ,N,120.7,116.8,116.8,118.75,117.8,118.1,37949,4494886.55,134.55,67.8,1092,INE178C01020,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.681Z,2021-10-01T12:00:29.681Z,0,118.45,01-Oct-2021,
