,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3822137b10008e73470,SMSLIFE,EQ,N,848.35,828.15,841.9,837.4,830.0,832.65,6178,5184239.8,885.65,469.75,436,INE320X01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.178Z,2021-10-19T12:01:06.178Z,0,839.15,19-Oct-2021,
1,61700beeffea140009a3a1ad,SMSLIFE,EQ,N,840.65,797.8,840.65,810.0,805.1,837.4,7719,6304569.55,885.65,469.75,611,INE320X01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.696Z,2021-10-20T12:30:38.696Z,0,816.76,20-Oct-2021,
2,61715665facf5c0008bb1d1f,SMSLIFE,EQ,N,827.25,762.3,817.25,784.95,781.0,810.0,8363,6600640.8,885.65,469.75,411,INE320X01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.349Z,2021-10-21T12:00:37.349Z,0,789.27,21-Oct-2021,
3,6172a8072dc18f00080fea22,SMSLIFE,EQ,N,829.0,791.0,791.95,823.85,828.95,784.95,5317,4309557.0,885.65,469.75,632,INE320X01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:11.758Z,2021-10-22T12:01:11.758Z,0,810.52,22-Oct-2021,
4,61769c5fdb443b0008c8ec1a,SMSLIFE,EQ,N,835.4,809.9,834.95,818.75,825.0,823.85,3072,2501081.45,885.65,469.75,276,INE320X01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:31.974Z,2021-10-25T12:00:31.974Z,0,814.15,25-Oct-2021,
5,6177ee022ed3fb00087df1ed,SMSLIFE,EQ,N,850.0,802.9,818.7,845.6,849.0,818.75,8304,6971649.0,885.65,469.75,569,INE320X01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.930Z,2021-10-26T12:01:06.930Z,0,839.55,26-Oct-2021,
6,61793f8b7220a800093c756c,SMSLIFE,EQ,N,875.0,850.0,850.0,870.7,870.0,845.6,12130,10550445.05,885.65,469.75,1082,INE320X01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:15.368Z,2021-10-27T12:01:15.368Z,0,869.78,27-Oct-2021,
7,617a90e6b698860008b70eca,SMSLIFE,EQ,N,1024.9,875.7,889.9,997.05,997.2,870.7,153135,152139727.85,1024.9,469.75,17478,INE320X01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:39.012Z,2021-10-28T12:00:39.012Z,0,993.5,28-Oct-2021,
8,6139f76a9241480008a1ad3e,SMSLIFE,EQ,N,736.0,725.35,736.0,729.95,727.5,728.85,2822,2058239.05,885.65,437.35,114,INE320X01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.656Z,2021-09-09T12:00:42.656Z,0,729.35,09-Sep-2021,
9,613f3d5e66f15f0008394b63,SMSLIFE,EQ,N,734.0,711.05,711.05,716.65,715.05,729.95,18514,13290681.0,885.65,439.25,710,INE320X01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.912Z,2021-09-13T12:00:30.912Z,0,717.87,13-Sep-2021,
10,61408f048b051b000954563b,SMSLIFE,EQ,N,746.0,720.15,725.0,731.55,730.0,716.65,3698,2702715.25,885.65,439.25,251,INE320X01016,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:08.254Z,2021-09-14T12:01:08.254Z,0,730.86,14-Sep-2021,
11,6141e06652f3510008867274,SMSLIFE,EQ,N,740.45,724.0,740.45,731.2,733.5,731.55,6936,5063944.2,885.65,439.25,449,INE320X01016,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.553Z,2021-09-15T12:00:38.553Z,0,730.1,15-Sep-2021,
12,614331df4189570008859f3e,SMSLIFE,EQ,N,743.95,721.2,743.95,736.0,736.1,731.2,2358,1730871.2,885.65,439.25,214,INE320X01016,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:31.841Z,2021-09-16T12:00:31.841Z,0,734.04,16-Sep-2021,
13,614483817f66a400087558c5,SMSLIFE,EQ,N,736.9,728.0,736.45,729.85,730.0,736.0,7424,5423048.55,885.65,439.25,210,INE320X01016,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.882Z,2021-09-17T12:01:05.882Z,0,730.48,17-Sep-2021,
