,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
0,616eb37e2137b10008e72e47,STLTECH,EQ,N,283.9,270.1,282.0,273.5,273.0,280.55,511843,142586952.45,318.0,142.5,11143,INE089C01029,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.604Z,2021-10-19T12:01:02.604Z,0,278.58,19-Oct-2021,,
1,61700bedffea140009a39f64,STLTECH,EQ,N,285.6,271.35,274.7,282.85,284.7,273.5,1284000,360542655.4,318.0,142.5,28278,INE089C01029,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.656Z,2021-10-20T12:30:37.656Z,0,280.8,20-Oct-2021,,
2,61715661facf5c0008bb1615,STLTECH,EQ,N,289.5,274.0,284.9,276.5,280.0,282.85,2624434,737278669.3,318.0,142.5,44121,INE089C01029,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:33.875Z,2021-10-21T12:00:33.875Z,0,280.93,21-Oct-2021,,
3,6172a8042dc18f00080fe79d,STLTECH,EQ,N,303.5,277.0,277.0,300.7,302.95,276.5,4510955,1329513873.2,318.0,142.5,75370,INE089C01029,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.847Z,2021-10-22T12:01:08.847Z,0,294.73,22-Oct-2021,,
4,61769c5cdb443b0008c8e4e6,STLTECH,EQ,N,308.0,290.0,304.5,291.2,291.3,300.7,2500902,747317621.5,318.0,142.5,46468,INE089C01029,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.244Z,2021-10-25T12:00:28.244Z,0,298.82,25-Oct-2021,,
5,6177edff2ed3fb00087deb25,STLTECH,EQ,N,299.9,287.0,291.2,288.15,289.0,291.2,1190596,349063703.9,318.0,142.5,24275,INE089C01029,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.442Z,2021-10-26T12:01:03.442Z,0,293.18,26-Oct-2021,,
6,61793f847220a800093c67b1,STLTECH,EQ,N,293.6,281.1,289.0,282.2,282.95,288.15,520534,149106548.4,318.0,142.5,12595,INE089C01029,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:08.751Z,2021-10-27T12:01:08.751Z,0,286.45,27-Oct-2021,,
7,617a90e3b698860008b707a0,STLTECH,EQ,N,284.45,271.75,283.95,273.35,273.95,282.2,482594,133321553.7,318.0,142.5,11716,INE089C01029,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.138Z,2021-10-28T12:00:35.138Z,0,276.26,28-Oct-2021,,
8,6139f7679241480008a1a6b7,STLTECH,EQ,N,281.5,271.8,280.0,276.05,276.6,279.25,319286,87919041.75,318.0,139.25,7511,INE089C01029,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.569Z,2021-09-09T12:00:39.569Z,0,275.36,09-Sep-2021,,
9,613f3d5c66f15f000839449c,STLTECH,EQ,N,280.0,272.1,278.9,276.7,278.1,276.05,459500,127218301.9,318.0,139.25,13062,INE089C01029,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.073Z,2021-09-13T12:00:28.073Z,0,276.86,13-Sep-2021,,
10,61408f008b051b0009544eed,STLTECH,EQ,N,283.9,274.15,277.2,282.3,282.6,276.7,645184,180669877.0,318.0,139.25,13414,INE089C01029,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:04.749Z,2021-09-14T12:01:04.749Z,0,280.03,14-Sep-2021,,
11,6141e06352f3510008866bc1,STLTECH,EQ,N,283.25,278.2,282.6,280.3,280.0,282.3,292393,81900722.45,318.0,139.25,7689,INE089C01029,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:35.270Z,2021-09-15T12:00:35.270Z,0,280.1,15-Sep-2021,,
12,614331dc418957000885989a,STLTECH,EQ,N,284.45,275.15,280.3,276.25,275.85,280.3,491961,137130002.0,318.0,139.25,9064,INE089C01029,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:28.150Z,2021-09-16T12:00:28.150Z,0,278.74,16-Sep-2021,,
13,6144837e7f66a400087551f1,STLTECH,EQ,N,280.5,272.8,277.9,277.85,275.15,276.25,609058,168915331.4,318.0,139.25,17312,INE089C01029,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:02.873Z,2021-09-17T12:01:02.873Z,0,277.34,17-Sep-2021,,
