,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e731c9,SUMEETINDS,EQ,N,8.8,8.2,8.2,8.3,8.25,8.6,200902,1689330.75,9.25,1.2,344,INE235C01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.328Z,2021-10-19T12:01:04.328Z,0,8.41,19-Oct-2021,
1,61700bedffea140009a39ea3,SUMEETINDS,EQ,N,8.5,7.9,8.5,8.0,7.95,8.3,176653,1438753.0,9.25,1.2,348,INE235C01010,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.316Z,2021-10-20T12:30:37.316Z,0,8.14,20-Oct-2021,
2,61715664facf5c0008bb1a45,SUMEETINDS,EQ,N,8.35,7.8,8.35,7.9,7.95,8.0,130377,1041931.4,9.25,1.2,340,INE235C01010,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.030Z,2021-10-21T12:00:36.030Z,0,7.99,21-Oct-2021,
3,6172a8042dc18f00080fe6d3,SUMEETINDS,EQ,N,8.2,7.8,8.2,7.8,7.8,7.9,74269,587721.4,9.25,1.2,160,INE235C01010,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.096Z,2021-10-22T12:01:08.096Z,0,7.91,22-Oct-2021,
4,61769c5edb443b0008c8e928,SUMEETINDS,EQ,N,8.15,7.6,8.1,7.9,8.15,7.8,86868,673812.0,9.25,1.2,158,INE235C01010,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.487Z,2021-10-25T12:00:30.487Z,0,7.76,25-Oct-2021,
5,6177ee012ed3fb00087def1c,SUMEETINDS,EQ,N,8.25,7.7,8.0,7.95,7.9,7.9,74223,591813.8,9.25,1.2,213,INE235C01010,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.361Z,2021-10-26T12:01:05.361Z,0,7.97,26-Oct-2021,
6,61793f887220a800093c6fc1,SUMEETINDS,EQ,N,8.2,7.8,7.8,7.8,7.8,7.95,63896,506656.1,9.25,1.2,371,INE235C01010,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.790Z,2021-10-27T12:01:12.790Z,0,7.93,27-Oct-2021,
7,617a90e5b698860008b70bd8,SUMEETINDS,EQ,N,8.15,7.75,7.8,8.0,8.15,7.8,142963,1147272.35,9.25,1.2,304,INE235C01010,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.726Z,2021-10-28T12:00:37.726Z,0,8.02,28-Oct-2021,
8,6165790060745c0008937625,SUMEETINDS,EQ,N,9.15,8.7,9.15,8.7,8.7,9.15,180877,1575416.15,9.15,1.2,332,INE235C01010,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:04.880Z,2021-10-12T12:01:04.880Z,0,8.71,12-Oct-2021,
9,6166ca6773e7b0000825900b,SUMEETINDS,EQ,N,9.1,8.35,8.35,9.05,9.1,8.7,249970,2217413.9,9.15,1.2,705,INE235C01010,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:39.094Z,2021-10-13T12:00:39.094Z,0,8.87,13-Oct-2021,
10,61681c0003a7b2000873e28c,SUMEETINDS,EQ,N,9.25,8.6,9.15,8.7,8.8,9.05,148533,1333807.6,9.25,1.2,441,INE235C01010,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:04.941Z,2021-10-14T12:01:04.941Z,0,8.98,14-Oct-2021,
11,616d61e381039a0008f76580,SUMEETINDS,EQ,N,9.0,8.4,9.0,8.6,8.6,8.7,129445,1117744.95,9.25,1.2,327,INE235C01010,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:35.913Z,2021-10-18T12:00:35.913Z,0,8.63,18-Oct-2021,
12,616eb3802137b10008e731c9,SUMEETINDS,EQ,N,8.8,8.2,8.2,8.3,8.25,8.6,200902,1689330.75,9.25,1.2,344,INE235C01010,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.328Z,2021-10-19T12:01:04.328Z,0,8.41,19-Oct-2021,
13,5fc8d35efdaa170009fb6270,SUMEETINDS,EQ,N,2.05,2.0,2.0,2.05,2.05,2.0,79957,161892.0,2.8,1.2,170,INE235C01010,2020-12-03,2020-12-02T18:30:00.000Z,2020-12-03T12:00:30.423Z,2020-12-03T12:00:30.423Z,0,2.02,03-Dec-2020,
14,5fca24dd01e21f0008b13cd9,SUMEETINDS,EQ,N,2.15,2.0,2.0,2.15,2.15,2.05,136567,289613.4,2.8,1.2,122,INE235C01010,2020-12-04,2020-12-03T18:30:00.000Z,2020-12-04T12:00:29.846Z,2020-12-04T12:00:29.846Z,0,2.12,04-Dec-2020,
15,5fce198122c8a50008e35089,SUMEETINDS,EQ,N,2.35,2.15,2.35,2.35,2.35,2.15,813260,1910239.2,2.8,1.2,147,INE235C01010,2020-12-07,2020-12-06T18:30:00.000Z,2020-12-07T12:01:05.683Z,2020-12-07T12:01:05.683Z,0,2.35,07-Dec-2020,
16,5fcf6b03ecc6400008d6ed7a,SUMEETINDS,EQ,N,2.55,2.35,2.55,2.55,2.55,2.35,116482,295836.4,2.8,1.2,115,INE235C01010,2020-12-08,2020-12-07T18:30:00.000Z,2020-12-08T12:01:07.332Z,2020-12-08T12:01:07.332Z,0,2.54,08-Dec-2020,
17,5fd0bc64ecc6400008d7de22,SUMEETINDS,EQ,N,2.8,2.55,2.8,2.75,2.8,2.55,265176,734685.35,2.8,1.2,262,INE235C01010,2020-12-09,2020-12-08T18:30:00.000Z,2020-12-09T12:00:36.855Z,2020-12-09T12:00:36.855Z,0,2.77,09-Dec-2020,
18,5fd20dddb459f900084333b8,SUMEETINDS,EQ,N,2.85,2.65,2.85,2.65,2.65,2.75,164562,446621.4,2.85,1.2,151,INE235C01010,2020-12-10,2020-12-09T18:30:00.000Z,2020-12-10T12:00:29.464Z,2020-12-10T12:00:29.464Z,0,2.71,10-Dec-2020,
19,5fd35f661714380008588213,SUMEETINDS,EQ,N,2.75,2.55,2.55,2.6,2.6,2.65,111959,293453.95,2.85,1.2,205,INE235C01010,2020-12-11,2020-12-10T18:30:00.000Z,2020-12-11T12:00:38.352Z,2020-12-11T12:00:38.352Z,0,2.62,11-Dec-2020,
20,5fd754013141bc0008ee73c9,SUMEETINDS,EQ,N,2.7,2.5,2.6,2.6,2.6,2.6,134566,350945.7,2.85,1.2,112,INE235C01010,2020-12-14,2020-12-13T18:30:00.000Z,2020-12-14T12:01:05.533Z,2020-12-14T12:01:05.533Z,0,2.61,14-Dec-2020,
21,5fd8a563b459f900084650ce,SUMEETINDS,EQ,N,2.7,2.5,2.5,2.55,2.55,2.6,217267,566430.8,2.85,1.2,106,INE235C01010,2020-12-15,2020-12-14T18:30:00.000Z,2020-12-15T12:00:35.993Z,2020-12-15T12:00:35.993Z,0,2.61,15-Dec-2020,
22,5fd9f6e381abf7000814d31d,SUMEETINDS,EQ,N,2.65,2.45,2.6,2.6,2.6,2.55,178984,454135.65,2.85,1.2,133,INE235C01010,2020-12-16,2020-12-15T18:30:00.000Z,2020-12-16T12:00:35.593Z,2020-12-16T12:00:35.593Z,0,2.54,16-Dec-2020,
