,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e7307f,SUNDARMHLD,EQ,N,83.25,79.25,82.6,80.75,80.8,81.75,233461,18989605.05,94.7,51.65,3819,INE202Z01029,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.755Z,2021-10-19T12:01:03.755Z,0,81.34,19-Oct-2021,
1,61700bebffea140009a399af,SUNDARMHLD,EQ,N,81.6,78.15,80.8,80.4,81.0,80.75,201089,15991446.45,94.7,51.65,2928,INE202Z01029,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.095Z,2021-10-20T12:30:35.095Z,0,79.52,20-Oct-2021,
2,61715663facf5c0008bb18bb,SUNDARMHLD,EQ,N,81.15,78.7,80.8,80.85,80.9,80.4,201496,16161537.95,94.7,51.65,2623,INE202Z01029,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.176Z,2021-10-21T12:00:35.176Z,0,80.21,21-Oct-2021,
3,6172a8012dc18f00080fe14e,SUNDARMHLD,EQ,N,83.0,80.2,81.0,80.95,80.5,80.85,190922,15554000.95,94.7,51.65,2851,INE202Z01029,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.681Z,2021-10-22T12:01:05.681Z,0,81.47,22-Oct-2021,
4,61769c5ddb443b0008c8e792,SUNDARMHLD,EQ,N,81.6,78.55,81.4,81.0,81.0,80.95,245233,19702605.65,94.7,51.65,2531,INE202Z01029,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.729Z,2021-10-25T12:00:29.729Z,0,80.34,25-Oct-2021,
5,6177ee002ed3fb00087dedab,SUNDARMHLD,EQ,N,81.5,79.3,79.75,80.8,80.05,81.0,103311,8287003.15,94.7,51.65,2105,INE202Z01029,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.714Z,2021-10-26T12:01:04.714Z,0,80.21,26-Oct-2021,
6,61793f877220a800093c6ced,SUNDARMHLD,EQ,N,81.3,79.7,81.3,79.85,79.7,80.8,60237,4835489.7,94.7,51.65,1407,INE202Z01029,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.163Z,2021-10-27T12:01:11.163Z,0,80.27,27-Oct-2021,
7,617a90e4b698860008b70a4e,SUNDARMHLD,EQ,N,80.95,78.2,79.7,78.85,79.0,79.85,119599,9522044.5,94.7,51.65,2145,INE202Z01029,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:36.917Z,2021-10-28T12:00:36.917Z,0,79.62,28-Oct-2021,
8,6139f7689241480008a1a938,SUNDARMHLD,EQ,N,79.2,76.45,77.35,77.0,77.0,76.8,143226,11096892.05,94.7,51.65,1623,INE202Z01029,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.739Z,2021-09-09T12:00:40.739Z,0,77.48,09-Sep-2021,
9,613f3d5d66f15f0008394725,SUNDARMHLD,EQ,N,77.75,76.3,77.1,76.9,77.0,77.0,72751,5604924.75,94.7,51.65,1168,INE202Z01029,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.147Z,2021-09-13T12:00:29.147Z,0,77.04,13-Sep-2021,
