,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e7323a,TCIDEVELOP,EQ,N,369.9,358.05,360.0,368.4,368.5,357.5,853,310249.75,549.0,270.6,55,INE662L01016,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.544Z,2021-10-19T12:01:04.544Z,0,363.72,19-Oct-2021,
1,61700becffea140009a39d4b,TCIDEVELOP,EQ,N,369.0,357.0,365.0,363.1,365.0,368.4,997,361919.0,549.0,270.6,63,INE662L01016,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.734Z,2021-10-20T12:30:36.734Z,0,363.01,20-Oct-2021,
2,61715664facf5c0008bb1abc,TCIDEVELOP,EQ,N,371.5,359.0,359.0,369.05,371.0,363.1,813,298013.85,549.0,270.6,70,INE662L01016,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:36.262Z,2021-10-21T12:00:36.262Z,0,366.56,21-Oct-2021,
3,6172a8032dc18f00080fe55b,TCIDEVELOP,EQ,N,378.0,357.0,357.0,366.45,370.0,369.05,6734,2458546.8,549.0,270.6,296,INE662L01016,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.468Z,2021-10-22T12:01:07.468Z,0,365.09,22-Oct-2021,
4,61769c5edb443b0008c8e9bd,TCIDEVELOP,EQ,N,366.1,354.0,360.1,356.55,355.5,366.45,3271,1164214.8,549.0,270.6,72,INE662L01016,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.904Z,2021-10-25T12:00:30.904Z,0,355.92,25-Oct-2021,
5,6177ee012ed3fb00087def98,TCIDEVELOP,EQ,N,367.75,357.5,367.3,365.15,367.75,356.55,2700,971704.4,549.0,270.6,143,INE662L01016,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.592Z,2021-10-26T12:01:05.592Z,0,359.89,26-Oct-2021,
6,61793f897220a800093c70c3,TCIDEVELOP,EQ,N,375.7,350.5,350.5,366.65,360.75,365.15,2525,925746.65,549.0,270.6,169,INE662L01016,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:13.211Z,2021-10-27T12:01:13.211Z,0,366.63,27-Oct-2021,
7,617a90e5b698860008b70c62,TCIDEVELOP,EQ,N,375.15,355.7,375.15,357.8,356.0,366.65,902,328948.4,549.0,270.6,58,INE662L01016,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.935Z,2021-10-28T12:00:37.935Z,0,364.69,28-Oct-2021,
8,6139f7699241480008a1ab09,TCIDEVELOP,EQ,N,329.75,315.4,322.85,321.95,322.5,324.15,3145,1015956.55,549.0,270.6,180,INE662L01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.776Z,2021-09-09T12:00:41.776Z,0,323.04,09-Sep-2021,
9,613f3d5d66f15f0008394916,TCIDEVELOP,EQ,N,333.15,306.0,323.0,322.95,319.65,321.95,4719,1515490.2,549.0,270.6,198,INE662L01016,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.973Z,2021-09-13T12:00:29.973Z,0,321.15,13-Sep-2021,
