,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e73146,TREJHARA,EQ,N,62.75,59.75,62.75,60.8,60.55,61.85,36793,2264728.6,72.7,16.15,400,INE00CA01015,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.121Z,2021-10-19T12:01:04.121Z,0,61.55,19-Oct-2021,
1,61700beeffea140009a3a086,TREJHARA,EQ,N,61.05,58.05,60.9,58.55,59.65,60.8,53199,3137822.2,72.7,16.15,669,INE00CA01015,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.191Z,2021-10-20T12:30:38.191Z,0,58.98,20-Oct-2021,
2,61715663facf5c0008bb19a5,TREJHARA,EQ,N,61.15,58.8,59.8,59.25,59.0,58.55,26824,1598262.2,72.7,16.15,378,INE00CA01015,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.672Z,2021-10-21T12:00:35.672Z,0,59.58,21-Oct-2021,
3,6172a8062dc18f00080fe8e4,TREJHARA,EQ,N,60.6,58.2,58.2,59.4,59.3,59.25,21058,1257843.75,72.7,16.15,358,INE00CA01015,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.026Z,2021-10-22T12:01:10.026Z,0,59.73,22-Oct-2021,
4,61769c5edb443b0008c8e88e,TREJHARA,EQ,N,61.05,55.5,60.25,56.45,55.6,59.4,38944,2260400.5,72.7,16.45,558,INE00CA01015,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.177Z,2021-10-25T12:00:30.177Z,0,58.04,25-Oct-2021,
5,6177ee012ed3fb00087dee8c,TREJHARA,EQ,N,59.35,55.45,56.0,58.5,58.35,56.45,106920,6066833.6,72.7,16.45,852,INE00CA01015,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.089Z,2021-10-26T12:01:05.089Z,0,56.74,26-Oct-2021,
6,61793f887220a800093c6eab,TREJHARA,EQ,N,63.0,57.65,58.0,60.65,60.55,58.5,61480,3761245.7,72.7,16.45,785,INE00CA01015,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.328Z,2021-10-27T12:01:12.328Z,0,61.18,27-Oct-2021,
7,617a90e5b698860008b70b3f,TREJHARA,EQ,N,63.15,57.6,61.75,59.55,58.7,60.65,45616,2773983.55,72.7,16.45,582,INE00CA01015,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.450Z,2021-10-28T12:00:37.450Z,0,60.81,28-Oct-2021,
8,6139f7699241480008a1aa11,TREJHARA,EQ,N,61.0,57.85,58.0,59.5,59.8,57.75,40635,2404771.2,72.7,9.95,392,INE00CA01015,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.207Z,2021-09-09T12:00:41.207Z,0,59.18,09-Sep-2021,
9,613f3d5d66f15f000839480a,TREJHARA,EQ,N,60.2,58.05,60.0,58.45,58.95,59.5,30306,1792743.4,72.7,10.9,518,INE00CA01015,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.537Z,2021-09-13T12:00:29.537Z,0,59.15,13-Sep-2021,
10,61408f028b051b000954524b,TREJHARA,EQ,N,59.45,58.1,59.0,58.2,58.2,58.45,20414,1196302.85,72.7,10.9,406,INE00CA01015,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.458Z,2021-09-14T12:01:06.458Z,0,58.6,14-Sep-2021,
11,6141e06552f3510008866f35,TREJHARA,EQ,N,69.8,58.2,59.2,66.65,67.0,58.2,562511,37364169.05,72.7,10.9,6168,INE00CA01015,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.153Z,2021-09-15T12:00:37.153Z,0,66.42,15-Sep-2021,
12,614331dd4189570008859bef,TREJHARA,EQ,N,67.7,62.5,67.0,63.35,63.2,66.65,134835,8705847.8,72.7,10.9,1702,INE00CA01015,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.639Z,2021-09-16T12:00:29.639Z,0,64.57,16-Sep-2021,"[{'symbol': 'TREJHARA', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting', 'exDate': '16-Sep-2021', 'recDate': '-', 'bcStartDate': '18-Sep-2021', 'bcEndDate': '25-Sep-2021', 'ndStartDate': '-', 'comp': 'TREJHARA SOLUTIONS LIMITED', 'isin': 'INE00CA01015', 'ndEndDate': '-', 'caBroadcastDate': None}]"
13,614483807f66a40008755572,TREJHARA,EQ,N,64.75,60.0,64.15,61.25,61.1,63.35,73162,4545348.2,72.7,10.9,1197,INE00CA01015,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.337Z,2021-09-17T12:01:04.337Z,0,62.13,17-Sep-2021,
14,614877e5e0fcf60008e51548,TREJHARA,EQ,N,62.9,60.2,61.2,61.15,61.0,61.25,36481,2236171.8,72.7,13.3,741,INE00CA01015,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.075Z,2021-09-20T12:00:37.075Z,0,61.3,20-Sep-2021,
15,6149c980bf6def0009839f0d,TREJHARA,EQ,N,66.9,61.2,61.2,62.95,63.2,61.15,172379,11054248.55,72.7,13.3,2894,INE00CA01015,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.337Z,2021-09-21T12:01:04.337Z,0,64.13,21-Sep-2021,
16,614b1b01f6172a0008df473d,TREJHARA,EQ,N,65.95,62.6,63.5,64.15,64.15,62.95,108820,7021969.25,72.7,13.3,2554,INE00CA01015,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.377Z,2021-09-22T12:01:05.377Z,0,64.53,22-Sep-2021,
17,614c6c66a3bb370008f105e5,TREJHARA,EQ,N,66.9,63.0,66.9,63.75,63.25,64.15,64297,4129765.05,72.7,13.3,1979,INE00CA01015,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.426Z,2021-09-23T12:00:38.426Z,0,64.23,23-Sep-2021,
18,614dbde485b9910009314a5c,TREJHARA,EQ,N,64.5,62.15,62.6,62.75,62.95,63.75,34614,2191640.1,72.7,13.3,1230,INE00CA01015,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.620Z,2021-09-24T12:00:36.620Z,0,63.32,24-Sep-2021,
19,6151b281c3f15b0008afe908,TREJHARA,EQ,N,63.9,61.55,62.8,62.1,62.35,62.75,27317,1700526.8,72.7,13.3,694,INE00CA01015,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.606Z,2021-09-27T12:01:05.606Z,0,62.25,27-Sep-2021,
20,615304074a501f0008b25bdb,TREJHARA,EQ,N,63.0,60.85,62.95,61.6,61.9,62.1,17780,1095807.9,72.7,13.3,455,INE00CA01015,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.934Z,2021-09-28T12:01:11.934Z,0,61.63,28-Sep-2021,
21,615455824a501f0008e4d12e,TREJHARA,EQ,N,63.45,60.7,61.0,63.0,62.5,61.6,50830,3179815.95,72.7,13.3,572,INE00CA01015,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.833Z,2021-09-29T12:01:06.833Z,0,62.56,29-Sep-2021,
22,6155a7005956820008176699,TREJHARA,EQ,N,64.35,62.0,63.0,62.4,62.2,63.0,29249,1836327.9,72.7,13.3,613,INE00CA01015,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.830Z,2021-09-30T12:01:04.830Z,0,62.78,30-Sep-2021,
23,6156f85d00c38500086c3006,TREJHARA,EQ,N,63.6,61.05,62.3,62.6,62.5,62.4,31737,1976163.3,72.7,13.3,382,INE00CA01015,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.783Z,2021-10-01T12:00:29.783Z,0,62.27,01-Oct-2021,
24,615aed0000c38500088dfc8a,TREJHARA,EQ,N,64.75,62.25,63.85,63.2,63.25,62.6,45739,2899614.3,72.7,13.3,515,INE00CA01015,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:04.581Z,2021-10-04T12:01:04.581Z,0,63.39,04-Oct-2021,
25,615c3e681728530008f0b2c6,TREJHARA,EQ,N,63.7,62.3,63.2,62.8,62.95,63.2,44437,2801063.7,72.7,13.3,603,INE00CA01015,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:40.806Z,2021-10-05T12:00:40.806Z,0,63.03,05-Oct-2021,
