,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37f2137b10008e730b8,TRIL,EQ,N,31.4,29.05,30.2,29.65,29.55,30.8,209059,6331519.3,37.6,8.55,1410,INE763I01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.860Z,2021-10-19T12:01:03.860Z,0,30.29,19-Oct-2021,
1,61700bebffea140009a399f2,TRIL,EQ,N,30.25,28.75,30.25,29.1,29.25,29.65,131708,3833438.0,37.6,8.55,1221,INE763I01026,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:35.216Z,2021-10-20T12:30:35.216Z,0,29.11,20-Oct-2021,
2,61715663facf5c0008bb18ff,TRIL,EQ,N,29.45,28.4,29.45,28.75,28.9,29.1,82069,2361769.0,37.6,8.55,875,INE763I01026,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.336Z,2021-10-21T12:00:35.336Z,0,28.78,21-Oct-2021,
3,6172a8012dc18f00080fe199,TRIL,EQ,N,29.3,27.75,29.2,27.9,27.8,28.75,117176,3309757.45,37.6,8.55,999,INE763I01026,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:05.811Z,2021-10-22T12:01:05.811Z,0,28.25,22-Oct-2021,
4,61769c5ddb443b0008c8e7d8,TRIL,EQ,N,28.35,24.3,28.0,26.5,25.95,27.9,210830,5734988.95,37.6,8.55,1261,INE763I01026,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:29.859Z,2021-10-25T12:00:29.859Z,0,27.2,25-Oct-2021,
5,6177ee002ed3fb00087dedea,TRIL,EQ,N,28.3,26.35,26.45,28.1,27.75,26.5,135311,3737140.7,37.6,8.55,1066,INE763I01026,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:04.800Z,2021-10-26T12:01:04.800Z,0,27.62,26-Oct-2021,
6,61793f877220a800093c6d75,TRIL,EQ,N,31.0,27.9,28.15,30.0,30.0,28.1,723470,21620006.95,37.6,8.55,3661,INE763I01026,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:11.390Z,2021-10-27T12:01:11.390Z,0,29.88,27-Oct-2021,
7,617a90e5b698860008b70a96,TRIL,EQ,N,30.6,28.2,30.5,28.65,28.5,30.0,236111,6872693.45,37.6,8.55,1724,INE763I01026,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.099Z,2021-10-28T12:00:37.099Z,0,29.11,28-Oct-2021,
8,6139f7689241480008a1a978,TRIL,EQ,N,29.2,27.7,29.2,27.8,27.85,28.3,113793,3185228.6,37.6,8.5,759,INE763I01026,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.870Z,2021-09-09T12:00:40.870Z,0,27.99,09-Sep-2021,
9,613f3d5d66f15f0008394766,TRIL,EQ,N,28.3,27.5,28.3,27.8,27.6,27.8,132215,3668275.95,37.6,8.5,759,INE763I01026,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.243Z,2021-09-13T12:00:29.243Z,0,27.74,13-Sep-2021,
10,61408f028b051b00095451b1,TRIL,EQ,N,28.25,27.6,28.25,27.75,27.75,27.8,86300,2397343.9,37.6,8.5,735,INE763I01026,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.198Z,2021-09-14T12:01:06.198Z,0,27.78,14-Sep-2021,
11,6141e06452f3510008866e94,TRIL,EQ,N,28.9,27.65,27.75,28.6,28.3,27.75,240045,6804194.35,37.6,8.5,1095,INE763I01026,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:36.882Z,2021-09-15T12:00:36.882Z,0,28.35,15-Sep-2021,
12,614331dd4189570008859b53,TRIL,EQ,N,30.3,28.1,28.5,29.5,29.0,28.6,526905,15505209.75,37.6,8.5,1931,INE763I01026,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.343Z,2021-09-16T12:00:29.343Z,0,29.43,16-Sep-2021,
13,614483807f66a400087554ce,TRIL,EQ,N,29.7,27.8,29.5,28.05,28.25,29.5,195456,5549172.25,37.6,8.5,1166,INE763I01026,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.073Z,2021-09-17T12:01:04.073Z,0,28.39,17-Sep-2021,
14,614877e4e0fcf60008e5149f,TRIL,EQ,N,28.25,27.2,27.55,27.3,27.2,28.05,130748,3614473.65,37.6,8.5,746,INE763I01026,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:36.765Z,2021-09-20T12:00:36.765Z,0,27.64,20-Sep-2021,
15,6149c980bf6def0009839e70,TRIL,EQ,N,27.75,26.2,27.3,27.1,27.3,27.3,100045,2690118.35,37.6,8.5,622,INE763I01026,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.084Z,2021-09-21T12:01:04.084Z,0,26.89,21-Sep-2021,
16,614b1afef6172a0008df40dc,TRIL,EQ,N,27.7,27.0,27.5,27.4,27.3,27.1,89741,2459905.6,37.6,8.5,500,INE763I01026,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:02.495Z,2021-09-22T12:01:02.495Z,0,27.41,22-Sep-2021,
17,614c6c63a3bb370008f0ff92,TRIL,EQ,N,27.95,27.2,27.75,27.3,27.55,27.4,64866,1787731.55,37.6,8.5,496,INE763I01026,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:35.870Z,2021-09-23T12:00:35.870Z,0,27.56,23-Sep-2021,
18,614dbde185b99100093143ed,TRIL,EQ,N,27.7,26.9,27.3,26.95,27.0,27.3,105015,2853452.7,37.6,8.5,496,INE763I01026,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:33.799Z,2021-09-24T12:00:33.799Z,0,27.17,24-Sep-2021,
19,6151b27ec3f15b0008afe283,TRIL,EQ,N,27.2,26.7,27.0,26.8,26.75,26.95,106456,2867897.1,37.6,8.55,838,INE763I01026,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:02.867Z,2021-09-27T12:01:02.867Z,0,26.94,27-Sep-2021,
20,615304074a501f0008b25b3e,TRIL,EQ,N,27.6,26.6,27.3,27.15,27.0,26.8,221621,5992034.15,37.6,8.55,947,INE763I01026,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.679Z,2021-09-28T12:01:11.679Z,0,27.04,28-Sep-2021,
21,6154557f4a501f0008e4ca7c,TRIL,EQ,N,28.6,26.7,26.8,27.35,27.5,27.15,287826,7981017.15,37.6,8.55,1446,INE763I01026,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:03.076Z,2021-09-29T12:01:03.076Z,0,27.73,29-Sep-2021,
22,6155a70059568200081765fa,TRIL,EQ,N,28.0,26.9,27.8,27.05,27.1,27.35,185294,5039789.4,37.6,8.55,852,INE763I01026,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.540Z,2021-09-30T12:01:04.540Z,0,27.2,30-Sep-2021,
23,6156f85d00c38500086c2f5f,TRIL,EQ,N,27.5,26.55,26.95,26.95,26.9,27.05,108796,2936926.5,37.6,8.55,833,INE763I01026,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.516Z,2021-10-01T12:00:29.516Z,0,26.99,01-Oct-2021,
24,615aed0000c38500088dfbe7,TRIL,EQ,N,32.25,26.9,27.4,30.65,30.9,26.95,2874446,87819575.65,37.6,8.55,10811,INE763I01026,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:04.319Z,2021-10-04T12:01:04.319Z,0,30.55,04-Oct-2021,
25,615c3e651728530008f0ac1f,TRIL,EQ,N,32.9,31.0,31.2,32.25,32.25,30.65,1104222,35586622.3,37.6,8.55,7158,INE763I01026,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:37.066Z,2021-10-05T12:00:37.066Z,0,32.23,05-Oct-2021,
26,615d8fe27c2c3b00089fff8e,TRIL,EQ,N,33.4,30.6,33.4,31.05,31.05,32.25,716320,22683040.5,37.6,8.55,4127,INE763I01026,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:34.879Z,2021-10-06T12:00:34.879Z,0,31.67,06-Oct-2021,
27,615ee162c7aa9800089780dd,TRIL,EQ,N,32.2,30.0,31.35,30.4,30.55,31.05,350486,10897827.35,37.6,8.55,2465,INE763I01026,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:34.503Z,2021-10-07T12:00:34.503Z,0,31.09,07-Oct-2021,
28,616032fe31c1ce0008cb006d,TRIL,EQ,N,31.7,30.6,30.85,30.95,31.0,30.4,217481,6787114.0,37.6,8.55,1718,INE763I01026,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:02.208Z,2021-10-08T12:01:02.208Z,0,31.21,08-Oct-2021,
29,61644a8b1ffdf40008ba3bc0,TRIL,EQ,N,32.0,30.5,31.4,30.65,30.85,30.95,207950,6488388.55,37.6,8.55,1806,INE763I01026,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:35.330Z,2021-10-11T14:30:35.330Z,0,31.2,11-Oct-2021,
30,616578fe60745c0008937171,TRIL,EQ,N,31.25,29.6,30.95,30.15,30.15,30.65,217909,6594657.55,37.6,8.55,2199,INE763I01026,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:02.481Z,2021-10-12T12:01:02.481Z,0,30.26,12-Oct-2021,
31,6166ca6473e7b00008258b59,TRIL,EQ,N,30.9,29.65,30.2,29.75,29.65,30.15,294862,8899858.7,37.6,8.55,1468,INE763I01026,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:36.818Z,2021-10-13T12:00:36.818Z,0,30.18,13-Oct-2021,
32,61681c0003a7b2000873e14c,TRIL,EQ,N,30.75,29.55,29.55,30.05,30.0,29.75,195201,5875030.85,37.6,8.55,1309,INE763I01026,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:04.299Z,2021-10-14T12:01:04.299Z,0,30.1,14-Oct-2021,
33,616d61e181039a0008f7607d,TRIL,EQ,N,31.65,30.2,30.4,30.8,30.8,30.05,372373,11518408.35,37.6,8.55,2195,INE763I01026,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:33.450Z,2021-10-18T12:00:33.450Z,0,30.93,18-Oct-2021,
34,616eb37f2137b10008e730b8,TRIL,EQ,N,31.4,29.05,30.2,29.65,29.55,30.8,209059,6331519.3,37.6,8.55,1410,INE763I01026,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:03.860Z,2021-10-19T12:01:03.860Z,0,30.29,19-Oct-2021,
35,6107de804c6c270008f21a44,TRIL,EQ,N,34.65,33.5,33.6,33.65,33.6,33.85,159091,5386572.05,37.6,8.5,1158,INE763I01026,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:04.554Z,2021-08-02T12:01:04.554Z,0,33.86,02-Aug-2021,
36,61092fe3ddfad700096fdb54,TRIL,EQ,N,34.95,33.5,34.3,34.65,34.4,33.65,354046,12139750.55,37.6,8.5,1806,INE763I01026,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:35.882Z,2021-08-03T12:00:35.882Z,0,34.29,03-Aug-2021,
