,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3822137b10008e73483,VISHWARAJ,EQ,N,220.0,175.0,194.0,181.5,181.9,188.2,1876433,365242448.4,220.0,103.45,38391,INE430N01014,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.208Z,2021-10-19T12:01:06.208Z,0,194.65,19-Oct-2021,
1,61700beeffea140009a3a1c3,VISHWARAJ,EQ,N,188.2,176.45,184.25,181.45,177.95,181.5,942723,170761987.8,220.0,103.45,17278,INE430N01014,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.733Z,2021-10-20T12:30:38.733Z,0,181.14,20-Oct-2021,
2,61715665facf5c0008bb1d34,VISHWARAJ,EQ,N,43.55,35.15,36.0,43.55,43.55,181.45,4479264,187597702.3,220.0,35.15,11276,INE430N01014,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.389Z,2021-10-21T12:00:37.389Z,0,41.88,21-Oct-2021,"[{'symbol': 'VISHWARAJ', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': ' Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share', 'exDate': '21-Oct-2021', 'recDate': '22-Oct-2021', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Vishwaraj Sugar Industries Limited', 'isin': 'INE430N01014', 'ndEndDate': '-', 'caBroadcastDate': None}]"
3,6172a8072dc18f00080fea38,VISHWARAJ,EQ,N,45.8,41.05,43.55,43.2,42.95,43.55,3170271,134907110.95,220.0,35.15,14187,INE430N01022,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:11.968Z,2021-10-22T12:01:11.968Z,0,42.55,22-Oct-2021,
4,61769c60db443b0008c8ec32,VISHWARAJ,EQ,N,42.8,39.85,40.5,40.05,40.0,43.2,5955882,240762384.2,220.0,35.15,10732,INE430N01022,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:32.016Z,2021-10-25T12:00:32.016Z,0,40.42,25-Oct-2021,
5,6177ee022ed3fb00087df202,VISHWARAJ,EQ,N,42.6,37.9,40.05,38.05,38.0,40.05,6199855,244323249.35,220.0,35.15,11571,INE430N01022,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:06.961Z,2021-10-26T12:01:06.961Z,0,39.41,26-Oct-2021,
6,61793f8b7220a800093c7590,VISHWARAJ,EQ,N,38.8,37.05,38.2,37.45,37.4,38.05,1813739,68841905.45,220.0,35.15,6940,INE430N01022,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:15.423Z,2021-10-27T12:01:15.423Z,0,37.96,27-Oct-2021,
7,617a90e7b698860008b70edf,VISHWARAJ,EQ,N,37.8,36.8,37.65,36.9,36.85,37.45,1948139,71993347.1,220.0,35.15,3495,INE430N01022,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:39.047Z,2021-10-28T12:00:39.047Z,0,36.95,28-Oct-2021,
8,6139f76a9241480008a1ad54,VISHWARAJ,EQ,N,152.0,147.4,147.6,149.55,149.05,147.4,131454,19727843.85,169.7,85.9,2623,INE430N01014,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.688Z,2021-09-09T12:00:42.688Z,0,150.07,09-Sep-2021,
9,613f3d5e66f15f0008394b78,VISHWARAJ,EQ,N,150.5,148.25,150.1,149.0,148.9,149.55,214245,31936335.0,169.7,85.9,1298,INE430N01014,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:30.956Z,2021-09-13T12:00:30.956Z,0,149.06,13-Sep-2021,
10,61408f048b051b0009545651,VISHWARAJ,EQ,N,150.1,143.55,149.0,148.75,147.05,149.0,340318,50457191.55,169.7,85.9,2181,INE430N01014,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:08.294Z,2021-09-14T12:01:08.294Z,0,148.26,14-Sep-2021,
11,6141e06652f351000886728a,VISHWARAJ,EQ,N,150.4,145.1,148.8,146.15,145.1,148.75,183031,26969475.35,169.7,85.9,1978,INE430N01014,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.586Z,2021-09-15T12:00:38.586Z,0,147.35,15-Sep-2021,
12,614331df4189570008859f57,VISHWARAJ,EQ,N,157.95,138.6,151.0,140.35,138.9,146.15,1741252,252381461.4,169.7,85.9,19253,INE430N01014,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:31.899Z,2021-09-16T12:00:31.899Z,0,144.94,16-Sep-2021,"[{'symbol': 'VISHWARAJ', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': ' Annual General Meeting/Dividend - Re 1 Per Share', 'exDate': '16-Sep-2021', 'recDate': '-', 'bcStartDate': '18-Sep-2021', 'bcEndDate': '25-Sep-2021', 'ndStartDate': '-', 'comp': 'Vishwaraj Sugar Industries Limited', 'isin': 'INE430N01014', 'ndEndDate': '-', 'caBroadcastDate': None}]"
13,614483817f66a400087558df,VISHWARAJ,EQ,N,141.0,134.0,139.75,135.65,135.65,140.35,317192,43776236.5,169.7,85.9,4290,INE430N01014,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:05.918Z,2021-09-17T12:01:05.918Z,0,138.01,17-Sep-2021,
14,614877e6e0fcf60008e518c3,VISHWARAJ,EQ,N,140.2,129.35,133.65,138.05,136.25,135.65,272778,37281504.4,169.7,85.9,4132,INE430N01014,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:38.486Z,2021-09-20T12:00:38.486Z,0,136.67,20-Sep-2021,
15,6149c982bf6def000983a270,VISHWARAJ,EQ,N,141.3,134.05,138.0,140.15,140.75,138.05,96669,13418931.95,169.7,85.9,1908,INE430N01014,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:06.124Z,2021-09-21T12:01:06.124Z,0,138.81,21-Sep-2021,
16,614b1b01f6172a0008df4861,VISHWARAJ,EQ,N,142.4,137.8,140.05,141.2,141.5,140.15,92064,12936956.9,169.7,85.9,1611,INE430N01014,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.906Z,2021-09-22T12:01:05.906Z,0,140.52,22-Sep-2021,
17,614c6c66a3bb370008f10716,VISHWARAJ,EQ,N,144.75,140.85,141.9,142.9,142.0,141.2,152657,21753157.95,169.7,85.9,2425,INE430N01014,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.841Z,2021-09-23T12:00:38.841Z,0,142.5,23-Sep-2021,
18,614dbde585b9910009314b8d,VISHWARAJ,EQ,N,147.0,141.2,143.0,144.9,143.3,142.9,196820,28477422.25,169.7,85.9,3332,INE430N01014,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:37.119Z,2021-09-24T12:00:37.119Z,0,144.69,24-Sep-2021,
19,6151b282c3f15b0008afea42,VISHWARAJ,EQ,N,148.5,143.5,145.0,145.15,145.45,144.9,270327,39344375.15,169.7,97.65,2624,INE430N01014,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:06.118Z,2021-09-27T12:01:06.118Z,0,145.54,27-Sep-2021,
20,615304094a501f0008b25f48,VISHWARAJ,EQ,N,149.0,144.05,146.85,145.15,144.15,145.15,84353,12367195.3,169.7,97.65,1817,INE430N01014,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:13.295Z,2021-09-28T12:01:13.295Z,0,146.61,28-Sep-2021,
