,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3802137b10008e7314c,WELCORP,EQ,N,150.25,136.35,149.9,139.85,137.9,149.35,2457668,354309109.65,165.9,99.0,20871,INE191B01025,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.129Z,2021-10-19T12:01:04.129Z,0,144.16,19-Oct-2021,
1,61700beeffea140009a3a08c,WELCORP,EQ,N,141.0,132.7,140.0,134.5,135.6,139.85,1871348,257513685.2,165.9,99.0,16656,INE191B01025,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:38.187Z,2021-10-20T12:30:38.187Z,0,137.61,20-Oct-2021,
2,61715663facf5c0008bb19ac,WELCORP,EQ,N,139.35,127.35,136.2,128.5,128.3,134.5,5112503,671873842.95,165.9,99.0,23585,INE191B01025,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:35.689Z,2021-10-21T12:00:35.689Z,0,131.42,21-Oct-2021,
3,6172a8062dc18f00080fe8eb,WELCORP,EQ,N,138.55,128.0,128.0,136.95,137.2,128.5,3887781,525964238.9,165.9,99.0,28730,INE191B01025,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:10.026Z,2021-10-22T12:01:10.026Z,0,135.29,22-Oct-2021,
4,61769c5edb443b0008c8e894,WELCORP,EQ,N,138.25,130.35,138.25,133.35,133.7,136.95,1153607,153748428.4,165.9,99.0,14003,INE191B01025,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:30.189Z,2021-10-25T12:00:30.189Z,0,133.28,25-Oct-2021,
5,6177ee012ed3fb00087dee93,WELCORP,EQ,N,134.95,131.0,133.35,133.65,133.2,133.35,926546,123444009.95,165.9,99.0,10937,INE191B01025,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:05.100Z,2021-10-26T12:01:05.100Z,0,133.23,26-Oct-2021,
6,61793f887220a800093c6eb5,WELCORP,EQ,N,134.3,130.2,133.4,130.9,131.05,133.65,776825,102602104.45,165.9,99.0,9246,INE191B01025,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:12.328Z,2021-10-27T12:01:12.328Z,0,132.08,27-Oct-2021,
7,617a90e5b698860008b70b45,WELCORP,EQ,N,133.2,127.75,130.85,129.1,128.0,130.9,689533,89840439.6,165.9,99.0,8412,INE191B01025,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:37.457Z,2021-10-28T12:00:37.457Z,0,130.29,28-Oct-2021,
8,6139f7699241480008a1aa17,WELCORP,EQ,N,126.4,118.25,118.7,124.95,125.0,118.35,2692482,333337075.05,165.9,96.2,25634,INE191B01025,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.216Z,2021-09-09T12:00:41.216Z,0,123.8,09-Sep-2021,
9,613f3d5d66f15f0008394810,WELCORP,EQ,N,125.9,121.5,125.5,122.1,122.0,124.95,977026,120251921.05,165.9,97.65,12129,INE191B01025,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:29.543Z,2021-09-13T12:00:29.543Z,0,123.08,13-Sep-2021,
10,61408f028b051b0009545252,WELCORP,EQ,N,127.0,121.8,123.45,123.95,124.4,122.1,1319380,164315221.6,165.9,97.65,14885,INE191B01025,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:06.462Z,2021-09-14T12:01:06.462Z,0,124.54,14-Sep-2021,
11,6141e06552f3510008866f3c,WELCORP,EQ,N,125.8,123.7,124.8,124.15,124.2,123.95,838128,104311079.25,165.9,97.65,7080,INE191B01025,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:37.155Z,2021-09-15T12:00:37.155Z,0,124.46,15-Sep-2021,
12,614331dd4189570008859bf5,WELCORP,EQ,N,125.6,123.2,124.9,123.9,124.0,124.15,726833,90556321.9,165.9,97.65,7804,INE191B01025,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:29.651Z,2021-09-16T12:00:29.651Z,0,124.59,16-Sep-2021,
13,614483807f66a40008755578,WELCORP,EQ,N,124.75,119.0,124.75,121.6,122.0,123.9,1484297,179619988.65,165.9,97.65,12808,INE191B01025,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:04.353Z,2021-09-17T12:01:04.353Z,0,121.01,17-Sep-2021,
14,614877e5e0fcf60008e5154e,WELCORP,EQ,N,125.9,121.75,122.0,122.45,122.5,121.6,2033821,252194968.8,165.9,97.65,22382,INE191B01025,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:37.081Z,2021-09-20T12:00:37.081Z,0,124.0,20-Sep-2021,
15,6149c980bf6def0009839f13,WELCORP,EQ,N,127.0,122.55,125.0,125.75,126.3,122.45,1622789,202314028.6,165.9,97.65,17895,INE191B01025,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:04.348Z,2021-09-21T12:01:04.348Z,0,124.67,21-Sep-2021,
16,614b1b01f6172a0008df4744,WELCORP,EQ,N,128.9,125.0,126.9,125.35,125.65,125.75,1517068,192282112.25,165.9,97.65,12534,INE191B01025,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:05.389Z,2021-09-22T12:01:05.389Z,0,126.75,22-Sep-2021,
17,614c6c66a3bb370008f105ec,WELCORP,EQ,N,128.7,125.4,126.0,127.35,126.75,125.35,1688123,214864170.45,165.9,97.65,13074,INE191B01025,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:38.420Z,2021-09-23T12:00:38.420Z,0,127.28,23-Sep-2021,
18,614dbde485b9910009314a62,WELCORP,EQ,N,129.0,126.8,128.0,127.6,127.55,127.35,1209123,154269264.3,165.9,97.65,8090,INE191B01025,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.617Z,2021-09-24T12:00:36.617Z,0,127.59,24-Sep-2021,
19,6151b281c3f15b0008afe90e,WELCORP,EQ,N,129.0,125.0,129.0,125.4,125.6,127.6,1134906,143648274.1,165.9,99.0,10248,INE191B01025,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.603Z,2021-09-27T12:01:05.603Z,0,126.57,27-Sep-2021,
20,615304074a501f0008b25be1,WELCORP,EQ,N,128.95,124.4,126.25,127.2,127.15,125.4,1035127,131035810.35,165.9,99.0,11957,INE191B01025,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.949Z,2021-09-28T12:01:11.949Z,0,126.59,28-Sep-2021,
21,615455824a501f0008e4d135,WELCORP,EQ,N,128.9,125.65,126.65,128.2,128.5,127.2,998176,127790236.7,165.9,99.0,9646,INE191B01025,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.852Z,2021-09-29T12:01:06.852Z,0,128.02,29-Sep-2021,
22,6155a70059568200081766a0,WELCORP,EQ,N,149.4,128.95,129.0,144.85,145.3,128.2,15250142,2137684421.45,165.9,99.0,99910,INE191B01025,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:04.842Z,2021-09-30T12:01:04.842Z,0,140.17,30-Sep-2021,
23,6156f85d00c38500086c300c,WELCORP,EQ,N,149.0,140.0,144.0,143.0,142.4,144.85,7894307,1144645746.85,165.9,99.0,62003,INE191B01025,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:29.794Z,2021-10-01T12:00:29.794Z,0,145.0,01-Oct-2021,
24,615aed0000c38500088dfc91,WELCORP,EQ,N,145.0,139.4,144.3,143.45,142.9,143.0,2635956,375230257.35,165.9,99.0,23559,INE191B01025,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:04.602Z,2021-10-04T12:01:04.602Z,0,142.35,04-Oct-2021,
25,615c3e681728530008f0b2cd,WELCORP,EQ,N,152.0,141.4,142.0,148.45,147.5,143.45,7129284,1050870824.85,165.9,99.0,46975,INE191B01025,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:40.814Z,2021-10-05T12:00:40.814Z,0,147.4,05-Oct-2021,
26,615d8fe37c2c3b0008a00042,WELCORP,EQ,N,150.9,144.5,149.0,145.95,144.85,148.45,3473990,513574100.6,165.9,99.0,23865,INE191B01025,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:35.186Z,2021-10-06T12:00:35.186Z,0,147.83,06-Oct-2021,
27,615ee162c7aa980008978182,WELCORP,EQ,N,147.4,145.1,146.15,145.15,145.2,145.95,1429475,208309643.7,165.9,99.0,10476,INE191B01025,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:34.944Z,2021-10-07T12:00:34.944Z,0,145.72,07-Oct-2021,
28,6160330131c1ce0008cb071a,WELCORP,EQ,N,149.25,145.1,146.05,145.95,145.8,145.15,1629573,239296333.35,165.9,99.0,19861,INE191B01025,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:05.322Z,2021-10-08T12:01:05.322Z,0,146.85,08-Oct-2021,
29,61644a8f1ffdf40008ba4267,WELCORP,EQ,N,149.4,145.1,146.95,147.55,148.35,145.95,2146059,315316542.65,165.9,99.0,16909,INE191B01025,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:39.151Z,2021-10-11T14:30:39.151Z,0,146.93,11-Oct-2021,
30,6165790160745c00089377fc,WELCORP,EQ,N,147.95,142.7,147.95,143.7,143.5,147.55,1863828,270167458.8,165.9,99.0,15397,INE191B01025,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:05.738Z,2021-10-12T12:01:05.738Z,0,144.95,12-Oct-2021,
31,6166ca6873e7b000082591ee,WELCORP,EQ,N,148.85,143.25,144.8,147.2,147.45,143.7,2800373,412111172.35,165.9,99.0,20821,INE191B01025,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:40.058Z,2021-10-13T12:00:40.058Z,0,147.16,13-Oct-2021,
32,61681c0003a7b2000873e1fc,WELCORP,EQ,N,150.65,145.1,148.45,147.7,148.7,147.2,4022498,596259308.05,165.9,99.0,25100,INE191B01025,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:04.659Z,2021-10-14T12:01:04.659Z,0,148.23,14-Oct-2021,
33,616d61e481039a0008f76789,WELCORP,EQ,N,153.65,148.2,149.5,149.35,149.1,147.7,2167187,325471468.0,165.9,99.0,16715,INE191B01025,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:36.853Z,2021-10-18T12:00:36.853Z,0,150.18,18-Oct-2021,
34,616eb3802137b10008e7314c,WELCORP,EQ,N,150.25,136.35,149.9,139.85,137.9,149.35,2457668,354309109.65,165.9,99.0,20871,INE191B01025,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:04.129Z,2021-10-19T12:01:04.129Z,0,144.16,19-Oct-2021,
35,6107de804c6c270008f21af0,WELCORP,EQ,N,141.2,137.5,140.0,137.9,138.0,138.45,1993345,277156722.0,165.9,85.7,14689,INE191B01025,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:04.831Z,2021-08-02T12:01:04.831Z,0,139.04,02-Aug-2021,
36,61092fe4ddfad700096fdbf9,WELCORP,EQ,N,140.5,137.85,138.05,139.05,138.8,137.9,1539979,213950477.7,165.9,85.7,19480,INE191B01025,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:36.162Z,2021-08-03T12:00:36.162Z,0,138.93,03-Aug-2021,
37,610a815eddfad70009999106,WELCORP,EQ,N,141.5,136.75,140.4,137.85,137.75,139.05,2349479,327338566.0,165.9,85.7,18894,INE191B01025,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:30.790Z,2021-08-04T12:00:30.790Z,0,139.32,04-Aug-2021,
38,610bd302c5cd9d000859254d,WELCORP,EQ,N,138.45,132.55,137.7,133.35,133.45,137.85,2882919,386360146.6,165.9,85.7,18678,INE191B01025,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:06.180Z,2021-08-05T12:01:06.180Z,0,134.02,05-Aug-2021,
39,610d24641ad12f0009efab89,WELCORP,EQ,N,137.3,133.55,133.7,134.2,135.0,133.35,1758599,238049272.05,165.9,85.7,15278,INE191B01025,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:36.072Z,2021-08-06T12:00:36.072Z,0,135.36,06-Aug-2021,
40,611118e34df23100084eabab,WELCORP,EQ,N,132.75,129.05,132.75,129.85,129.5,134.2,1491580,195064874.25,165.9,96.2,13820,INE191B01025,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:35.398Z,2021-08-09T12:00:35.398Z,0,130.78,09-Aug-2021,"[{'symbol': 'WELCORP', 'series': 'EQ', 'ind': '-', 'faceVal': '5', 'subject': ' Dividend - Rs 5 Per Share', 'exDate': '09-Aug-2021', 'recDate': '10-Aug-2021', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Welspun Corp Limited', 'isin': 'INE191B01025', 'ndEndDate': '-', 'caBroadcastDate': None}]"
41,61126a65cce4c40008593209,WELCORP,EQ,N,131.3,122.3,129.75,124.25,123.6,129.85,1790642,227143105.45,165.9,96.2,16082,INE191B01025,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:37.161Z,2021-08-10T12:00:37.161Z,0,126.85,10-Aug-2021,
42,6113bbdd3759be0008112391,WELCORP,EQ,N,128.2,121.15,124.75,127.55,127.3,124.25,2228827,278919412.65,165.9,96.2,18407,INE191B01025,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:29.566Z,2021-08-11T12:00:29.566Z,0,125.14,11-Aug-2021,
43,61150d63ea5aa20008b5ef74,WELCORP,EQ,N,130.85,127.55,127.55,129.75,129.9,127.55,1071366,138554193.15,165.9,96.2,9507,INE191B01025,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:35.708Z,2021-08-12T12:00:35.708Z,0,129.32,12-Aug-2021,
44,61165ee55fd7730008dabf6d,WELCORP,EQ,N,130.5,126.1,130.1,127.05,127.1,129.75,853878,109533591.25,165.9,96.2,8210,INE191B01025,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:37.703Z,2021-08-13T12:00:37.703Z,0,128.28,13-Aug-2021,
45,611a5363cce4c4000835c263,WELCORP,EQ,N,126.65,123.5,125.35,125.1,125.65,127.05,902738,112833178.1,165.9,96.2,8095,INE191B01025,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:35.249Z,2021-08-16T12:00:35.249Z,0,124.99,16-Aug-2021,
46,611ba502cce4c4000862acee,WELCORP,EQ,N,124.9,117.65,124.9,119.4,119.65,125.1,1423353,173052579.6,165.9,96.2,12288,INE191B01025,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:06.538Z,2021-08-17T12:01:06.538Z,0,121.58,17-Aug-2021,
47,611cf665913015000809ba15,WELCORP,EQ,N,121.1,114.0,119.0,114.85,114.8,119.4,1917867,225004899.7,165.9,96.2,17452,INE191B01025,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:37.291Z,2021-08-18T12:00:37.291Z,0,117.32,18-Aug-2021,
48,611f9963d448d000082ac0ad,WELCORP,EQ,N,113.95,109.9,113.95,110.3,110.35,114.85,2064283,230918653.05,165.9,96.2,17540,INE191B01025,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:35.636Z,2021-08-20T12:00:35.636Z,0,111.86,20-Aug-2021,
49,61238de38095fa0008ef2697,WELCORP,EQ,N,113.3,105.85,112.15,109.85,110.5,110.3,1672864,182569328.25,165.9,96.2,12967,INE191B01025,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:35.400Z,2021-08-23T12:00:35.400Z,0,109.14,23-Aug-2021,
50,6124df81a939250008519af7,WELCORP,EQ,N,117.0,110.6,110.8,115.55,115.75,109.85,1934018,221766478.25,165.9,96.2,17385,INE191B01025,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:05.162Z,2021-08-24T12:01:05.162Z,0,114.67,24-Aug-2021,
51,612630dd2596f30008058a97,WELCORP,EQ,N,121.35,115.1,116.0,120.5,121.0,115.55,1849176,218978450.5,165.9,96.2,15541,INE191B01025,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:29.827Z,2021-08-25T12:00:29.827Z,0,118.42,25-Aug-2021,
52,612782682596f300080593d2,WELCORP,EQ,N,121.2,116.65,120.4,117.4,117.35,120.5,897184,106462330.45,165.9,96.2,11322,INE191B01025,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:40.079Z,2021-08-26T12:00:40.079Z,0,118.66,26-Aug-2021,
53,6128d40091221d0009d5ad87,WELCORP,EQ,N,119.5,115.6,117.4,118.8,118.5,117.4,822109,96987002.55,165.9,96.2,8714,INE191B01025,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:04.526Z,2021-08-27T12:01:04.526Z,0,117.97,27-Aug-2021,
54,612cc866f99d720008a94ec1,WELCORP,EQ,N,121.0,118.9,119.25,119.65,120.0,118.8,640696,76807066.3,165.9,96.2,7225,INE191B01025,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:38.998Z,2021-08-30T12:00:38.998Z,0,119.88,30-Aug-2021,
55,612e19dfeb0c13000813893e,WELCORP,EQ,N,120.25,118.3,119.9,118.95,119.0,119.65,479689,57115330.5,165.9,96.2,6667,INE191B01025,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:31.505Z,2021-08-31T12:00:31.505Z,0,119.07,31-Aug-2021,
56,612f6b64fca57e0008dc54b3,WELCORP,EQ,N,120.4,115.15,118.25,115.65,115.8,118.95,846015,98856411.9,165.9,96.2,11890,INE191B01025,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:36.285Z,2021-09-01T12:00:36.285Z,0,116.85,01-Sep-2021,
57,6130bcdfadef1200085047c3,WELCORP,EQ,N,118.65,116.0,116.3,117.7,117.9,115.65,699498,82361798.15,165.9,96.2,8311,INE191B01025,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:31.421Z,2021-09-02T12:00:31.421Z,0,117.74,02-Sep-2021,
58,61320e804f4d7600089d90ee,WELCORP,EQ,N,119.25,116.4,118.1,117.2,117.25,117.7,752941,88580614.55,165.9,96.2,8522,INE191B01025,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:04.998Z,2021-09-03T12:01:04.998Z,0,117.65,03-Sep-2021,
59,613602e466f15f00089e93cb,WELCORP,EQ,N,118.5,116.55,118.5,117.5,117.4,117.2,560430,65776122.45,165.9,96.2,7008,INE191B01025,2021-09-06,2021-09-05T18:30:00.000Z,2021-09-06T12:00:36.868Z,2021-09-06T12:00:36.868Z,0,117.37,06-Sep-2021,
60,61375480eb333d0008c0f0fa,WELCORP,EQ,N,119.95,116.95,118.2,118.1,118.1,117.5,818188,96798656.3,165.9,96.2,8463,INE191B01025,2021-09-07,2021-09-06T18:30:00.000Z,2021-09-07T12:01:04.284Z,2021-09-07T12:01:04.284Z,0,118.31,07-Sep-2021,
61,6138a5de5a558200095d3797,WELCORP,EQ,N,119.15,117.4,118.15,118.35,118.45,118.1,643199,76131879.0,165.9,96.2,7045,INE191B01025,2021-09-08,2021-09-07T18:30:00.000Z,2021-09-08T12:00:30.162Z,2021-09-08T12:00:30.162Z,0,118.36,08-Sep-2021,
62,6139f7699241480008a1aa17,WELCORP,EQ,N,126.4,118.25,118.7,124.95,125.0,118.35,2692482,333337075.05,165.9,96.2,25634,INE191B01025,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:41.216Z,2021-09-09T12:00:41.216Z,0,123.8,09-Sep-2021,
63,60d07f82b6df770008f308a9,WELCORP,EQ,N,147.85,141.0,141.9,144.05,143.8,144.55,1877481,272177734.1,165.9,77.45,22124,INE191B01025,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:06.586Z,2021-06-21T12:01:06.586Z,0,144.97,21-Jun-2021,
64,60d1d0e49d5cc500087075ab,WELCORP,EQ,N,151.75,145.75,146.0,150.1,150.75,144.05,2157958,323644592.75,165.9,77.45,17731,INE191B01025,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:36.825Z,2021-06-22T12:00:36.825Z,0,149.98,22-Jun-2021,
65,60d3228009721b0008101682,WELCORP,EQ,N,151.85,147.15,151.6,148.0,147.9,150.1,966174,144218212.35,165.9,77.45,12319,INE191B01025,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:04.586Z,2021-06-23T12:01:04.586Z,0,149.27,23-Jun-2021,
66,60d473e5b6726400082d89d3,WELCORP,EQ,N,151.0,146.3,149.35,147.7,147.5,148.0,1076545,159884754.05,165.9,77.45,15090,INE191B01025,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:37.234Z,2021-06-24T12:00:37.234Z,0,148.52,24-Jun-2021,
67,60d5c562761eef0008b837d0,WELCORP,EQ,N,150.45,145.6,148.5,146.0,146.05,147.7,1080070,159609791.85,165.9,77.45,9848,INE191B01025,2021-06-25,2021-06-24T18:30:00.000Z,2021-06-25T12:00:34.790Z,2021-06-25T12:00:34.790Z,0,147.78,25-Jun-2021,
68,60d9b9df758776000816aa2d,WELCORP,EQ,N,148.0,139.2,147.25,141.8,141.75,146.0,2427353,348114553.55,165.9,77.45,33143,INE191B01025,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:31.869Z,2021-06-28T12:00:31.869Z,0,143.41,28-Jun-2021,
69,60db0b629d5cc500086136ac,WELCORP,EQ,N,148.7,142.1,145.0,144.0,144.7,141.8,3979506,577576348.0,165.9,77.45,27417,INE191B01025,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:34.419Z,2021-06-29T12:00:34.419Z,0,145.14,29-Jun-2021,
70,60dc5cdd7f32fd0009386ff5,WELCORP,EQ,N,147.9,141.55,145.85,143.1,142.95,144.0,1761812,255256078.05,165.9,77.45,17588,INE191B01025,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:29.988Z,2021-06-30T12:00:29.988Z,0,144.88,30-Jun-2021,
71,60ddae6315ea3f0008fe55a1,WELCORP,EQ,N,144.1,141.65,143.5,143.3,143.35,143.1,833639,119065991.1,165.9,77.45,7862,INE191B01025,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:35.380Z,2021-07-01T12:00:35.380Z,0,142.83,01-Jul-2021,
72,60deffe4f20fbd0009ce64b3,WELCORP,EQ,N,144.4,139.7,143.9,139.95,140.2,143.3,2159750,304668521.65,165.9,77.45,19745,INE191B01025,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:36.801Z,2021-07-02T12:00:36.801Z,0,141.07,02-Jul-2021,
