,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb37e2137b10008e72ef4,WELSPUNIND,EQ,N,160.8,147.0,160.2,152.1,153.0,160.0,1498372,233806739.85,170.7,62.0,21542,INE192B01031,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.929Z,2021-10-19T12:01:02.929Z,0,156.04,19-Oct-2021,
1,61700becffea140009a39dcf,WELSPUNIND,EQ,N,151.5,143.15,151.2,146.35,146.95,152.1,4103020,602175926.8,170.7,62.0,31716,INE192B01031,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:36.972Z,2021-10-20T12:30:36.972Z,0,146.76,20-Oct-2021,
2,61715662facf5c0008bb16d2,WELSPUNIND,EQ,N,157.0,147.0,147.0,151.75,151.5,146.35,4039669,620212905.1,170.7,62.0,39605,INE192B01031,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:34.233Z,2021-10-21T12:00:34.233Z,0,153.53,21-Oct-2021,
3,6172a8032dc18f00080fe5e7,WELSPUNIND,EQ,N,152.95,145.25,152.8,146.1,145.85,151.75,2890534,427263238.45,170.7,62.0,38572,INE192B01031,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:07.690Z,2021-10-22T12:01:07.690Z,0,147.81,22-Oct-2021,
4,61769c5cdb443b0008c8e5a8,WELSPUNIND,EQ,N,147.3,137.1,146.7,142.05,142.0,146.1,4150341,588828793.1,170.7,62.0,36778,INE192B01031,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:28.605Z,2021-10-25T12:00:28.605Z,0,141.87,25-Oct-2021,
5,6177edff2ed3fb00087debe4,WELSPUNIND,EQ,N,147.45,140.1,141.9,145.0,145.8,142.05,1695513,244440015.45,170.7,62.0,20904,INE192B01031,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:03.874Z,2021-10-26T12:01:03.874Z,0,144.17,26-Oct-2021,
6,61793f857220a800093c6943,WELSPUNIND,EQ,N,151.0,141.0,146.35,145.4,144.8,145.0,3033035,445134445.3,170.7,62.0,26884,INE192B01031,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:09.398Z,2021-10-27T12:01:09.398Z,0,146.76,27-Oct-2021,
7,617a90e3b698860008b70864,WELSPUNIND,EQ,N,145.4,140.05,145.4,140.95,141.0,145.4,2215121,315773815.4,170.7,62.0,24576,INE192B01031,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:35.492Z,2021-10-28T12:00:35.492Z,0,142.55,28-Oct-2021,
8,6139f7679241480008a1a779,WELSPUNIND,EQ,N,138.05,131.4,138.05,133.15,133.1,137.4,4484396,597941189.35,145.4,54.5,38660,INE192B01031,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:39.916Z,2021-09-09T12:00:39.916Z,0,133.34,09-Sep-2021,
9,613f3d5c66f15f0008394561,WELSPUNIND,EQ,N,135.5,132.0,133.8,133.65,133.6,133.15,2123410,283192094.25,145.4,54.85,23964,INE192B01031,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:28.409Z,2021-09-13T12:00:28.409Z,0,133.37,13-Sep-2021,
