,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA
0,616eb3822137b10008e734cf,WORTH,EQ,N,99.9,88.05,89.9,88.6,88.9,88.55,32563,2915164.45,119.45,39.2,472,INE196Y01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.395Z,2021-10-19T12:01:06.395Z,0,89.52,19-Oct-2021,
1,61700bedffea140009a39f23,WORTH,EQ,N,89.85,85.8,89.85,86.25,86.6,88.6,31382,2721138.7,119.45,39.2,626,INE196Y01018,2021-10-20,2021-10-19T18:30:00.000Z,2021-10-20T12:30:37.517Z,2021-10-20T12:30:37.517Z,0,86.71,20-Oct-2021,
2,61715665facf5c0008bb1d86,WORTH,EQ,N,103.5,95.0,103.5,97.15,97.45,86.25,269467,26520839.35,119.45,39.2,4939,INE196Y01018,2021-10-21,2021-10-20T18:30:00.000Z,2021-10-21T12:00:37.702Z,2021-10-21T12:00:37.702Z,0,98.42,21-Oct-2021,
3,6172a8042dc18f00080fe754,WORTH,EQ,N,97.7,92.95,95.5,94.35,94.5,97.15,69706,6660946.0,119.45,39.2,1561,INE196Y01018,2021-10-22,2021-10-21T18:30:00.000Z,2021-10-22T12:01:08.463Z,2021-10-22T12:01:08.463Z,0,95.56,22-Oct-2021,
4,61769c60db443b0008c8ec82,WORTH,EQ,N,96.6,91.05,96.4,92.45,92.15,94.35,34113,3161130.15,119.45,39.2,1102,INE196Y01018,2021-10-25,2021-10-24T18:30:00.000Z,2021-10-25T12:00:32.136Z,2021-10-25T12:00:32.136Z,0,92.67,25-Oct-2021,
5,6177ee032ed3fb00087df24e,WORTH,EQ,N,96.35,92.5,92.8,93.45,92.9,92.45,20347,1919835.6,119.45,39.2,556,INE196Y01018,2021-10-26,2021-10-25T18:30:00.000Z,2021-10-26T12:01:07.084Z,2021-10-26T12:01:07.084Z,0,94.35,26-Oct-2021,
6,61793f8b7220a800093c762c,WORTH,EQ,N,94.45,92.0,93.05,92.25,92.5,93.45,15758,1460883.4,119.45,39.2,323,INE196Y01018,2021-10-27,2021-10-26T18:30:00.000Z,2021-10-27T12:01:15.632Z,2021-10-27T12:01:15.632Z,0,92.71,27-Oct-2021,
7,617a90e7b698860008b70f37,WORTH,EQ,N,92.8,90.0,92.5,91.15,90.55,92.25,17605,1603285.5,119.45,39.2,498,INE196Y01018,2021-10-28,2021-10-27T18:30:00.000Z,2021-10-28T12:00:39.201Z,2021-10-28T12:00:39.201Z,0,91.07,28-Oct-2021,
8,6139f76a9241480008a1ad9d,WORTH,EQ,N,91.0,86.1,89.1,90.1,90.0,89.65,30236,2706644.35,119.45,38.4,585,INE196Y01018,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:42.791Z,2021-09-09T12:00:42.791Z,0,89.52,09-Sep-2021,
9,613f3d5f66f15f0008394bca,WORTH,EQ,N,92.1,89.1,92.1,89.45,89.5,90.1,21339,1916749.05,119.45,38.4,454,INE196Y01018,2021-09-13,2021-09-12T18:30:00.000Z,2021-09-13T12:00:31.080Z,2021-09-13T12:00:31.080Z,0,89.82,13-Sep-2021,
10,61408f048b051b000954569b,WORTH,EQ,N,90.5,88.4,89.05,88.65,88.5,89.45,37676,3354814.85,119.45,38.4,594,INE196Y01018,2021-09-14,2021-09-13T18:30:00.000Z,2021-09-14T12:01:08.413Z,2021-09-14T12:01:08.413Z,0,89.04,14-Sep-2021,"[{'symbol': 'WORTH', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting/Dividend - Re 1 Per Share', 'exDate': '14-Sep-2021', 'recDate': '-', 'bcStartDate': '16-Sep-2021', 'bcEndDate': '22-Sep-2021', 'ndStartDate': '-', 'comp': 'Worth Peripherals Limited', 'isin': 'INE196Y01018', 'ndEndDate': '-', 'caBroadcastDate': None}]"
11,6141e06652f35100088672dc,WORTH,EQ,N,91.25,88.15,88.15,88.7,89.0,88.65,42644,3825539.95,119.45,38.4,550,INE196Y01018,2021-09-15,2021-09-14T18:30:00.000Z,2021-09-15T12:00:38.720Z,2021-09-15T12:00:38.720Z,0,89.71,15-Sep-2021,
12,614331e04189570008859fa6,WORTH,EQ,N,91.0,88.25,88.7,88.55,88.25,88.7,19079,1694692.25,119.45,38.4,391,INE196Y01018,2021-09-16,2021-09-15T18:30:00.000Z,2021-09-16T12:00:32.043Z,2021-09-16T12:00:32.043Z,0,88.83,16-Sep-2021,
13,614483827f66a4000875592b,WORTH,EQ,N,89.85,87.55,89.8,87.95,88.0,88.55,18259,1610027.0,119.45,38.4,407,INE196Y01018,2021-09-17,2021-09-16T18:30:00.000Z,2021-09-17T12:01:06.044Z,2021-09-17T12:01:06.044Z,0,88.18,17-Sep-2021,
14,614877e6e0fcf60008e51910,WORTH,EQ,N,89.7,86.55,87.85,88.05,87.6,87.95,18620,1638188.1,119.45,38.4,318,INE196Y01018,2021-09-20,2021-09-19T18:30:00.000Z,2021-09-20T12:00:38.615Z,2021-09-20T12:00:38.615Z,0,87.98,20-Sep-2021,
15,6149c982bf6def000983a2bd,WORTH,EQ,N,88.95,86.55,88.95,88.2,88.5,88.05,12516,1098686.8,119.45,38.4,298,INE196Y01018,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:06.249Z,2021-09-21T12:01:06.249Z,0,87.78,21-Sep-2021,
16,614b1b00f6172a0008df45d9,WORTH,EQ,N,89.8,86.5,89.8,87.7,87.5,88.2,24037,2111843.2,119.45,38.4,348,INE196Y01018,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:04.605Z,2021-09-22T12:01:04.605Z,0,87.86,22-Sep-2021,
17,614c6c65a3bb370008f10486,WORTH,EQ,N,89.55,87.3,89.55,88.1,87.85,87.7,15156,1335714.1,119.45,38.4,287,INE196Y01018,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:37.874Z,2021-09-23T12:00:37.874Z,0,88.13,23-Sep-2021,
18,614dbde485b99100093148f7,WORTH,EQ,N,89.0,85.5,88.85,87.8,87.0,88.1,25823,2257212.5,119.45,38.4,394,INE196Y01018,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:36.061Z,2021-09-24T12:00:36.061Z,0,87.41,24-Sep-2021,
19,6151b281c3f15b0008afe795,WORTH,EQ,N,89.45,86.0,88.0,86.9,87.0,87.8,19553,1707019.65,119.45,39.2,313,INE196Y01018,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:05.033Z,2021-09-27T12:01:05.033Z,0,87.3,27-Sep-2021,
20,615304094a501f0008b25f92,WORTH,EQ,N,88.15,85.5,86.05,86.3,86.05,86.9,13686,1188997.55,119.45,39.2,269,INE196Y01018,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:13.486Z,2021-09-28T12:01:13.486Z,0,86.88,28-Sep-2021,
21,615455824a501f0008e4cfc0,WORTH,EQ,N,87.45,85.3,87.45,85.85,85.95,86.3,19835,1706135.4,119.45,39.2,264,INE196Y01018,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:06.201Z,2021-09-29T12:01:06.201Z,0,86.02,29-Sep-2021,
22,6155a7025956820008176a60,WORTH,EQ,N,87.7,84.15,85.85,85.25,85.7,85.85,24212,2081038.1,119.45,39.2,344,INE196Y01018,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:06.643Z,2021-09-30T12:01:06.643Z,0,85.95,30-Sep-2021,
23,6156f85f00c38500086c33b3,WORTH,EQ,N,86.5,83.5,84.5,84.4,84.5,85.25,18532,1576068.45,119.45,39.2,375,INE196Y01018,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:31.521Z,2021-10-01T12:00:31.521Z,0,85.05,01-Oct-2021,
24,615aed0200c38500088e0067,WORTH,EQ,N,89.7,84.8,85.75,88.2,87.6,84.4,31364,2745215.2,119.45,39.2,465,INE196Y01018,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:06.424Z,2021-10-04T12:01:06.424Z,0,87.53,04-Oct-2021,
25,615c3e681728530008f0b154,WORTH,EQ,N,89.75,87.0,87.9,89.5,89.75,88.2,40995,3650648.5,119.45,39.2,430,INE196Y01018,2021-10-05,2021-10-04T18:30:00.000Z,2021-10-05T12:00:40.121Z,2021-10-05T12:00:40.121Z,0,89.05,05-Oct-2021,
26,615d8fe57c2c3b0008a00433,WORTH,EQ,N,97.0,89.0,89.55,93.95,93.0,89.5,165268,15584273.25,119.45,39.2,1575,INE196Y01018,2021-10-06,2021-10-05T18:30:00.000Z,2021-10-06T12:00:37.067Z,2021-10-06T12:00:37.067Z,0,94.3,06-Oct-2021,
27,615ee164c7aa98000897854e,WORTH,EQ,N,102.9,89.65,95.95,97.55,97.3,93.95,396956,39047831.55,119.45,39.2,4148,INE196Y01018,2021-10-07,2021-10-06T18:30:00.000Z,2021-10-07T12:00:36.610Z,2021-10-07T12:00:36.610Z,0,98.37,07-Oct-2021,
28,6160330031c1ce0008cb05ab,WORTH,EQ,N,100.0,94.0,99.95,96.15,95.95,97.55,49222,4766394.35,119.45,39.2,1127,INE196Y01018,2021-10-08,2021-10-07T18:30:00.000Z,2021-10-08T12:01:04.727Z,2021-10-08T12:01:04.727Z,0,96.83,08-Oct-2021,
29,61644a8e1ffdf40008ba40f7,WORTH,EQ,N,96.5,93.8,96.5,94.6,95.25,96.15,25072,2386172.8,119.45,39.2,718,INE196Y01018,2021-10-11,2021-10-10T18:30:00.000Z,2021-10-11T14:30:38.432Z,2021-10-11T14:30:38.432Z,0,95.17,11-Oct-2021,
30,6165790160745c000893769e,WORTH,EQ,N,95.5,91.0,94.3,92.05,92.0,94.6,26670,2458348.6,119.45,39.2,791,INE196Y01018,2021-10-12,2021-10-11T18:30:00.000Z,2021-10-12T12:01:05.173Z,2021-10-12T12:01:05.173Z,0,92.18,12-Oct-2021,
31,6166ca6773e7b00008259088,WORTH,EQ,N,94.25,90.6,91.5,91.0,90.7,92.05,19568,1794300.05,119.45,39.2,580,INE196Y01018,2021-10-13,2021-10-12T18:30:00.000Z,2021-10-13T12:00:39.295Z,2021-10-13T12:00:39.295Z,0,91.7,13-Oct-2021,
32,61681c0203a7b2000873e607,WORTH,EQ,N,92.5,88.5,91.0,90.2,89.8,91.0,37079,3334864.95,119.45,39.2,646,INE196Y01018,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:06.635Z,2021-10-14T12:01:06.635Z,0,89.94,14-Oct-2021,
33,616d61e481039a0008f76603,WORTH,EQ,N,91.95,88.0,91.95,88.55,88.05,90.2,39129,3483595.0,119.45,39.2,687,INE196Y01018,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:36.168Z,2021-10-18T12:00:36.168Z,0,89.03,18-Oct-2021,
34,616eb3822137b10008e734cf,WORTH,EQ,N,99.9,88.05,89.9,88.6,88.9,88.55,32563,2915164.45,119.45,39.2,472,INE196Y01018,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:06.395Z,2021-10-19T12:01:06.395Z,0,89.52,19-Oct-2021,
35,6107de824c6c270008f21e9b,WORTH,EQ,N,112.0,108.1,111.95,108.9,109.0,108.6,37393,4093866.5,119.45,37.85,757,INE196Y01018,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:06.406Z,2021-08-02T12:01:06.406Z,0,109.48,02-Aug-2021,
36,61092fe5ddfad700096fdffb,WORTH,EQ,N,111.2,107.65,111.2,108.55,108.95,108.9,28860,3154879.0,119.45,37.85,650,INE196Y01018,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:37.911Z,2021-08-03T12:00:37.911Z,0,109.32,03-Aug-2021,
37,610a8160ddfad700099994c7,WORTH,EQ,N,111.95,104.05,111.95,105.2,106.25,108.55,45977,4940390.6,119.45,37.85,883,INE196Y01018,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:32.407Z,2021-08-04T12:00:32.407Z,0,107.45,04-Aug-2021,
38,610bd303c5cd9d0008592904,WORTH,EQ,N,108.0,102.55,108.0,103.05,103.0,105.2,52602,5472306.75,119.45,37.85,971,INE196Y01018,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:07.739Z,2021-08-05T12:01:07.739Z,0,104.03,05-Aug-2021,
39,610d24651ad12f0009efaf35,WORTH,EQ,N,110.95,102.0,110.95,103.0,102.6,103.05,47737,4975288.25,119.45,37.85,922,INE196Y01018,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:37.618Z,2021-08-06T12:00:37.618Z,0,104.22,06-Aug-2021,
